derivative_set,parameter,relative_l2_difference_from_richardson
small,P0,9.855826930732507e-16
small,xc,0.0002245285654971188
small,beta,0.0001093111539784327
small,alpha_m_P0,2.552060459934093e-05
small,alpha_m_xc,4.270160776433929e-05
small,alpha_m_beta,2.011288798879912e-05
small,alpha_z_P0,3.508049911894713e-05
small,alpha_z_xc,0.0002195829437678836
small,alpha_z_beta,0.0001054072699785455
large,P0,3.934328474909928e-15
large,xc,0.0008981142619885786
large,beta,0.0004372446159137275
large,alpha_m_P0,0.0001020824183973933
large,alpha_m_xc,0.0001708064310573278
large,alpha_m_beta,8.045155195528567e-05
large,alpha_z_P0,0.0001403219964757902
large,alpha_z_xc,0.0008783317750714676
large,alpha_z_beta,0.000421629079914175
