method,conditioning_point,parameter,truth,mean,std,mean_minus_truth_over_std,std_over_prior_width
Fisher + prior support,Battaglia12,P0,18.1,18.196275573670064,4.110751859750497,0.023420429389748268,0.12645083470004287
Fisher + prior support,Battaglia12,xc,0.497,0.4961098449294381,0.09038814463649149,-0.009848139644217456,0.13015001889052713
Fisher + prior support,Battaglia12,beta,4.35,4.350283025604642,0.38457527746322556,0.0007359433152057036,0.22153159879893014
Fisher + prior support,Battaglia12,alpha_m_P0,0.154,0.15141519999097564,0.06035306208392788,-0.042827984525953315,0.20673176235326862
Fisher + prior support,Battaglia12,alpha_m_xc,-0.00865,-0.007411711936757793,0.040645046974975056,0.030465903114950607,0.20372130054070606
Fisher + prior support,Battaglia12,alpha_m_beta,0.0393,0.039556005580220176,0.0266460995579531,0.009607619293900136,0.22260362834288383
Fisher + prior support,Battaglia12,alpha_z_P0,-0.758,-0.7648141438117908,0.24212722693933453,-0.028142823497904652,0.21339978166282034
Fisher + prior support,Battaglia12,alpha_z_xc,0.731,0.7340148824983765,0.20354783645237604,0.014811665655222767,0.1744076369392456
Fisher + prior support,Battaglia12,alpha_z_beta,0.415,0.4154876977545215,0.12898869349962624,0.0037809341368584613,0.19482460132922458
"SBI MAF N=523,788",Battaglia12,P0,18.1,18.61013800354004,10.043762751675287,0.05079152267460206,0.30895617804467157
"SBI MAF N=523,788",Battaglia12,xc,0.497,0.4407239390403032,0.131947992702006,-0.4265018346038183,0.18999210363037056
"SBI MAF N=523,788",Battaglia12,beta,4.35,4.890241774272918,0.3460030343228535,1.5613787183404353,0.1993123580081209
"SBI MAF N=523,788",Battaglia12,alpha_m_P0,0.154,0.07100616671504685,0.10257987161514248,-0.8090654821281906,0.3513743447098068
"SBI MAF N=523,788",Battaglia12,alpha_m_xc,-0.00865,0.09809251722842455,0.001883621202433159,56.668780904855176,0.009441095278398733
"SBI MAF N=523,788",Battaglia12,alpha_m_beta,0.0393,0.04151870362404734,0.04034582487966419,0.05499214926612262,0.33705221986304684
"SBI MAF N=523,788",Battaglia12,alpha_z_P0,-0.758,-0.6172876678228378,0.4587388448558477,0.30673733815016047,0.404311281180369
"SBI MAF N=523,788",Battaglia12,alpha_z_xc,0.731,0.5013789323732257,0.18641780837380797,-1.2317550003931728,0.15972996819092172
"SBI MAF N=523,788",Battaglia12,alpha_z_beta,0.415,0.21129294006824492,0.16001172118443663,-1.273075862342317,0.24168180126462974
