method,conditioning_point,parameter,truth,mean,std,mean_minus_truth_over_std,std_over_prior_width
Fisher + prior support,Battaglia12,P0,18.1,18.196275573670064,4.110751859750497,0.023420429389748268,0.12645083470004287
Fisher + prior support,Battaglia12,xc,0.497,0.4961098449294381,0.09038814463649149,-0.009848139644217456,0.13015001889052713
Fisher + prior support,Battaglia12,beta,4.35,4.350283025604642,0.38457527746322556,0.0007359433152057036,0.22153159879893014
Fisher + prior support,Battaglia12,alpha_m_P0,0.154,0.15141519999097564,0.06035306208392788,-0.042827984525953315,0.20673176235326862
Fisher + prior support,Battaglia12,alpha_m_xc,-0.00865,-0.007411711936757793,0.040645046974975056,0.030465903114950607,0.20372130054070606
Fisher + prior support,Battaglia12,alpha_m_beta,0.0393,0.039556005580220176,0.0266460995579531,0.009607619293900136,0.22260362834288383
Fisher + prior support,Battaglia12,alpha_z_P0,-0.758,-0.7648141438117908,0.24212722693933453,-0.028142823497904652,0.21339978166282034
Fisher + prior support,Battaglia12,alpha_z_xc,0.731,0.7340148824983765,0.20354783645237604,0.014811665655222767,0.1744076369392456
Fisher + prior support,Battaglia12,alpha_z_beta,0.415,0.4154876977545215,0.12898869349962624,0.0037809341368584613,0.19482460132922458
"SBI MAF N=523,788",dataset row 524287,P0,13.905993461608887,12.078550132870674,1.8076145769316214,-1.0109695684354625,0.05560403056847166
"SBI MAF N=523,788",dataset row 524287,xc,0.6606572270393372,0.7361839665824175,0.06581987256964807,1.1474762346760974,0.09477412876171964
"SBI MAF N=523,788",dataset row 524287,beta,3.771291732788086,3.918166068482399,0.1953444395851487,0.7518736443495856,0.11252664576681508
"SBI MAF N=523,788",dataset row 524287,alpha_m_P0,0.10677006840705872,0.1718339726538508,0.051690093281382556,1.2587306409490742,0.1770578610477953
"SBI MAF N=523,788",dataset row 524287,alpha_m_xc,0.03073868714272976,-0.025488602298680843,0.03141607991539624,-1.7897614722406856,0.157463827319373
"SBI MAF N=523,788",dataset row 524287,alpha_m_beta,0.09194794297218323,0.06681694036572318,0.018797336458941546,-1.336944873086298,0.15703443912463552
"SBI MAF N=523,788",dataset row 524287,alpha_z_P0,-1.2874788045883179,-1.069409067235291,0.1603603649647264,1.3598730422008865,0.14133423697706207
"SBI MAF N=523,788",dataset row 524287,alpha_z_xc,1.2969169616699219,1.122462744306922,0.0853462316961154,-2.044076392079773,0.0731279430487657
"SBI MAF N=523,788",dataset row 524287,alpha_z_beta,0.22878876328468323,0.15757389805458485,0.04845213319420986,-1.4697983460222286,0.07318213152643319
