method,conditioning_point,parameter,truth,mean,std,q16,q84,mean_minus_truth_over_std,std_over_prior_width
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,P0,18.1,22.064543451744328,5.045742240713907,16.830882978617606,27.28177068902917,0.7857205664916,0.15521207306788495
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,xc,0.497,0.45079450642908125,0.11732583199614714,0.3276862793384935,0.5720183012749005,-0.3938219979759963,0.16893763349226415
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,beta,4.35,4.399109720361819,0.4890641871368896,3.8213311685117737,4.963802921916686,0.10041569522667529,0.2817216228936985
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,alpha_m_P0,0.154,0.16272799504099822,0.07504542159100253,0.07770871011367227,0.24632923505669058,0.11630283175122641,0.257058577085577
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,alpha_m_xc,-0.00865,0.003801836961659432,0.052185226474516316,-0.05562348179962323,0.062712144697977,0.23860846838980482,0.2615630439041035
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,alpha_m_beta,0.0393,0.041162012534563926,0.03319666481387777,0.0025660497818730736,0.07945522469832295,0.056090349587935566,0.277327569852381
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,alpha_z_P0,-0.758,-0.8192803816205694,0.3113553306425736,-1.1760021321070304,-0.45723294675988096,-0.19681815465981975,0.27441424253922464
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,alpha_z_xc,0.731,0.7445245028505042,0.2893368425702745,0.41965666158146336,1.0644198430291218,0.04674310651336899,0.2479149661900277
Fisher conditional noise + hard prior,same noisy Battaglia12 observation,alpha_z_beta,0.415,0.43338001961237255,0.17566335877190614,0.23228401210833582,0.6328511850445011,0.10463206294625448,0.26532204422233585
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,P0,18.1,18.61013800354004,10.043762751675287,7.992586975097656,32.42060638427734,0.05079152267460206,0.30895617804467157
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,xc,0.497,0.4407239390403032,0.131947992702006,0.2912279164791107,0.5785209512710571,-0.4265018346038183,0.18999210363037056
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,beta,4.35,4.890241774272918,0.3460030343228535,4.439340209960937,5.193267021179199,1.5613787183404353,0.1993123580081209
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,alpha_m_P0,0.154,0.07100616671504685,0.10257987161514248,0.0022335399594157934,0.2370368957519531,-0.8090654821281906,0.3513743447098068
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,alpha_m_xc,-0.00865,0.09809251722842455,0.001883621202433159,0.09672651320695877,0.09951960474252701,56.668780904855176,0.009441095278398733
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,alpha_m_beta,0.0393,0.04151870362404734,0.04034582487966419,-0.0035319005697965616,0.09580972492694854,0.05499214926612262,0.33705221986304684
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,alpha_z_P0,-0.758,-0.6172876678228378,0.4587388448558477,-1.3086616611480713,-0.2437306213378906,0.30673733815016047,0.404311281180369
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,alpha_z_xc,0.731,0.5013789323732257,0.18641780837380797,0.2796059477329254,0.7187967991828919,-1.2317550003931728,0.15972996819092172
"SBI MAF N=523,788 [diagnostic]",same noisy Battaglia12 observation,alpha_z_beta,0.415,0.21129294006824492,0.16001172118443663,0.08645084410905839,0.42054566740989685,-1.273075862342317,0.24168180126462974
