noise,covariance,mode,identified,eigenvalue,dominant_parameters
SO baseline,Conditional noise,1,True,14069326.524555389,"xc (+0.75), P0 (+0.46), alpha_z_xc (+0.30)"
SO baseline,Conditional noise,2,True,156549.7591436926,"alpha_z_xc (+0.60), alpha_m_xc (-0.39), alpha_z_P0 (+0.33)"
SO baseline,Conditional noise,3,True,1036.518356807546,"P0 (-0.59), alpha_z_beta (-0.53), alpha_z_xc (+0.35)"
SO baseline,Conditional noise,4,True,31.837980168155962,"alpha_m_P0 (+0.56), P0 (+0.54), xc (-0.35)"
SO baseline,Conditional noise,5,True,6.273912224078506,"alpha_m_beta (-0.51), alpha_z_P0 (+0.44), alpha_z_beta (-0.39)"
SO baseline,Conditional noise,6,True,0.6408893717645718,"beta (+0.61), alpha_m_xc (+0.49), alpha_z_beta (+0.39)"
SO baseline,Conditional noise,7,False,0.05182150936570038,"alpha_z_xc (-0.47), alpha_z_beta (-0.45), alpha_m_beta (+0.44)"
SO baseline,Conditional noise,8,False,0.0044691986324974595,"alpha_z_P0 (+0.63), alpha_m_beta (+0.49), alpha_m_P0 (+0.40)"
SO baseline,Conditional noise,9,False,0.0004496626906567549,"alpha_m_xc (-0.50), beta (+0.47), alpha_m_beta (-0.45)"
SO baseline,Gaussian total,1,True,13100288.255697347,"xc (+0.75), P0 (+0.46), alpha_z_xc (+0.30)"
SO baseline,Gaussian total,2,True,136274.57585539648,"alpha_z_xc (+0.60), alpha_m_xc (-0.39), alpha_z_P0 (+0.33)"
SO baseline,Gaussian total,3,True,942.96605247484,"P0 (+0.59), alpha_z_beta (+0.53), alpha_z_xc (-0.35)"
SO baseline,Gaussian total,4,True,25.391011568723126,"alpha_m_P0 (-0.57), P0 (-0.53), xc (+0.35)"
SO baseline,Gaussian total,5,True,5.857563935198719,"alpha_m_beta (-0.51), alpha_z_P0 (+0.44), alpha_z_beta (-0.39)"
SO baseline,Gaussian total,6,True,0.5787623710394191,"beta (+0.61), alpha_m_xc (+0.48), alpha_z_beta (+0.40)"
SO baseline,Gaussian total,7,False,0.048477146057618256,"alpha_z_xc (-0.47), alpha_z_beta (-0.45), alpha_m_beta (+0.45)"
SO baseline,Gaussian total,8,False,0.004114846523204345,"alpha_z_P0 (+0.63), alpha_m_beta (+0.48), alpha_m_P0 (+0.41)"
SO baseline,Gaussian total,9,False,0.0004235911950851387,"alpha_m_xc (-0.50), beta (+0.47), alpha_m_beta (-0.45)"
SO goal,Conditional noise,1,True,20090300.4373322,"xc (+0.74), P0 (+0.47), alpha_z_xc (+0.31)"
SO goal,Conditional noise,2,True,197308.59603324163,"alpha_z_xc (+0.59), alpha_m_xc (-0.39), alpha_z_P0 (+0.34)"
SO goal,Conditional noise,3,True,1511.2149747757671,"P0 (+0.59), alpha_z_beta (+0.53), alpha_z_xc (-0.36)"
SO goal,Conditional noise,4,True,34.67980099722707,"alpha_m_P0 (-0.56), P0 (-0.54), xc (+0.35)"
SO goal,Conditional noise,5,True,9.2980186808468,"alpha_m_beta (-0.50), alpha_z_P0 (+0.44), alpha_m_xc (+0.39)"
SO goal,Conditional noise,6,True,0.8183499076602097,"beta (+0.63), alpha_m_xc (+0.47), alpha_z_beta (+0.40)"
SO goal,Conditional noise,7,False,0.0732108670594219,"alpha_z_xc (-0.48), alpha_m_beta (+0.46), alpha_z_beta (-0.46)"
SO goal,Conditional noise,8,False,0.006156766551887842,"alpha_z_P0 (+0.63), alpha_m_beta (+0.48), alpha_m_P0 (+0.42)"
SO goal,Conditional noise,9,False,0.0006314949240984287,"alpha_m_xc (-0.50), beta (+0.47), alpha_m_beta (-0.45)"
SO goal,Gaussian total,1,True,18392322.434981365,"xc (+0.74), P0 (+0.47), alpha_z_xc (+0.31)"
SO goal,Gaussian total,2,True,169933.0854226624,"alpha_z_xc (+0.59), alpha_m_xc (-0.40), alpha_z_P0 (+0.34)"
SO goal,Gaussian total,3,True,1354.5303164584818,"P0 (+0.59), alpha_z_beta (+0.53), alpha_z_xc (-0.37)"
SO goal,Gaussian total,4,True,27.24646963624998,"alpha_m_P0 (-0.58), P0 (-0.53), xc (+0.34)"
SO goal,Gaussian total,5,True,8.566538929476295,"alpha_m_beta (-0.50), alpha_z_P0 (+0.44), alpha_m_xc (+0.40)"
SO goal,Gaussian total,6,True,0.730498221744891,"beta (+0.63), alpha_m_xc (+0.47), alpha_z_beta (+0.40)"
SO goal,Gaussian total,7,False,0.06780034411799964,"alpha_z_xc (-0.49), alpha_m_beta (+0.46), alpha_z_beta (-0.46)"
SO goal,Gaussian total,8,False,0.005558613071752354,"alpha_z_P0 (+0.64), alpha_m_beta (+0.47), alpha_m_P0 (+0.42)"
SO goal,Gaussian total,9,False,0.000586725863668038,"alpha_m_xc (-0.50), beta (+0.47), alpha_m_beta (-0.45)"
