noise,covariance,parameter,sigma_over_prior_width,estimable_fraction
SO baseline,Conditional noise,P0,0.1299057774531563,0.9089433131721942
SO baseline,Conditional noise,xc,0.13869261759393225,0.8931966683108669
SO baseline,Conditional noise,beta,0.2546914380849866,0.6353402837032726
SO baseline,Conditional noise,alpha_m_P0,0.22872277111720957,0.5764585547005596
SO baseline,Conditional noise,alpha_m_xc,0.22633173895346326,0.7246739440729892
SO baseline,Conditional noise,alpha_m_beta,0.2585588919543062,0.3688520602913817
SO baseline,Conditional noise,alpha_z_P0,0.24106359975423738,0.5131760826366908
SO baseline,Conditional noise,alpha_z_xc,0.18749272195065164,0.6317084550560751
SO baseline,Conditional noise,alpha_z_beta,0.20633282983519174,0.7476506380559742
SO goal,Conditional noise,P0,0.12765556800365782,0.9079790006280187
SO goal,Conditional noise,xc,0.13661076646027118,0.8952359305848886
SO goal,Conditional noise,beta,0.2536313432169093,0.6449276313902348
SO goal,Conditional noise,alpha_m_P0,0.22372321224868846,0.5841605265406268
SO goal,Conditional noise,alpha_m_xc,0.22241715104670357,0.730947824101291
SO goal,Conditional noise,alpha_m_beta,0.2550525840097738,0.36288632753266037
SO goal,Conditional noise,alpha_z_P0,0.23622404353890897,0.5112049861155942
SO goal,Conditional noise,alpha_z_xc,0.18695708772668312,0.6248190407442465
SO goal,Conditional noise,alpha_z_beta,0.20465157362544406,0.7378387323624364
SO baseline,Gaussian total,P0,0.13394876261463473,0.9091743576758065
SO baseline,Gaussian total,xc,0.14113315222653483,0.893048667003952
SO baseline,Gaussian total,beta,0.2561717221806891,0.6336818271336842
SO baseline,Gaussian total,alpha_m_P0,0.23121936735122756,0.5763689869155799
SO baseline,Gaussian total,alpha_m_xc,0.22819367286892697,0.72533939205114
SO baseline,Gaussian total,alpha_m_beta,0.2592397013310498,0.36853385173836256
SO baseline,Gaussian total,alpha_z_P0,0.2414004401942257,0.5141774497329478
SO baseline,Gaussian total,alpha_z_xc,0.18761812593993563,0.6316039078120275
SO baseline,Gaussian total,alpha_z_beta,0.20791928880672383,0.7480715599365014
SO goal,Gaussian total,P0,0.13196768848045273,0.9081960762736111
SO goal,Gaussian total,xc,0.13933500637977625,0.8951674153475944
SO goal,Gaussian total,beta,0.25527923477968156,0.6435199619269516
SO goal,Gaussian total,alpha_m_P0,0.22639752844066008,0.5840737103254021
SO goal,Gaussian total,alpha_m_xc,0.22459278294843407,0.7317571745673729
SO goal,Gaussian total,alpha_m_beta,0.2559543230819462,0.3627985730882744
SO goal,Gaussian total,alpha_z_P0,0.23670980016268964,0.5121394759453851
SO goal,Gaussian total,alpha_z_xc,0.18711117642866296,0.6245040046772566
SO goal,Gaussian total,alpha_z_beta,0.20647363017698528,0.737843607848149
