case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e12,0.1,0.003,1.5606677806835365e-6,969,2.530405087258236e-14,4.626853467780489e-8,171,5.65670824294467e-11,-16.888803703476352,false
Battaglia12,1.0e12,0.1,0.1,5.2022259356117885e-5,779,3.720857190144222e-14,2.984903627720019e-8,133,3.2866154203056615e-11,-17.32711328314992,false
Battaglia12,1.0e12,0.1,1.0,0.0005202225935611788,665,8.691924773471737e-14,2.377772872693686e-9,133,6.301063101604038e-13,-19.857101555142783,false
Battaglia12,1.0e12,0.1,4.0,0.0020808903742447152,589,1.785070318028151e-13,9.070692072980613e-11,133,3.5566030053671486e-12,-23.123387458192447,false
Battaglia12,1.0e12,0.1,100.0,0.05202225935611788,437,5.948939768233163e-14,6.77210702577722e-15,133,1.7215623314831788e-13,-32.62596412660384,true
Battaglia12,1.0e12,0.1,10000.0,5.202225935611788,171,6.61202942234395e-14,4.848536595865661e-21,57,8.303693610733062e-11,-46.77561002626727,true
Battaglia12,1.0e12,0.1,1.0e6,520.2225935611788,19,1.2910007720901525e-16,4.380390958883396e-28,19,4.1915560263574013e-16,-62.99524462340932,true
Battaglia12,1.0e12,0.1,1.0e8,52022.25935611788,19,4.073017093845465e-16,3.103376841438395e-36,19,1.5178840727055193e-15,-81.7605725254655,true
Battaglia12,1.0e12,1.0,0.003,2.540452122758492e-7,969,2.5217856360240508e-14,1.0572912221632025e-7,209,5.8590119379095885e-12,-16.062385464361473,false
Battaglia12,1.0e12,1.0,0.1,8.468173742528307e-6,779,3.533050007702673e-14,7.149802820333766e-8,171,1.3529787960159452e-12,-16.453595965202414,false
Battaglia12,1.0e12,1.0,1.0,8.468173742528307e-5,665,9.695168735045787e-14,5.374886906042957e-9,133,1.64470369672019e-12,-19.04152830389024,false
Battaglia12,1.0e12,1.0,4.0,0.00033872694970113227,589,2.8986208353010077e-13,1.0676054873332484e-10,133,9.151192353814353e-12,-22.960432651527906,false
Battaglia12,1.0e12,1.0,100.0,0.008468173742528307,437,8.983418333013068e-14,3.870094066457418e-16,133,6.604960746687654e-13,-35.4880826745803,true
Battaglia12,1.0e12,1.0,10000.0,0.8468173742528307,171,9.148847903484857e-14,2.109248675178547e-24,95,2.105827305397231e-14,-54.51571042589442,true
Battaglia12,1.0e12,1.0,1.0e6,84.68173742528306,19,1.1727234587818235e-16,1.6814165074713268e-33,19,1.259677139987564e-15,-75.46567147143827,true
Battaglia12,1.0e12,1.0,1.0e8,8468.173742528306,19,1.287772498171024e-16,8.912754024642421e-44,19,8.673624809819713e-16,-99.12626080434012,true
Battaglia12,1.0e12,5.0,0.003,1.173049851978326e-7,969,2.528393491988216e-14,1.5195737978879772e-6,209,1.7450479559080345e-11,-13.397080658550763,false
Battaglia12,1.0e12,5.0,0.1,3.910166173261086e-6,779,3.263295810796254e-14,1.1217511423703605e-6,171,6.314331839763924e-13,-13.700619573708524,false
Battaglia12,1.0e12,5.0,1.0,3.910166173261086e-5,665,9.993770514111205e-14,1.0357707782662369e-7,133,5.3251015548855804e-12,-16.08294978810163,false
Battaglia12,1.0e12,5.0,4.0,0.00015640664693044345,589,6.794281343925232e-13,8.481358888451941e-10,133,4.2119651368468875e-11,-20.887980246695,false
Battaglia12,1.0e12,5.0,100.0,0.0039101661732610865,437,8.829127491577057e-14,2.409710942479049e-18,133,9.212651119062426e-12,-40.56702487446381,true
Battaglia12,1.0e12,5.0,10000.0,0.39101661732610865,171,3.983009862966645e-13,3.711045794068991e-32,95,3.754166561169106e-13,-72.3714092537185,true
Battaglia12,1.0e12,5.0,1.0e6,39.101661732610864,19,1.299512887807246e-16,1.0018352622839694e-46,19,0.0,-105.91708069747828,true
Battaglia12,1.0e12,5.0,1.0e8,3910.1661732610864,19,0.0,1.3678610465967383e-62,19,2.1684072127677676e-15,-142.44702752571467,true
Battaglia12,1.0e14,0.1,0.003,7.243964718463936e-6,969,2.5402259739593855e-14,7.666020397585587e-6,209,4.1697989781970325e-12,-11.778712930223437,false
Battaglia12,1.0e14,0.1,0.1,0.00024146549061546455,779,4.292146159747463e-14,4.361276041235821e-6,133,1.1503684323327215e-11,-12.342745873414628,false
Battaglia12,1.0e14,0.1,1.0,0.0024146549061546453,665,1.231070744438064e-13,1.7120824305181892e-7,133,5.7770316069878835e-12,-15.580385225730712,false
Battaglia12,1.0e14,0.1,4.0,0.009658619624618581,589,3.062777403237394e-13,2.82292466601153e-9,133,6.3702536588646886e-12,-19.6854923738223,false
Battaglia12,1.0e14,0.1,100.0,0.24146549061546452,437,8.146303441990079e-14,2.0396225532405076e-14,133,4.971518358570523e-13,-31.523426534100693,true
Battaglia12,1.0e14,0.1,10000.0,24.14654906154645,171,8.398962814133674e-14,4.651548893054625e-22,95,3.233071433043856e-15,-49.11967178645309,true
Battaglia12,1.0e14,0.1,1.0e6,2414.6549061546452,19,1.1628599499633403e-16,1.5081065703374203e-30,19,4.19674673615306e-16,-68.66669785274759,true
Battaglia12,1.0e14,1.0,0.003,1.1791733626257454e-6,969,2.5339021987561145e-14,1.7677759117679822e-5,209,7.302765860776812e-12,-10.94320325552539,false
Battaglia12,1.0e14,1.0,0.1,3.9305778754191515e-5,779,3.940114084709932e-14,1.073792285001077e-5,133,4.903958482198181e-11,-11.441728890753092,false
Battaglia12,1.0e14,1.0,1.0,0.00039305778754191513,665,1.366542843627262e-13,3.9790728829377416e-7,133,3.62490512036941e-12,-14.73704680278313,false
Battaglia12,1.0e14,1.0,4.0,0.0015722311501676605,589,5.769436400743164e-13,2.9723782081287956e-9,133,1.093592252162889e-11,-19.633903461078113,false
Battaglia12,1.0e14,1.0,100.0,0.039305778754191514,437,1.080534803594993e-13,5.6656538491182645e-16,133,1.7492999057165919e-12,-35.10693918099973,true
Battaglia12,1.0e14,1.0,10000.0,3.9305778754191514,171,1.2395206784823167e-13,3.733647949792146e-26,95,1.2428407388621663e-13,-58.54982665949721,true
Battaglia12,1.0e14,1.0,1.0e6,393.05778754191516,19,0.0,4.006803600771595e-37,19,1.2616736013193529e-15,-83.80765462435946,true
Battaglia12,1.0e14,1.0,1.0e8,39305.77875419152,19,1.3601466480293465e-16,2.5555562473570013e-49,19,1.9515658945144548e-15,-111.88839964741044,true
Battaglia12,1.0e14,5.0,0.003,5.44481503720456e-7,969,2.5318424504959937e-14,0.0002568313827830975,209,1.168470858634395e-11,-8.267090786515858,false
