case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e12,0.1,0.003,1.5606677806835365e-6,969,2.530405087258236e-14,4.626853467780489e-8,171,5.65670824294467e-11,-16.888803703476352,false
Battaglia12,1.0e12,0.1,0.1,5.2022259356117885e-5,779,3.720857190144222e-14,2.984903627720019e-8,133,3.2866154203056615e-11,-17.32711328314992,false
Battaglia12,1.0e12,0.1,1.0,0.0005202225935611788,665,8.691924773471737e-14,2.377772872693686e-9,133,6.301063101604038e-13,-19.857101555142783,false
Battaglia12,1.0e12,0.1,4.0,0.0020808903742447152,589,1.785070318028151e-13,9.070692072980613e-11,133,3.5566030053671486e-12,-23.123387458192447,false
Battaglia12,1.0e12,0.1,100.0,0.05202225935611788,437,5.948939768233163e-14,6.77210702577722e-15,133,1.7215623314831788e-13,-32.62596412660384,true
Battaglia12,1.0e12,0.1,133.3521432163324,0.0693727978009422,399,1.831570208567767e-13,2.8061724245569776e-15,133,9.623760715917515e-14,-33.50695496659479,true
Battaglia12,1.0e12,0.1,177.82794100389228,0.09251011267668914,399,6.910811621666825e-14,1.1615134633227563e-15,133,6.114534827906136e-14,-34.3890525304256,true
Battaglia12,1.0e12,0.1,237.13737056616552,0.12336421794620897,361,5.225132064448085e-13,4.803667501375621e-16,133,6.419869448923992e-14,-35.27198179895167,true
Battaglia12,1.0e12,0.1,316.22776601683796,0.16450882859333704,361,7.348124450417297e-14,1.985410562301076e-16,133,7.44777996447103e-14,-36.15553576275896,true
Battaglia12,1.0e12,0.1,421.6965034285823,0.2193760487092976,323,9.691126218216096e-13,8.202080396205335e-17,133,1.0084096442482964e-13,-37.039558751952406,true
Battaglia12,1.0e12,0.1,562.341325190349,0.2925426626571536,323,1.183324114934874e-13,3.387231056252964e-17,95,5.1558333410347094e-11,-37.923933790832805,true
Battaglia12,1.0e12,0.1,749.8942093324558,0.3901119104754397,323,6.717823177694747e-14,1.3984626734588173e-17,95,1.261548727213805e-11,-38.8085730380071,true
Battaglia12,1.0e12,0.1,1000.0,0.5202225935611788,285,3.4880176440028155e-13,5.772591361284675e-18,95,6.859478567789634e-13,-39.693410584784175,true
Battaglia12,1.0e12,0.1,1333.521432163324,0.693727978009422,285,6.949382923873933e-14,2.3824624867267513e-18,95,3.0233102004974684e-12,-40.57839706281086,true
Battaglia12,1.0e12,0.1,1778.2794100389228,0.9251011267668914,247,4.399635347370728e-13,9.831790830615798e-19,95,2.1684977183829455e-12,-41.463495669196895,true
Battaglia12,1.0e12,0.1,2371.373705661655,1.2336421794620898,247,8.719389814523992e-14,4.0569740454984023e-19,95,1.0737080339441003e-12,-42.34867938014459,true
Battaglia12,1.0e12,0.1,3162.2776601683795,1.6450882859333704,247,6.139468036434652e-14,1.6739522042195154e-19,95,4.5013894474409286e-13,-43.23392934706739,true
Battaglia12,1.0e12,0.1,4216.965034285822,2.193760487092976,209,2.0723473511049087e-13,6.906527544026078e-20,95,1.736021915034094e-13,-44.11923487460008,true
Battaglia12,1.0e12,0.1,5623.413251903491,2.9254266265715367,209,6.714520192616865e-14,2.849391921700557e-20,95,6.282136014556888e-14,-45.004596249171826,true
Battaglia12,1.0e12,0.1,7498.942093324558,3.901119104754397,171,5.507602270449904e-13,1.1754701486952213e-20,95,1.1448454717964225e-14,-45.890033665764946,true
Battaglia12,1.0e12,0.1,10000.0,5.202225935611788,171,6.61202942234395e-14,4.848536595865661e-21,57,8.303693610733062e-11,-46.77561002626727,true
Battaglia12,1.0e12,0.1,13335.21432163324,6.9372797800942205,171,3.53037149556405e-14,1.999308791000343e-21,57,3.2643723586729018e-12,-47.66148543654984,true
Battaglia12,1.0e12,0.1,17782.794100389227,9.251011267668913,133,9.853027613173857e-14,8.238596059072775e-22,57,2.663779607605986e-12,-48.54804209764464,true
Battaglia12,1.0e12,0.1,23713.737056616552,12.336421794620897,133,2.7449169044420685e-14,3.389614668857864e-22,57,6.772206145540869e-13,-49.43615579794081,true
Battaglia12,1.0e12,0.1,31622.776601683792,16.450882859333703,95,3.6406075704519986e-13,1.3897661140401037e-22,57,6.876290420239124e-14,-50.32773657616475,true
Battaglia12,1.0e12,0.1,42169.65034285822,21.937604870929757,95,5.5363781682741646e-15,5.656532256805346e-23,57,4.408881968810501e-16,-51.22664610988636,true
Battaglia12,1.0e12,0.1,56234.13251903491,29.254266265715366,57,2.7460786702744414e-13,2.2696963959646054e-23,19,1.0421183446831246e-12,-52.139811062585665,true
Battaglia12,1.0e12,0.1,74989.42093324558,39.01119104754397,57,3.576373674369777e-14,8.886086691789857e-24,19,1.0418928942293923e-12,-53.07755547139391,true
Battaglia12,1.0e12,0.1,100000.0,52.02225935611788,57,2.0709652803157906e-16,3.3554267353424184e-24,19,2.2090778872543856e-14,-54.051463275679154,true
Battaglia12,1.0e12,0.1,133352.1432163324,69.3727978009422,19,2.646314741984506e-13,1.2122930101771191e-24,19,0.0,-55.06952861585674,true
Battaglia12,1.0e12,0.1,177827.94100389228,92.51011267668913,19,1.7968903499021834e-15,4.189489521388308e-25,19,5.927360689489307e-16,-56.1320484309435,true
Battaglia12,1.0e12,0.1,237137.37056616554,123.36421794620898,19,0.0,1.3944491403911435e-25,19,2.9386154605409613e-16,-57.23212786900406,true
Battaglia12,1.0e12,0.1,316227.7660168379,164.50882859333703,19,1.603179634721197e-16,4.515097761971672e-26,19,1.3104153961210717e-15,-58.35978557850375,true
Battaglia12,1.0e12,0.1,421696.5034285823,219.3760487092976,19,0.0,1.4354269217726094e-26,19,2.4291785678798317e-16,-59.50575010641812,true
Battaglia12,1.0e12,0.1,562341.3251903491,292.5426626571537,19,0.0,4.511875523700055e-27,19,1.7535104199953722e-15,-60.66308458485646,true
Battaglia12,1.0e12,0.1,749894.2093324559,390.11191047543974,19,1.6058645432537477e-16,1.4086089972488068e-27,19,1.0532086801525192e-15,-61.82719482016087,true
Battaglia12,1.0e12,0.1,1.0e6,520.2225935611788,19,1.2910007720901525e-16,4.380390958883396e-28,19,4.1915560263574013e-16,-62.99524462340932,true
Battaglia12,1.0e12,0.1,1.333521432163324e6,693.7279780094219,19,2.080437569124407e-16,1.3591102645669011e-28,19,2.2292325685266418e-15,-64.165552335409,true
Battaglia12,1.0e12,0.1,1.778279410038923e6,925.1011267668914,19,0.0,4.211522268531002e-29,19,6.182891241777663e-16,-65.33714353051465,true
Battaglia12,1.0e12,0.1,2.3713737056616554e6,1233.6421794620899,19,1.3551309444608082e-16,1.3040917127535606e-29,19,6.589832745887618e-16,-66.5094609039298,true
