ell,L1_m9_target_clean,L1_m9_fit_clean,L1_m9_target_noisy,L1_m9_fit_noisy,fgas-8sigma_target_clean,fgas-8sigma_fit_clean,fgas-8sigma_target_noisy,fgas-8sigma_fit_noisy,Mstar-1sigma_target_clean,Mstar-1sigma_fit_clean,Mstar-1sigma_target_noisy,Mstar-1sigma_fit_noisy
198.01805555555555,9.6576317362401631e-14,1.0389212348070394e-13,9.5341572800045408e-14,1.0445891466509755e-13,8.8437044622752132e-14,8.3542444253961606e-14,8.7398924027335485e-14,8.3967573381856978e-14,9.9689289754818412e-14,9.3117074468052337e-14,9.8469808096892155e-14,9.3717214669248627e-14
388.27171052631581,1.8113037984863692e-13,1.7251625126835774e-13,1.810020571180183e-13,1.7246769168325466e-13,1.6029387446826971e-13,1.5086215586295466e-13,1.6004847471322259e-13,1.511045013482208e-13,1.8640381625627121e-13,1.7541871698755818e-13,1.862965327429911e-13,1.7576835147928893e-13
585.24698275862067,2.5046872607576067e-13,2.3538041948069158e-13,2.4953310834668927e-13,2.349058916905298e-13,2.1833917530277293e-13,2.0610827604714003e-13,2.1785400363818114e-13,2.0501905940392131e-13,2.5843932687026771e-13,2.4592722421096093e-13,2.575099669953084e-13,2.4475860544834633e-13
783.77339743589744,3.0546075815065059e-13,2.917545175007605e-13,3.0025157564031197e-13,2.8776359240355563e-13,2.6280177698739186e-13,2.5376511501861501e-13,2.5744217331225494e-13,2.5102750989712587e-13,3.15381930780163e-13,3.1008271348742911e-13,3.1016752459524606e-13,3.072755384948805e-13
982.90127551020407,3.5074019848530208e-13,3.3534072334127404e-13,3.6112008161737954e-13,3.4535743723702557e-13,2.971497960445365e-13,2.8831800630702809e-13,3.0721121780276037e-13,2.9708050751575297e-13,3.6201398991629203e-13,3.5865406048132864e-13,3.7235065582901525e-13,3.6711829426838201e-13
1182.3247881355933,3.8282933336399154e-13,3.6614363310237119e-13,3.9000810092331656e-13,3.7601163904806853e-13,3.1849003871593491e-13,3.0923894562738803e-13,3.2548598275226325e-13,3.1834401400772839e-13,3.9461085072372958e-13,3.9075064066502308e-13,4.0161637645395949e-13,4.0018828099582685e-13
1381.9153985507246,4.0523258428571635e-13,3.9270262176532893e-13,3.9911940345520569e-13,3.8699409145584465e-13,3.3068130626636984e-13,3.2593936431292015e-13,3.2422742735331567e-13,3.2026879439153437e-13,4.1702335134960393e-13,4.1782438701802279e-13,4.1103541727849468e-13,4.1285081073051054e-13
1581.6096518987342,4.2087393205859005e-13,4.092290988264107e-13,4.1614126350616283e-13,4.019526268564977e-13,3.3713798583326253e-13,3.3261280856021719e-13,3.3248007706823512e-13,3.2568142248599374e-13,4.3238308921057733e-13,4.329507086421783e-13,4.2784751786239287e-13,4.2594233708465657e-13
1781.3726123595507,4.2498393209635144e-13,4.1556280816378837e-13,4.3083953383632407e-13,4.2095275179297508e-13,3.3414229039278615e-13,3.3245320079069131e-13,3.4051025650959332e-13,3.3708207479545132e-13,4.3597958433414325e-13,4.3796114962483784e-13,4.4214961147924243e-13,4.4391614472158864e-13
1981.1834595959597,4.231941067014072e-13,4.153993301851494e-13,4.2341837579414221e-13,4.1406401545538521e-13,3.2663628775369432e-13,3.2573993434630141e-13,3.2663898459817628e-13,3.2346834617664276e-13,4.3316059278568212e-13,4.3535212515159183e-13,4.3344494618121417e-13,4.3369444006912057e-13
