name,kind,P0,xc,beta,alpha_m_P0,alpha_m_xc,alpha_m_beta,alpha_z_P0,alpha_z_xc,alpha_z_beta
Battaglia12,reference,18.1,0.497,4.35,0.154,-0.00865,0.0393,-0.758,0.731,0.415
L1_m9,clean_spectrum_fit,19.863946898236897,1.378849450857866,7.273537628593472,0.004031541178634246,-0.3708453659453409,-0.01000634064400005,-3.2031983230820584,1.2715097462230687,0.7122775044426832
fgas-8sigma,clean_spectrum_fit,15.709015230535915,1.3772759831840422,7.00167495745385,0.22873657409029463,-0.2123883050140173,0.09095722144703261,-3.244485230507415,1.4632356982720358,0.7738716778594799
Mstar-1sigma,clean_spectrum_fit,34.19982141725153,1.3705116615597033,8.661816391074165,0.21115973720715092,-0.34544184574451775,-0.007785537632154893,-3.8312286030814304,1.5794345830598515,0.8338737927415714
extreme_xc_high,full_map_completed,18.1,4.0,4.35,0.154,-0.00865,0.0393,-0.758,0.731,0.415
extreme_beta_low,full_map_completed,18.1,0.497,2.8,0.154,-0.00865,0.0393,-0.758,0.731,0.415
extreme_beta_high,full_map_completed,18.1,0.497,16.0,0.154,-0.00865,0.0393,-0.758,0.731,0.415
extreme_wide_steep,full_map_completed,18.1,4.0,16.0,0.154,-0.00865,0.0393,-0.758,0.731,0.415
extreme_compact_steep_evolving,failed,18.1,0.1,16.0,0.154,-0.00865,0.0393,-0.758,0.731,1.5
extreme_mass_redshift_amplitude,full_map_completed,18.1,0.497,4.35,1.5,-0.00865,0.0393,-4.5,0.731,0.415
P0_1,exact_amplitude_rescaling,1.0,0.497,4.35,0.154,-0.00865,0.0393,-0.758,0.731,0.415
P0_60,exact_amplitude_rescaling,60.0,0.497,4.35,0.154,-0.00865,0.0393,-0.758,0.731,0.415
