mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,1.451482010433956999e-08,1.451482007953764127e-08,1.457507887373081350e-08,1.708731378613492780e-09,4.151534015445879078e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,1.254857236551713296e-08,1.254857230386683582e-08,1.260422737929582272e-08,4.912933171397071419e-09,4.435166978167703888e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,8.326913636771764524e-09,8.326913528012474362e-09,8.341323833060848059e-09,1.306117669575002083e-08,1.730556712567388189e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,2.042997010264695103e-09,2.042996994675205910e-09,2.139520038036983611e-09,7.630696075011655921e-09,4.724579981631138459e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,6.634210755482075421e-11,6.634210960117223458e-11,1.022538772718494877e-10,3.084543975795384085e-08,5.413118612090157544e-01
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,2.898538206947655418e-14,2.898538262780829629e-14,2.174305739137728821e-13,1.926252823913898737e-08,6.501387195538852914e+00
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,4.878513947758136435e-17,4.878513921323384698e-17,1.643217984471785714e-15,5.418607340601511169e-09,3.268275671789167092e+01
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,2.976248599177823992e-20,2.976248541302896106e-20,4.921497873036643500e-18,1.944559602229389839e-08,1.643590991826484640e+02
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,1.543128168085855074e-08,1.543128165936739919e-08,1.543127521170611714e-08,1.392700399449608994e-09,4.192232743172041864e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,1.338638621182088633e-08,1.338638616551226004e-08,1.338637500605213344e-08,3.459382225123874832e-09,8.371018567210342098e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,8.969910371919769042e-09,8.969910272594685524e-09,8.969898417484056347e-09,1.107314118176105922e-08,1.332726328073796651e-06
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,2.262294669868499346e-09,2.262294654816675897e-09,2.262292001836456629e-09,6.653343431750613490e-09,1.179347711932621223e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,7.587849180855925377e-11,7.587849358995559448e-11,7.587844528442778675e-11,2.347696037574564798e-08,6.131399077347055027e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,3.139587232597785135e-14,3.139587269574070550e-14,3.139514976922203623e-14,1.177743524927166163e-08,2.301438699692237577e-05
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,4.643390284874691690e-17,4.643390248049853587e-17,4.642944777699658569e-17,7.930592960114779544e-09,9.594437419668810918e-05
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,2.309098387515042988e-20,2.309098335074204982e-20,2.308448951230455672e-20,2.271052557123454108e-08,2.812510233859422115e-04
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,2.202655315932260837e-08,2.202655312722357684e-08,2.202655310368469998e-08,1.457287956974084864e-09,2.525947118137139569e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,1.933369440605064566e-08,1.933369432576505789e-08,1.933369438159512695e-08,4.152625243669660904e-09,1.264916948962024890e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,1.340342908833479835e-08,1.340342892003472675e-08,1.340342889684317310e-08,1.255649362263966395e-08,1.428676377202009462e-08
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,3.736764474257834951e-09,3.736764430034932989e-09,3.736764464587917401e-09,1.183454356734614521e-08,2.587778213936076099e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-01,1.436576085106451527e-10,1.436576117518360865e-10,1.436576057962801743e-10,2.256191633520643336e-08,1.889468304039354507e-08
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000000e+00,5.195916248281624562e-14,5.195916422657857855e-14,5.195915359412481757e-14,3.356024702583226826e-08,1.710707218105511629e-07
1.000000000000000000e+12,5.000000000000000000e-01,2.000000000000000000e+00,4.942103954877709163e-17,4.942103999271173381e-17,4.942102812640112510e-17,8.982705468341123378e-09,2.311237495833395883e-07
1.000000000000000000e+12,5.000000000000000000e-01,4.000000000000000000e+00,1.163519435349354289e-20,1.163519420167925773e-20,1.163519082370157276e-20,1.304785124389695739e-08,3.033719818690272518e-07
1.000000000000000000e+12,1.000000000000000000e+00,3.000000000000000062e-03,3.672677225219718653e-08,3.672677222136140208e-08,3.672677234542729062e-08,8.395996120569293453e-10,2.538478094393781248e-09
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000021e-02,3.256312010853049401e-08,3.256311996949142539e-08,3.256312025760368037e-08,4.269832487580060842e-09,4.577976220332402590e-09
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-02,2.325107183197473005e-08,2.325107164612026292e-08,2.325107240336796923e-08,7.993372075354443496e-09,2.457492032093000489e-08
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000056e-01,7.103695889612285845e-09,7.103695767400601222e-09,7.103695972060331360e-09,1.720395781390493539e-08,1.160635920705033186e-08
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-01,3.167049763909658106e-10,3.167049787292419307e-10,3.167049675050298307e-10,7.383136546579294190e-09,2.805745613621013490e-08
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000000e+00,1.106926757566168382e-13,1.106926812418875955e-13,1.106926734185750596e-13,4.955405330520079588e-08,2.112191943570707053e-08
1.000000000000000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,7.363900901457611371e-17,7.363901045801246187e-17,7.363900887674436420e-17,1.960151774227369970e-08,1.871721999613384924e-09
