mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,1.4514820079537641e-8,1.4575078873730814e-8,0.004151535731271139
1.0e12,0.01,0.01,1.2548572303866836e-8,1.2604227379295823e-8,0.0044351719128905565
1.0e12,0.01,0.03,8.326913528012474e-9,8.341323833060848e-9,0.0017305697963472255
1.0e12,0.01,0.1,2.042996994675206e-9,2.1395200380369836e-9,0.047245807807525964
1.0e12,0.01,0.3,6.634210960117223e-11,1.0225387727184949e-10,0.5413118136665751
1.0e12,0.01,1.0,2.8985382627808296e-14,2.1743057391377288e-13,6.501387051043173
1.0e12,0.01,2.0,4.878513921323385e-17,1.6432179844717857e-15,32.6827569004053
1.0e12,0.01,4.0,2.976248541302896e-20,4.9214978730366435e-18,164.35910239815476
1.0e12,0.1,0.003,1.54312816593674e-8,1.5431275211706117e-8,4.178305745838884e-7
1.0e12,0.1,0.01,1.338638616551226e-8,1.3386375006052133e-8,8.336424773824902e-7
1.0e12,0.1,0.03,8.969910272594686e-9,8.969898417484056e-9,1.3216532015469795e-6
1.0e12,0.1,0.1,2.262294654816676e-9,2.2622920018364566e-9,1.1726943762724318e-6
1.0e12,0.1,0.3,7.58784935899556e-11,7.587844528442779e-11,6.366168531224403e-7
1.0e12,0.1,1.0,3.1395872695740705e-14,3.1395149769222036e-14,2.3026164160944163e-5
1.0e12,0.1,2.0,4.6433902480498536e-17,4.6429447776996586e-17,9.593644436456383e-5
1.0e12,0.1,4.0,2.309098335074205e-20,2.3084489512304557e-20,0.00028122831924715097
1.0e12,0.5,0.003,2.2026553127223577e-8,2.20265531036847e-8,1.0686591611630547e-9
1.0e12,0.5,0.01,1.9333694325765058e-8,1.9333694381595127e-8,2.887708294707636e-9
1.0e12,0.5,0.03,1.3403428920034727e-8,1.3403428896843173e-8,1.7302701493804307e-9
1.0e12,0.5,0.1,3.736764430034933e-9,3.736764464587917e-9,9.246765575454674e-9
1.0e12,0.5,0.3,1.4365761175183609e-10,1.4365760579628017e-10,4.1456598376399256e-8
1.0e12,0.5,1.0,5.195916422657858e-14,5.195915359412482e-14,2.0463096206402298e-7
1.0e12,0.5,2.0,4.9421039992711734e-17,4.9421028126401125e-17,2.4010645283123466e-7
1.0e12,0.5,4.0,1.1635194201679258e-20,1.1635190823701573e-20,2.903241343998886e-7
1.0e12,1.0,0.003,3.67267722213614e-8,3.672677234542729e-8,3.378077595428408e-9
1.0e12,1.0,0.01,3.2563119969491425e-8,3.256312025760368e-8,8.847808707912463e-9
1.0e12,1.0,0.03,2.3251071646120263e-8,2.325107240336797e-8,3.2568292729351356e-8
1.0e12,1.0,0.1,7.103695767400601e-9,7.103695972060331e-9,2.8810317465044477e-8
1.0e12,1.0,0.3,3.1670497872924193e-10,3.1670496750502983e-10,3.5440592571767127e-8
1.0e12,1.0,1.0,1.106926812418876e-13,1.1069267341857506e-13,7.067596929921649e-8
1.0e12,1.0,2.0,7.363901045801246e-17,7.363900887674436e-17,2.1473239408820177e-8
1.0e12,1.0,4.0,8.720524188273534e-21,8.720524380774228e-21,2.2074440719777044e-8
1.0e12,3.0,0.003,1.913220089228163e-7,1.91322009461647e-7,2.816354927048792e-9
1.0e12,3.0,0.01,1.7326914420707931e-7,1.7326914518187614e-7,5.625911292383989e-9
1.0e12,3.0,0.03,1.317513632176696e-7,1.317513671672927e-7,2.997785375491446e-8
1.0e12,3.0,0.1,4.954320623424312e-8,4.9543207559195944e-8,2.6743380621141455e-8
1.0e12,3.0,0.3,3.3178217368886668e-9,3.317821839908699e-9,3.105050261353881e-8
1.0e12,3.0,1.0,1.5018809236330123e-12,1.5018808346606958e-12,5.924059298667572e-8
1.0e12,3.0,2.0,5.62250684015907e-16,5.622506380907929e-16,8.168085041670992e-8
1.0e12,3.0,4.0,1.4714456583774164e-20,1.4714455905019853e-20,4.61283981012528e-8
1.0e12,5.0,0.003,5.553507009698322e-7,5.553507013301909e-7,6.488849457753076e-10
