mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,6.819233600591796179e-08,6.819233596975505477e-08,6.828312106610301261e-08,5.303074646079153354e-10,1.331308846454160033e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,6.659494919260308505e-08,6.659494913202078727e-08,6.677106030977487983e-08,9.097130826418720062e-10,2.644511622982959054e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,6.295813997818134976e-08,6.295813984403036268e-08,6.323248779399117475e-08,2.130796539212553853e-09,4.357622634736380007e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,5.292988482770773264e-08,5.292988471288298016e-08,5.344742599221182873e-08,2.169374679894531255e-09,9.777863038787026895e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,3.482616364836377093e-08,3.482616372289187062e-08,3.662093126630082771e-08,2.140003063644257963e-09,5.153503659084135435e-02
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,1.321673683509292802e-08,1.321673679212357361e-08,1.681886839673667752e-08,3.251131919235206169e-09,2.725431857037063921e-01
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,5.857217988074190466e-09,5.857217899629926753e-09,9.031934628855939318e-09,1.510004643545670433e-08,5.420178397399157966e-01
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,2.264498258311738732e-09,2.264498165728856322e-09,4.302179633575603932e-09,4.088450145101063526e-08,8.998379079271303649e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,7.156612154235599941e-08,7.156612156421578896e-08,7.156611378241106334e-08,3.054487773823666430e-10,1.084304244169942422e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,6.990275483334443988e-08,6.990275483801193552e-08,6.990273869793537878e-08,6.677125519161108969e-11,2.308265117934027444e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,6.611827830349046187e-08,6.611827823661391520e-08,6.611824801323795682e-08,1.011468353517841479e-09,4.581222210475743850e-07
