mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,6.819233596975505e-8,6.828312106610301e-8,0.0013313093774676155
1.0e12,0.01,0.01,6.659494913202079e-8,6.677106030977488e-8,0.002644512535101784
1.0e12,0.01,0.03,6.295813984403036e-8,6.323248779399117e-8,0.0043576247748180474
1.0e12,0.01,0.1,5.292988471288298e-8,5.344742599221183e-8,0.009777865229373628
1.0e12,0.01,0.3,3.482616372289187e-8,3.662093126630083e-8,0.051535034340553176
1.0e12,0.01,1.0,1.3216736792123574e-8,1.6818868396736678e-8,0.2725431898409121
1.0e12,0.01,2.0,5.857217899629927e-9,9.03193462885594e-9,0.5420178630244572
1.0e12,0.01,4.0,2.2644981657288563e-9,4.302179633575604e-9,0.8998379856010592
1.0e12,0.1,0.003,7.156612156421579e-8,7.156611378241106e-8,1.0873587330539891e-7
1.0e12,0.1,0.01,6.990275483801194e-8,6.990273869793538e-8,2.3089328304859436e-7
1.0e12,0.1,0.03,6.611827823661392e-8,6.611824801323796e-8,4.5711075313814575e-7
1.0e12,0.1,0.1,5.565290982032841e-8,5.565286049350096e-8,8.863297105143886e-7
1.0e12,0.1,0.3,3.658430213726021e-8,3.658424951637925e-8,1.4383458992739406e-6
1.0e12,0.1,1.0,1.3630675069046816e-8,1.3630624602922715e-8,3.7023935972602118e-6
1.0e12,0.1,2.0,5.881743989077803e-9,5.881678099469779e-9,1.1202393056630733e-5
1.0e12,0.1,4.0,2.1881639404172103e-9,2.1880926530190997e-9,3.257863672545547e-5
1.0e12,0.5,0.003,9.795701813927688e-8,9.795701801589373e-8,1.2595641196710972e-9
1.0e12,0.5,0.01,9.575539291096468e-8,9.575539282547645e-8,8.927771855127276e-10
1.0e12,0.5,0.03,9.07606226242e-8,9.076062249239785e-8,1.4521953639601293e-9
1.0e12,0.5,0.1,7.682301556218816e-8,7.68230156262688e-8,8.341334289951874e-10
1.0e12,0.5,0.3,5.0574785891667887e-8,5.057478561012889e-8,5.566785699073762e-9
1.0e12,0.5,1.0,1.7821911544564533e-8,1.782191106583764e-8,2.6861702862035486e-8
1.0e12,0.5,2.0,7.009154202799292e-9,7.009153985700859e-9,3.0973556386371115e-8
1.0e12,0.5,4.0,2.2633981586736936e-9,2.263398075277184e-9,3.6845708817345724e-8
1.0e12,1.0,0.003,1.5804514949390427e-7,1.580451495545253e-7,3.835678441532764e-10
1.0e12,1.0,0.01,1.5462266412677777e-7,1.5462266428091164e-7,9.968388337000533e-10
1.0e12,1.0,0.03,1.46882643394239e-7,1.4688264402143423e-7,4.270043207910135e-9
1.0e12,1.0,0.1,1.2514289912581963e-7,1.2514289971483914e-7,4.706775413865216e-9
1.0e12,1.0,0.3,8.298179000378477e-8,8.29817896814029e-8,3.884971233603096e-9
1.0e12,1.0,1.0,2.8227709393473402e-8,2.822770909329269e-8,1.0634256808472742e-8
1.0e12,1.0,2.0,1.0269074113793827e-8,1.0269074079421304e-8,3.3471880822588673e-9
1.0e12,1.0,4.0,2.907565036422383e-9,2.907565044734171e-9,2.858676628747503e-9
1.0e12,3.0,0.003,7.741552330521767e-7,7.741552333306247e-7,3.5967984146623166e-10
1.0e12,3.0,0.01,7.590930897315604e-7,7.590930902419414e-7,6.723561707389081e-10
1.0e12,3.0,0.03,7.253341527992445e-7,7.253341557216244e-7,4.029011790862569e-9
1.0e12,3.0,0.1,6.296338808945666e-7,6.296338836285604e-7,4.342196158191314e-9
1.0e12,3.0,0.3,4.3192767091014516e-7,4.3192767364256216e-7,6.326098533904201e-9
1.0e12,3.0,1.0,1.4394604071223713e-7,1.439460393879824e-7,9.199660588876668e-9
1.0e12,3.0,2.0,4.551100235074093e-8,4.5511001761550786e-8,1.2946103411515253e-8
1.0e12,3.0,4.0,9.582925498864046e-9,9.582925424937639e-9,7.714388128299277e-9
1.0e12,5.0,0.003,2.186536985887766e-6,2.186536986079214e-6,8.755773883706297e-11
1.0e12,5.0,0.01,2.1469081638027435e-6,2.1469081661820137e-6,1.108231062474374e-9
1.0e12,5.0,0.03,2.0586008813251376e-6,2.0586008840709893e-6,1.3338437021559457e-9
1.0e12,5.0,0.1,1.8078278921641302e-6,1.8078279114253344e-6,1.0654335191873088e-8
1.0e12,5.0,0.3,1.2734176262199556e-6,1.2734176339165905e-6,6.044077682787474e-9
1.0e12,5.0,1.0,4.353976803326227e-7,4.3539766986508487e-7,2.40413265961692e-8
