mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,8.580248896965533087e-11,8.580248894390850712e-11,8.597599331225665235e-11,3.000708570510823847e-10,2.022136475116509402e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,8.254277309521498781e-11,8.254277301591117916e-11,8.284732039891261400e-11,9.607601381134145413e-10,3.689569568329442717e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,7.497840779321220854e-11,7.497840756766226012e-11,7.537539111396510390e-11,3.008198690146457466e-09,5.294635248160428631e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,5.500815674229760744e-11,5.500815662502400501e-11,5.574747573532436820e-11,2.131931187143720763e-09,1.344017027311639190e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,2.575159444576843426e-11,2.575159463747231367e-11,2.816309347632683576e-11,7.444349803265026821e-09,9.364464929101368185e-02
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,4.467896749150281258e-12,4.467896773348025130e-12,6.940631841235959553e-12,5.415913939543770539e-09,5.534449945728827647e-01
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,1.033214261232919885e-12,1.033214260954443756e-12,2.270408200681969608e-12,2.695240697292433651e-10,1.197422437794000150e+00
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,1.877037401959676205e-13,1.877037395583131502e-13,5.989965208668897680e-13,3.397132464222352155e-09,2.191180528643284831e+00
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,6.582552291448582363e-11,6.582552290943066442e-11,6.582551063518468981e-11,7.679634705937132821e-11,1.865431612513290816e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,6.336069075955963054e-11,6.336069072737691511e-11,6.336066735020237546e-11,5.079286991005460550e-10,3.694618377902969542e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,5.764198345397674218e-11,5.764198331579518041e-11,5.764194352616261272e-11,2.397238185736227933e-09,6.926863327372245749e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,4.246575860309925571e-11,4.246575853269457921e-11,4.246570700870372354e-11,1.657916359754096902e-09,1.214964649887129156e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,1.993991689334643536e-11,1.993991700872016549e-11,1.993988305113578340e-11,5.786068735247340555e-09,1.697209212725425687e-06
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,3.382820382083744275e-12,3.382820393921035287e-12,3.382801863662775168e-12,3.499237122284171164e-09,5.474254875403872234e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,7.526671111004789772e-13,7.526671102677468033e-13,7.526522862814363731e-13,1.106375102644108210e-09,1.969638213750180000e-05
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,1.290473224891655594e-13,1.290473219029342935e-13,1.290396428988139283e-13,4.542761944392736950e-09,5.950987748915004261e-05
