mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,8.580248894390851e-11,8.597599331225665e-11,0.0020221367757942144
1.0e12,0.01,0.01,8.254277301591118e-11,8.284732039891261e-11,0.003689570532634301
1.0e12,0.01,0.03,7.497840756766226e-11,7.53753911139651e-11,0.005294638272286489
1.0e12,0.01,0.1,5.5008156625024005e-11,5.574747573532437e-11,0.013440172433701214
1.0e12,0.01,0.3,2.5751594637472314e-11,2.8163093476326836e-11,0.09364464114954041
1.0e12,0.01,1.0,4.467896773348025e-12,6.9406318412359596e-12,0.5534449861595587
1.0e12,0.01,2.0,1.0332142609544438e-12,2.2704082006819696e-12,1.1974224383862584
1.0e12,0.01,4.0,1.8770373955831315e-13,5.989965208668898e-13,2.191180539484148
1.0e12,0.1,0.003,6.582552290943066e-11,6.582551063518469e-11,1.864663649042697e-7
1.0e12,0.1,0.01,6.336069072737692e-11,6.336066735020238e-11,3.68953909313241e-7
1.0e12,0.1,0.03,5.764198331579518e-11,5.764194352616261e-11,6.902890962168229e-7
1.0e12,0.1,0.1,4.246575853269458e-11,4.2465707008703724e-11,1.2133067355257765e-6
1.0e12,0.1,0.3,1.9939917008720165e-11,1.9939883051135783e-11,1.7029952715796881e-6
1.0e12,0.1,1.0,3.3828203939210353e-12,3.382801863662775e-12,5.47775409343032e-6
1.0e12,0.1,2.0,7.526671102677468e-13,7.526522862814364e-13,1.9695275784159527e-5
1.0e12,0.1,4.0,1.290473219029343e-13,1.2903964289881393e-13,5.9505334997544956e-5
1.0e12,0.5,0.003,2.8780034143197087e-11,2.8780034060369444e-11,2.877954985436304e-9
1.0e12,0.5,0.01,2.776005022012272e-11,2.7760050160294826e-11,2.155179590346279e-9
1.0e12,0.5,0.03,2.539673250363451e-11,2.5396732423956057e-11,3.1373506015341945e-9
1.0e12,0.5,0.1,1.9016043253611365e-11,1.901604326387375e-11,5.396698643522768e-10
1.0e12,0.5,0.3,9.08492231699336e-12,9.08492221699494e-12,1.1007074807167783e-8
1.0e12,0.5,1.0,1.445289554691333e-12,1.4452894837730963e-12,4.9068532015361654e-8
1.0e12,0.5,2.0,2.8144509056066896e-13,2.814450745613964e-13,5.684687032214697e-8
1.0e12,0.5,4.0,3.9018339656676586e-14,3.901833700314484e-14,6.800729535072492e-8
1.0e12,1.0,0.003,1.60598092573667e-11,1.605980926807925e-11,6.670408669862127e-10
1.0e12,1.0,0.01,1.5520505698905307e-11,1.552050572709322e-11,1.8161723236431726e-9
1.0e12,1.0,0.03,1.4273488401839086e-11,1.4273488511166039e-11,7.659441747520646e-9
1.0e12,1.0,0.1,1.086024995908068e-11,1.0860250043844638e-11,7.804973112257585e-9
1.0e12,1.0,0.3,5.3126763875254446e-12,5.3126763463054296e-12,7.758804043689338e-9
1.0e12,1.0,1.0,8.16422728965431e-13,8.164227143923947e-13,1.7849866029706618e-8
1.0e12,1.0,2.0,1.423644043662306e-13,1.4236440358053545e-13,5.518901780021679e-9
1.0e12,1.0,4.0,1.621647860994293e-14,1.6216478693363972e-14,5.144214165753169e-9
1.0e12,3.0,0.003,6.038432586404357e-12,6.038432590058079e-12,6.050779877142531e-10
1.0e12,3.0,0.01,5.861846666908553e-12,5.8618466738820535e-12,1.1896421625579023e-9
1.0e12,3.0,0.03,5.4565366614349026e-12,5.456536700060956e-12,7.078859054487907e-9
1.0e12,3.0,0.1,4.319643378029543e-12,4.3196434090173934e-12,7.173705851570844e-9
1.0e12,3.0,0.3,2.2825838888618474e-12,2.2825839099555706e-12,9.241160059403342e-9
1.0e12,3.0,1.0,3.5547410776645773e-13,3.554741023647934e-13,1.519566183993959e-8
1.0e12,3.0,2.0,5.123426227249934e-14,5.123426119160436e-14,2.109711227937794e-8
1.0e12,3.0,4.0,3.766199136534021e-15,3.7661990905449235e-15,1.2211010536056222e-8
1.0e12,5.0,0.003,3.7833787257632826e-12,3.783378726308338e-12,1.440658703444342e-10
