mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,1.245337476976676907e-07,1.245337476917491804e-07,1.247065795795027668e-07,4.752531701512907603e-11,1.387831692455376853e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,1.216100153554523370e-07,1.216100153461913287e-07,1.219516180138503880e-07,7.615330588350843755e-11,2.809001030051661019e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,1.150025246825294424e-07,1.150025245831319392e-07,1.155122605463980306e-07,8.643071813807523540e-10,4.432388465172687475e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,9.610662122091972189e-08,9.610662111826472851e-08,9.649020451150328954e-08,1.068136579185363644e-09,3.991226470253517178e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,5.771627775821451278e-08,5.771627743173114912e-08,5.784836771661228413e-08,5.656694668232375989e-09,2.288608405260017520e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,1.035208955202163959e-08,1.035208954467298688e-08,1.119275010662502795e-08,7.098713838971093537e-10,8.120684721464921374e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,1.192493359541804972e-09,1.192493366181997546e-09,1.633616373142974844e-09,5.568326688631941579e-09,3.699165367014403127e-01
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,3.642477688410174054e-11,3.642477741886736972e-11,9.051510120124523377e-11,1.468137011961800908e-08,1.484987114382358975e+00
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,1.322232844694268009e-07,1.322232844703762719e-07,1.322232698806209289e-07,7.180922523275512503e-12,1.103346202180333080e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,1.291783423925040202e-07,1.291783423953408923e-07,1.291783116820399126e-07,2.196087756090037146e-11,2.377369421324715404e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,1.223064668889781046e-07,1.223064668503346616e-07,1.223064084803422013e-07,3.159558170651166620e-10,4.775596694761574668e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,1.026459758347927191e-07,1.026459758219254151e-07,1.026458803784457773e-07,1.253561698888461251e-10,9.299570310483673552e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,6.238416104097525821e-08,6.238416089390376290e-08,6.238407467013246052e-08,2.357513406714417670e-09,1.384499548562345694e-06
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,1.154466863312763597e-08,1.154466862137918973e-08,1.154465713452154413e-08,1.017651185541978975e-09,9.960100594286203091e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,1.358874672519765236e-09,1.358874671753874157e-09,1.358874048771841860e-09,5.636215938409350201e-10,4.590179918384507118e-07
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,4.157279726293573068e-11,4.157279737225039512e-11,4.157265979774556021e-11,2.629475748250342804e-09,3.306613921116863253e-06
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,1.878785873067008315e-07,1.878785872991179014e-07,1.878785870831750307e-07,4.036082579261801584e-11,1.189735421291970852e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,1.838457458992394445e-07,1.838457458912399065e-07,1.838457457391148538e-07,4.351219384801652268e-11,8.709725163313919438e-10
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,1.747905383636076976e-07,1.747905382545795754e-07,1.747905380223025213e-07,6.237644845086265377e-10,1.952652484149552947e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,1.488649176219474609e-07,1.488649175313257881e-07,1.488649183462532486e-07,6.087510495689230083e-10,4.865523761665713209e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-01,9.434166459154528203e-08,9.434166414707253831e-08,9.434166379640211575e-08,4.711309120608575540e-09,8.428335140919784862e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000000e+00,1.959087967391076606e-08,1.959087965610298361e-08,1.959087976296783330e-08,9.089833330477858908e-10,4.545843257375281610e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.000000000000000000e+00,2.523305855100682654e-09,2.523305862648852154e-09,2.523305701355195144e-09,2.991381142791738057e-09,6.093018301012165239e-08
1.000000000000000000e+12,5.000000000000000000e-01,4.000000000000000000e+00,7.989486762591935579e-11,7.989486877306628935e-11,7.989486317813533938e-11,1.435820551343169882e-08,5.567045979759654983e-08
1.000000000000000000e+12,1.000000000000000000e+00,3.000000000000000062e-03,3.120385008348937924e-07,3.120385007914993945e-07,3.120385008968781812e-07,1.390674242429668084e-10,1.986433240119822585e-10
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000021e-02,3.057648967106554864e-07,3.057648965551161497e-07,3.057648968293961648e-07,5.086893128947167497e-10,3.883398047577202306e-10
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-02,2.917449887183340522e-07,2.917449881800337087e-07,2.917449894788402016e-07,1.845105734865626346e-09,2.606749704980870774e-09
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000056e-01,2.516219591427399657e-07,2.516219575716778664e-07,2.516219599527897075e-07,6.243740080513759949e-09,3.219312594282541795e-09
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-01,1.653924889039873629e-07,1.653924863251296717e-07,1.653924926300635662e-07,1.559235074388709563e-08,2.252869046870387137e-08
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000000e+00,3.823143008089527095e-08,3.823142939929836018e-08,3.823143020890534856e-08,1.782818248585726906e-08,3.348294308480603831e-09
1.000000000000000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,5.423883967701535766e-09,5.423883988355768304e-09,5.423883987211681564e-09,3.808015236472783727e-09,3.597080189265966510e-09
1.000000000000000000e+12,1.000000000000000000e+00,4.000000000000000000e+00,1.840182577822672613e-10,1.840182660552474922e-10,1.840182455644479292e-10,4.495738803456106325e-08,6.639460392587892557e-08
1.000000000000000000e+12,3.000000000000000000e+00,3.000000000000000062e-03,1.611918023080464767e-06,1.611918022977593675e-06,1.611918023461128785e-06,6.381906114683033593e-11,2.361559836572268978e-10
1.000000000000000000e+12,3.000000000000000000e+00,1.000000000000000021e-02,1.584253341327501753e-06,1.584253340759322005e-06,1.584253341640855239e-06,3.586420049828120682e-10,1.977924490859095386e-10
1.000000000000000000e+12,3.000000000000000000e+00,2.999999999999999889e-02,1.523123461802946528e-06,1.523123460300719196e-06,1.523123465811925303e-06,9.862807237581705522e-10,2.632077444886249395e-09
1.000000000000000000e+12,3.000000000000000000e+00,1.000000000000000056e-01,1.348965474646903449e-06,1.348965468190983708e-06,1.348965475918372959e-06,4.785830176601280073e-09,9.425515923311422739e-10
1.000000000000000000e+12,3.000000000000000000e+00,2.999999999999999889e-01,9.589344485895421969e-07,9.589344389715345381e-07,9.589344727602823151e-07,1.002989069576187831e-08,2.520583142207044602e-08
1.000000000000000000e+12,3.000000000000000000e+00,1.000000000000000000e+00,2.841657030382488973e-07,2.841656959073320948e-07,2.841657020254721428e-07,2.509422047936027411e-08,3.564035844227930738e-09
1.000000000000000000e+12,3.000000000000000000e+00,2.000000000000000000e+00,5.238324941277760786e-08,5.238324847204172684e-08,5.238324969274691822e-08,1.795871562570994229e-08,5.344634290693761614e-09
1.000000000000000000e+12,3.000000000000000000e+00,4.000000000000000000e+00,2.359183961042681817e-09,2.359183983991987762e-09,2.359183873665162215e-09,9.727645799983974939e-09,3.703717943448481265e-08
1.000000000000000000e+12,5.000000000000000000e+00,3.000000000000000062e-03,4.658922716090431153e-06,4.658922715651690109e-06,4.658922715984961152e-06,9.417222557317472820e-11,2.263833565052664198e-11
1.000000000000000000e+12,5.000000000000000000e+00,1.000000000000000021e-02,4.586045343947515257e-06,4.586045342284405876e-06,4.586045346346434536e-06,3.626456912542153077e-10,5.230911259701542804e-10
1.000000000000000000e+12,5.000000000000000000e+00,2.999999999999999889e-02,4.426034261448260146e-06,4.426034255973174700e-06,4.426034260928220032e-06,1.237018265598521793e-09,1.174956798521975543e-10
1.000000000000000000e+12,5.000000000000000000e+00,1.000000000000000056e-01,3.972179991244251060e-06,3.972179972113352108e-06,3.972180018640561887e-06,4.816221532699671570e-09,6.897046711529242202e-09
1.000000000000000000e+12,5.000000000000000000e+00,2.999999999999999889e-01,2.937705429002429662e-06,2.937705390203761100e-06,2.937705434885380954e-06,1.320713371999460151e-08,2.002566779069070435e-09
1.000000000000000000e+12,5.000000000000000000e+00,1.000000000000000000e+00,9.951548819284189812e-07,9.951548520161157933e-07,9.951549252736912599e-07,3.005793747234974944e-08,4.355630767172158357e-08
1.000000000000000000e+12,5.000000000000000000e+00,2.000000000000000000e+00,2.150331577981736295e-07,2.150331509802714999e-07,2.150331537227375224e-07,3.170628293247546026e-08,1.895259382767022771e-08
1.000000000000000000e+12,5.000000000000000000e+00,4.000000000000000000e+00,1.203615571590787536e-08,1.203615567519696721e-08,1.203615576464355710e-08,3.382384594630138963e-09,4.049107049652889145e-09
1.000000000000000000e+13,1.000000000000000021e-02,3.000000000000000062e-03,1.624534665228585960e-06,1.624534664937911145e-06,1.626955285177009505e-06,1.789280945629911912e-10,1.490038963300799324e-03
1.000000000000000000e+13,1.000000000000000021e-02,1.000000000000000021e-02,1.582781774921101180e-06,1.582781773756172109e-06,1.587495661961714727e-06,7.360010378931747255e-10,2.978229289283040870e-03
1.000000000000000000e+13,1.000000000000000021e-02,2.999999999999999889e-02,1.487850489363423773e-06,1.487850485518162279e-06,1.494612728119649820e-06,2.584440772501750416e-09,4.544971960938948286e-03
1.000000000000000000e+13,1.000000000000000021e-02,1.000000000000000056e-01,1.216844917277235291e-06,1.216844907166206388e-06,1.221163280704262418e-06,8.309217314206307492e-09,3.548819874836350863e-03
1.000000000000000000e+13,1.000000000000000021e-02,2.999999999999999889e-01,6.850687943382168665e-07,6.850687829146451899e-07,6.863646033099855057e-07,1.667507232294695996e-08,1.891501966631459197e-03
1.000000000000000000e+13,1.000000000000000021e-02,1.000000000000000000e+00,9.922036159767044155e-08,9.922036116456963130e-08,1.086933670105549839e-07,4.365039663056791142e-09,9.547440928805239757e-02
1.000000000000000000e+13,1.000000000000000021e-02,2.000000000000000000e+00,8.827041932383390103e-09,8.827042170780351541e-09,1.267215343660802135e-08,2.700757106843809652e-08,4.356058953473682660e-01
1.000000000000000000e+13,1.000000000000000021e-02,4.000000000000000000e+00,1.806034708527558756e-10,1.806034794095340456e-10,5.070090958570984849e-10,4.737881353911177484e-08,1.807305382688119799e+00
1.000000000000000000e+13,1.000000000000000056e-01,3.000000000000000062e-03,1.725153498305377079e-06,1.725153497985554802e-06,1.725153293813221186e-06,1.853877051871677395e-10,1.185356295341222221e-07
