mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,1.2453374769174918e-7,1.2470657957950277e-7,0.0013878317400468632
1.0e12,0.01,0.01,1.2161001534619133e-7,1.219516180138504e-7,0.002809001106418796
1.0e12,0.01,0.03,1.1500252458313194e-7,1.1551226054639803e-7,0.0044323893333109154
1.0e12,0.01,0.1,9.610662111826473e-8,9.649020451150329e-8,0.003991227542653242
1.0e12,0.01,0.3,5.771627743173115e-8,5.7848367716612284e-8,0.0022886140749007744
1.0e12,0.01,1.0,1.0352089544672987e-8,1.1192750106625028e-8,0.08120684798216704
1.0e12,0.01,2.0,1.1924933661819975e-9,1.6336163731429748e-9,0.36991652907329753
1.0e12,0.01,4.0,3.642477741886737e-11,9.051510120124523e-11,1.4849870778993441
1.0e12,0.1,0.003,1.3222328447037627e-7,1.3222326988062093e-7,1.1034180102953428e-7
1.0e12,0.1,0.01,1.291783423953409e-7,1.291783116820399e-7,2.3775890301003244e-7
1.0e12,0.1,0.03,1.2230646685033466e-7,1.223064084803422e-7,4.772437137701147e-7
1.0e12,0.1,0.1,1.0264597582192542e-7,1.0264588037844578e-7,9.298316751005231e-7
1.0e12,0.1,0.3,6.238416089390376e-8,6.238407467013246e-8,1.382142038375278e-6
1.0e12,0.1,1.0,1.154466862137919e-8,1.1544657134521544e-8,9.94992409242279e-7
1.0e12,0.1,2.0,1.3588746717538742e-9,1.3588740487718419e-9,4.584543705776767e-7
1.0e12,0.1,4.0,4.1572797372250395e-11,4.157265979774556e-11,3.309243388205374e-6
1.0e12,0.5,0.003,1.878785872991179e-7,1.8787858708317503e-7,1.1493745954993528e-9
1.0e12,0.5,0.01,1.838457458912399e-7,1.8384574573911485e-7,8.274603224833754e-10
1.0e12,0.5,0.03,1.7479053825457958e-7,1.7479053802230252e-7,1.3288879996409264e-9
1.0e12,0.5,0.1,1.488649175313258e-7,1.4886491834625325e-7,5.474274811234636e-9
1.0e12,0.5,0.3,9.434166414707254e-8,9.434166379640212e-8,3.7170260203112093e-9
1.0e12,0.5,1.0,1.9590879656102984e-8,1.9590879762967833e-8,5.4548265904230675e-9
1.0e12,0.5,2.0,2.523305862648852e-9,2.523305701355195e-9,6.392156393086879e-8
1.0e12,0.5,4.0,7.989486877306629e-11,7.989486317813534e-11,7.002866431182753e-8
1.0e12,1.0,0.003,3.120385007914994e-7,3.120385008968782e-7,3.3771074825494907e-10
1.0e12,1.0,0.01,3.0576489655511615e-7,3.0576489682939616e-7,8.97029117652437e-10
1.0e12,1.0,0.03,2.917449881800337e-7,2.917449894788402e-7,4.451855328824195e-9
1.0e12,1.0,0.1,2.5162195757167787e-7,2.516219599527897e-7,9.463052785818604e-9
1.0e12,1.0,0.3,1.6539248632512967e-7,1.6539249263006357e-7,3.812104187872478e-8
1.0e12,1.0,1.0,3.823142939929836e-8,3.823143020890535e-8,2.1176477016382478e-8
1.0e12,1.0,2.0,5.423883988355768e-9,5.4238839872116816e-9,2.1093493618451475e-10
1.0e12,1.0,4.0,1.840182660552475e-10,1.8401824556444793e-10,1.1135198696443638e-7
1.0e12,3.0,0.003,1.6119180229775937e-6,1.6119180234611288e-6,2.9997493378175477e-10
1.0e12,3.0,0.01,1.584253340759322e-6,1.5842533416408552e-6,5.564344540687216e-10
1.0e12,3.0,0.03,1.5231234603007192e-6,1.5231234658119253e-6,3.6183580576221175e-9
1.0e12,3.0,0.1,1.3489654681909837e-6,1.348965475918373e-6,5.728381768932422e-9
1.0e12,3.0,0.3,9.589344389715345e-7,9.589344727602823e-7,3.5235722561921534e-8
1.0e12,3.0,1.0,2.841656959073321e-7,2.8416570202547214e-7,2.1530185190243856e-8
1.0e12,3.0,2.0,5.238324847204173e-8,5.238324969274692e-8,2.3303350360492914e-8
1.0e12,3.0,4.0,2.3591839839919878e-9,2.3591838736651622e-9,4.676482479037958e-8
1.0e12,5.0,0.003,4.65892271565169e-6,4.658922715984961e-6,7.153388992264809e-11
1.0e12,5.0,0.01,4.586045342284406e-6,4.5860453463464345e-6,8.857365951797647e-10
1.0e12,5.0,0.03,4.426034255973175e-6,4.42603426092822e-6,1.1195226967686267e-9
1.0e12,5.0,0.1,3.972179972113352e-6,3.972180018640562e-6,1.1713268355251216e-8
1.0e12,5.0,0.3,2.937705390203761e-6,2.937705434885381e-6,1.520970083213058e-8
1.0e12,5.0,1.0,9.951548520161158e-7,9.951549252736913e-7,7.361424736451738e-8
1.0e12,5.0,2.0,2.150331509802715e-7,2.1503315372273752e-7,1.275368943787214e-8
1.0e12,5.0,4.0,1.2036155675196967e-8,1.2036155764643557e-8,7.431491644283028e-9
1.0e13,0.01,0.003,1.6245346649379111e-6,1.6269552851770095e-6,0.0014900391424954584
1.0e13,0.01,0.01,1.5827817737561721e-6,1.5874956619617147e-6,0.002978230027476103
1.0e13,0.01,0.03,1.4878504855181623e-6,1.4946127281196498e-6,0.004544974557125991
1.0e13,0.01,0.1,1.2168449071662064e-6,1.2211632807042624e-6,0.0035488282135418547
1.0e13,0.01,0.3,6.850687829146452e-7,6.863646033099855e-7,0.0018915186732451073
1.0e13,0.01,1.0,9.922036116456963e-8,1.0869336701055498e-7,0.09547441406984158
1.0e13,0.01,2.0,8.827042170780352e-9,1.2672153436608021e-8,0.4356058565751413
1.0e13,0.01,4.0,1.8060347940953405e-10,5.070090958570985e-10,1.8073052496813276
1.0e13,0.1,0.003,1.7251534979855548e-6,1.7251532938132212e-6,1.1835024182893505e-7
1.0e13,0.1,0.01,1.6816754634623023e-6,1.6816750309677654e-6,2.571807380391533e-7
1.0e13,0.1,0.03,1.582957534702348e-6,1.5829567285343023e-6,5.092796413475043e-7
1.0e13,0.1,0.1,1.3009037217563773e-6,1.3009024239435622e-6,9.976240311626583e-7
1.0e13,0.1,0.3,7.423846333478261e-7,7.423836008190087e-7,1.3908273028828688e-6
1.0e13,0.1,1.0,1.1136430870264633e-7,1.1136421604674318e-7,8.320071684941865e-7
1.0e13,0.1,2.0,1.0146722744355458e-8,1.0146719680387132e-8,3.019663001868622e-7
1.0e13,0.1,4.0,2.0784061144321183e-10,2.0783980940423212e-10,3.858913684595677e-6
1.0e13,0.5,0.003,2.4527726594865616e-6,2.452772657128214e-6,9.615027662945863e-10
1.0e13,0.5,0.01,2.3952159877333815e-6,2.3952159884011475e-6,2.7879165642730186e-10
1.0e13,0.5,0.03,2.265193366771009e-6,2.2651933711375308e-6,1.9276595875084013e-9
1.0e13,0.5,0.1,1.8929147884917342e-6,1.8929148190330478e-6,1.6134542368817506e-8
1.0e13,0.5,0.3,1.1327359342650752e-6,1.1327359640916549e-6,2.6331450131422685e-8
1.0e13,0.5,1.0,1.934036994856841e-7,1.9340370228368495e-7,1.4467152587016585e-8
1.0e13,0.5,2.0,1.9472041842554956e-8,1.9472041106321075e-8,3.780979351830638e-8
1.0e13,0.5,4.0,4.134479073426711e-10,4.1344782907545336e-10,1.89303697939458e-7
1.0e13,1.0,0.003,4.075687785944291e-6,4.0756877867562125e-6,1.9921087002217064e-10
1.0e13,1.0,0.01,3.986188983052576e-6,3.986188983248378e-6,4.912004136770065e-11
1.0e13,1.0,0.03,3.7849708838785723e-6,3.784970892052393e-6,2.1595465415913395e-9
1.0e13,1.0,0.1,3.2084363926769207e-6,3.2084363982572047e-6,1.7392534079618827e-9
1.0e13,1.0,0.3,2.001061150580647e-6,2.0010611770968556e-6,1.3251073571751704e-8
1.0e13,1.0,1.0,3.8539945232228563e-7,3.853994560045385e-7,9.55438017591348e-9
1.0e13,1.0,2.0,4.32020766735513e-8,4.320207608284991e-8,1.3672985965662576e-8
1.0e13,1.0,4.0,9.886078701234633e-10,9.886078425938453e-10,2.7846852934665378e-8
1.0e13,3.0,0.003,2.1074404303389347e-5,2.1074404305848927e-5,1.1670930888385556e-10
1.0e13,3.0,0.01,2.0680118466866147e-5,2.0680118470467843e-5,1.7416224018518278e-10
1.0e13,3.0,0.03,1.9803797033952425e-5,1.9803797054904686e-5,1.0579921383424562e-9
1.0e13,3.0,0.1,1.7298818322829373e-5,1.7298818381880854e-5,3.41361361400061e-9
1.0e13,3.0,0.3,1.1789840318910942e-5,1.1789840396613116e-5,6.590604506584441e-9
1.0e13,3.0,1.0,3.0022333480609924e-6,3.0022334226450445e-6,2.4842856438667127e-8
1.0e13,3.0,2.0,4.505951874208081e-7,4.505952104804437e-7,5.117594747972021e-8
1.0e13,3.0,4.0,1.407960963643597e-8,1.407960953797504e-8,6.993157608548017e-9
1.0e13,5.0,0.003,6.093880503883056e-5,6.0938805057063356e-5,2.9919844379833194e-10
1.0e13,5.0,0.01,5.9900664869060814e-5,5.990066489877505e-5,4.960585275881613e-10
1.0e13,5.0,0.03,5.7608482337717925e-5,5.7608482544134046e-5,3.5830856059959615e-9
1.0e13,5.0,0.1,5.107908075121165e-5,5.107908100935243e-5,5.053747642591588e-9
1.0e13,5.0,0.3,3.6407096353810875e-5,3.64070976718953e-5,3.620405242266145e-8
1.0e13,5.0,1.0,1.0776517545992338e-5,1.0776517783778962e-5,2.2065256510828135e-8
1.0e13,5.0,2.0,1.931451604473475e-6,1.9314516854041953e-6,4.1901500269503344e-8
1.0e13,5.0,4.0,7.677661075756096e-8,7.677661069445815e-8,8.219015468213797e-10
1.0e14,0.01,0.003,2.1197164728068582e-5,2.123081227067056e-5,0.0015873605283363013
