mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,3.597308705111689636e-07,3.597308705172755947e-07,3.599201109977285109e-07,1.697553209112356853e-11,5.260612921282881160e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,3.569682842293680205e-07,3.569682842346472592e-07,3.573756146944151458e-07,1.478905886642678524e-11,1.141083068280090984e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,3.510969682399044802e-07,3.510969681927805433e-07,3.518736081523311453e-07,1.342191913167312123e-10,2.212038219298939623e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,3.351424775242885731e-07,3.351424774628982721e-07,3.364670528500924778e-07,1.831766960336267402e-10,3.952275269875071828e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,2.980263071345460749e-07,2.980263067441290548e-07,2.996978171735153735e-07,1.310008546084873160e-09,5.608598969132794210e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,2.042620838993956137e-07,2.042620838786891787e-07,2.081653478954919400e-07,1.013719108655664058e-10,1.910909710496633274e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,1.266309614463688220e-07,1.266309616358665035e-07,1.351449209363482680e-07,1.496456070171348074e-09,6.723442191967654580e-02
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,5.787921451177559982e-08,5.787921473982640287e-08,7.014546809574472727e-08,3.940115789191622753e-09,2.119284735882782655e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,3.797365464573752410e-07,3.797365465313074001e-07,3.797365291902999736e-07,1.946933725349708766e-10,4.547119691888923398e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,3.768562043725310148e-07,3.768562044476751721e-07,3.768561698186099898e-07,1.993973874903076648e-10,9.168993542196801627e-08
