mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,3.597308705172756e-7,3.599201109977285e-7,0.0005260612751438742
1.0e12,0.01,0.01,3.5696828423464726e-7,3.5737561469441515e-7,0.0011410830534741567
1.0e12,0.01,0.03,3.5109696819278054e-7,3.5187360815233115e-7,0.0022120383538151156
1.0e12,0.01,0.1,3.3514247746289827e-7,3.364670528500925e-7,0.003952275453775744
1.0e12,0.01,0.3,2.9802630674412905e-7,2.9969781717351537e-7,0.005608600286488796
1.0e12,0.01,1.0,2.0426208387868918e-7,2.0816534789549194e-7,0.01910909720827525
1.0e12,0.01,2.0,1.266309616358665e-7,1.3514492093634827e-7,0.06723442032260696
1.0e12,0.01,4.0,5.78792147398264e-8,7.014546809574473e-8,0.21192846881313976
1.0e12,0.1,0.003,3.797365465313074e-7,3.797365291903e-7,4.56658901804019e-8
1.0e12,0.1,0.01,3.7685620444767517e-7,3.7685616981861e-7,9.188933280945832e-8
1.0e12,0.1,0.03,3.7073978136577063e-7,3.7073971322749665e-7,1.8379002575397152e-7
1.0e12,0.1,0.1,3.541390811014228e-7,3.5413894226146996e-7,3.920492265274689e-7
1.0e12,0.1,0.3,3.155045999440329e-7,3.155043641767459e-7,7.472705215727515e-7
1.0e12,0.1,1.0,2.1724475430375268e-7,2.1724447458508714e-7,1.2875738538697945e-6
1.0e12,0.1,2.0,1.34972693678531e-7,1.3497248072685712e-7,1.5777389341664616e-6
1.0e12,0.1,4.0,6.14462345719061e-8,6.144610147196881e-8,2.166120320001852e-6
1.0e12,0.5,0.003,5.294343405617439e-7,5.294343399453697e-7,1.1642128372457705e-9
1.0e12,0.5,0.01,5.256044683194067e-7,5.256044677334207e-7,1.1148800771465517e-9
1.0e12,0.5,0.03,5.174959295045603e-7,5.174959288449598e-7,1.274600425205108e-9
1.0e12,0.5,0.1,4.955860088699595e-7,4.955860088976537e-7,5.5881743676877704e-11
1.0e12,0.5,0.3,4.445665050075831e-7,4.445665041505231e-7,1.9278555418722476e-9
1.0e12,0.5,1.0,3.11813488216634e-7,3.1181348874529146e-7,1.6954284642878292e-9
1.0e12,0.5,2.0,1.9604127870282858e-7,1.960412759183572e-7,1.4203495379838671e-8
1.0e12,0.5,4.0,8.86881130755231e-8,8.868811171068654e-8,1.53891712706411e-8
1.0e12,1.0,0.003,8.661590128909621e-7,8.661590129624521e-7,8.253686623049816e-11
1.0e12,1.0,0.01,8.601805436286734e-7,8.601805437927992e-7,1.908038171904991e-10
1.0e12,1.0,0.03,8.475564762170087e-7,8.475564769730036e-7,8.919700533738251e-10
