mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,2.975660397549090765e-07,2.975660397411279034e-07,2.978327982542590142e-07,4.631295347223840508e-11,8.964682245651278691e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,2.936852551618269921e-07,2.936852551088295700e-07,2.942332356139335471e-07,1.804565386009926442e-10,1.865876622932916007e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,2.852346602109442748e-07,2.852346599668147152e-07,2.861972753675684354e-07,8.558902475641616547e-10,3.374818319457517646e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,2.615138709671307047e-07,2.615138703271532144e-07,2.628325725468769667e-07,2.447202884781063403e-09,5.042568391762314306e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,2.070824942384632464e-07,2.070824928356800181e-07,2.082439336056569762e-07,6.774031002798608370e-09,5.608583050271231940e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,9.495782596535890660e-08,9.495782576687848034e-08,9.824675619666544099e-08,2.090195572179709416e-09,3.463569429765955832e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,3.511642764835352322e-08,3.511642797365879639e-08,4.014399342026522345e-08,9.263620981414533162e-09,1.431684857655908250e-01
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,6.875842687280567943e-09,6.875842824992359932e-09,1.026725208925169405e-08,2.002835119974122335e-08,4.932354558147180601e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,2.579951699527372652e-07,2.579951699582795606e-07,2.579951477311346787e-07,2.148214939268200396e-11,8.613185509265264272e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,2.547713309555258552e-07,2.547713309583609274e-07,2.547712894098660760e-07,1.112798742042286904e-11,1.630703879706985049e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,2.477712622677304120e-07,2.477712621907450168e-07,2.477711845361538112e-07,3.107115675859972725e-10,3.137231326943989984e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,2.281741022554362203e-07,2.281741021508678854e-07,2.281739569335164287e-07,4.582830781529878550e-10,6.368905075548880745e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,1.829488493987470473e-07,1.829488488652174845e-07,1.829486441094589823e-07,2.916277219711105317e-09,1.122113031826188490e-06
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,8.694813923057833621e-08,8.694813915857218447e-08,8.694800323173847653e-08,8.281505481377848810e-10,1.564137439458157530e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,3.315140374349061700e-08,3.315140380870228071e-08,3.315135081146445480e-08,1.967086049603494757e-09,1.596675259118995882e-06
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,6.617963224154039451e-09,6.617963275075650191e-09,6.617946553620358216e-09,7.694453518780619561e-09,2.518982520238743916e-06
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,1.760096739308218475e-07,1.760096739359805693e-07,1.760096735428958984e-07,2.930922171628935757e-11,2.204003535233312050e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,1.741305626954250730e-07,1.741305626987621446e-07,1.741305623220177715e-07,1.916422576186960214e-11,2.144409871895902597e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,1.700901908385520141e-07,1.700901907964017223e-07,1.700901903784829718e-07,2.478114380366491787e-10,2.704853452328848107e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,1.589028048261085672e-07,1.589028047591115433e-07,1.589028047415022313e-07,4.216226257014454859e-10,5.324407581497325737e-10
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-01,1.327323073565335868e-07,1.327323069619183803e-07,1.327323064152287842e-07,2.973015500451481330e-09,7.091753517762811043e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000000e+00,7.158287991139285081e-08,7.158287977435236966e-08,7.158288016894122553e-08,1.914430947103085145e-09,3.597904640884053151e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.000000000000000000e+00,3.094441199125081933e-08,3.094441196600426119e-08,3.094441149157823546e-08,8.158680397940543116e-10,1.614742539679525635e-08
1.000000000000000000e+12,5.000000000000000000e-01,4.000000000000000000e+00,6.965673461190731562e-09,6.965673505494128951e-09,6.965673265344516552e-09,6.360246107561806639e-09,2.811590527063145828e-08
1.000000000000000000e+12,1.000000000000000000e+00,3.000000000000000062e-03,1.484311247832739854e-07,1.484311247807646503e-07,1.484311247971722873e-07,1.690569906287464619e-11,9.363465558465122740e-11
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000021e-02,1.470646006089927656e-07,1.470646005920147048e-07,1.470646006324443021e-07,1.154463191710419778e-10,1.594642196067752593e-10
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-02,1.441504074806662079e-07,1.441504074445303530e-07,1.441504076401113987e-07,2.506815865999101334e-10,1.106102986980772585e-09
