mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,2.975660397411279e-7,2.97832798254259e-7,0.0008964682709196037
1.0e12,0.01,0.01,2.9368525510882957e-7,2.9423323561393355e-7,0.0018658768037262963
1.0e12,0.01,0.03,2.852346599668147e-7,2.8619727536756844e-7,0.0033748191782363435
1.0e12,0.01,0.1,2.615138703271532e-7,2.6283257254687697e-7,0.005042570851305328
1.0e12,0.01,0.3,2.0708249283568002e-7,2.0824393360565698e-7,0.005608589862294844
1.0e12,0.01,1.0,9.495782576687848e-8,9.824675619666544e-8,0.034635696460250553
1.0e12,0.01,2.0,3.5116427973658796e-8,4.0143993420265223e-8,0.1431684751757114
1.0e12,0.01,4.0,6.87584282499236e-9,1.0267252089251694e-8,0.49323542590767455
1.0e12,0.1,0.003,2.5799516995827956e-7,2.579951477311347e-7,8.615333724204532e-8
1.0e12,0.1,0.01,2.5477133095836093e-7,2.547712894098661e-7,1.6308151584709663e-7
1.0e12,0.1,0.03,2.47771262190745e-7,2.477711845361538e-7,3.134124212378353e-7
1.0e12,0.1,0.1,2.2817410215086789e-7,2.2817395693351643e-7,6.364322246987797e-7
1.0e12,0.1,0.3,1.8294884886521748e-7,1.8294864410945898e-7,1.1191967578261242e-6
1.0e12,0.1,1.0,8.694813915857218e-8,8.694800323173848e-8,1.563309290131265e-6
1.0e12,0.1,2.0,3.315140380870228e-8,3.3151350811464455e-8,1.598642342059975e-6
1.0e12,0.1,4.0,6.61796327507565e-9,6.617946553620358e-9,2.5266769543286216e-6
1.0e12,0.5,0.003,1.7600967393598057e-7,1.760096735428959e-7,2.233312867971904e-9
1.0e12,0.5,0.01,1.7413056269876214e-7,1.7413056232201777e-7,2.163574097657772e-9
1.0e12,0.5,0.03,1.7009019079640172e-7,1.7009019037848297e-7,2.457042014292199e-9
1.0e12,0.5,0.1,1.5890280475911154e-7,1.5890280474150223e-7,1.1081813244828709e-10
1.0e12,0.5,0.3,1.3273230696191838e-7,1.3273230641522878e-7,4.11873801731133e-9
1.0e12,0.5,1.0,7.158287977435237e-8,7.158288016894123e-8,5.512335699009441e-9
1.0e12,0.5,2.0,3.094441196600426e-8,3.0944411491578235e-8,1.5331557357001202e-8
1.0e12,0.5,4.0,6.965673505494129e-9,6.9656732653445166e-9,3.447615115614866e-8
1.0e12,1.0,0.003,1.4843112478076465e-7,1.484311247971723e-7,1.1054046566982834e-10
1.0e12,1.0,0.01,1.470646005920147e-7,1.470646006324443e-7,2.7491053877781724e-10
1.0e12,1.0,0.03,1.4415040744453035e-7,1.441504076401114e-7,1.3567844625583803e-9
1.0e12,1.0,0.1,1.3617235437299217e-7,1.3617235480527957e-7,3.1745606143829264e-9
1.0e12,1.0,0.3,1.174289937705989e-7,1.1742899560838083e-7,1.565015472770881e-8
1.0e12,1.0,1.0,7.0445961812977e-8,7.044596290802255e-8,1.5544475928663815e-8
1.0e12,1.0,2.0,3.445952345071383e-8,3.445952370983924e-8,7.519703748570805e-9
1.0e12,1.0,4.0,9.106984014314063e-9,9.106983857853834e-9,1.7180246336678806e-8
1.0e12,3.0,0.003,1.5090163469692545e-7,1.5090163471078289e-7,9.18309872588452e-11
1.0e12,3.0,0.01,1.499345069963203e-7,1.499345070172625e-7,1.3967560441585647e-10
1.0e12,3.0,0.03,1.4790495778779554e-7,1.4790495790758175e-7,8.098863801819789e-10
1.0e12,3.0,0.1,1.424996272446946e-7,1.4249962743663588e-7,1.3469598769688673e-9
1.0e12,3.0,0.3,1.2994311782760436e-7,1.2994311914834977e-7,1.016402739750788e-8
