mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,6.281573941414424364e-07,6.281573941459755450e-07,6.286075842683883049e-07,7.216449660063517513e-12,7.166836387577646406e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,6.218396632802161908e-07,6.218396631964347856e-07,6.227750414114339519e-07,1.347315592425957220e-10,1.504211111725606287e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,6.082898356046429681e-07,6.082898352581717643e-07,6.100043665637563752e-07,5.695823812601474856e-10,2.818608595373195413e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,5.709125031872439870e-07,5.709125018275977115e-07,5.735517895159883594e-07,2.381531749584553381e-09,4.622926129678406326e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,4.834710829438494830e-07,4.834710799671994177e-07,4.858837746957140970e-07,6.156831600101497770e-09,4.990353791531454419e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,2.750336124919110705e-07,2.750336102082727635e-07,2.788308041730412815e-07,8.303124410247164633e-09,1.380628224574520502e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,1.290424345324938907e-07,1.290424346187780401e-07,1.372330095830450459e-07,6.686493581042896039e-10,6.347195075964484623e-02
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,3.430687565898481098e-08,3.430687623096726746e-08,4.293196561408336454e-08,1.667253135551050036e-08,2.514099517785637339e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,5.528596320169332777e-07,5.528596320150126305e-07,5.528595923532230004e-07,3.473998866354577331e-12,7.174282223854078211e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,5.474763425161220512e-07,5.474763424389915486e-07,5.474762701090178503e-07,1.408837491112535645e-10,1.322561333783056625e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,5.359526312545964448e-07,5.359526309832691337e-07,5.359524962386769238e-07,5.062523733556645311e-10,2.519176353077412500e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,5.042445701862617792e-07,5.042445690422032824e-07,5.042443086831051564e-07,2.268856325038370869e-09,5.186038126714365148e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,4.299625149683141231e-07,4.299625125628943423e-07,4.299621062799995882e-07,5.594487206828091530e-09,9.505208019566779853e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,2.499138775449829314e-07,2.499138752344564105e-07,2.499135119236720350e-07,9.245290977233366903e-09,1.462989228429023569e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,1.198170844025741469e-07,1.198170842181485516e-07,1.198169013418278536e-07,1.539226190949705142e-09,1.527835092995921684e-06
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,3.248750835550164849e-08,3.248750881251160479e-08,3.248745821968791980e-08,1.406725158581423329e-08,1.543233577039337945e-06
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,3.981975032094701894e-07,3.981975031943820444e-07,3.981975023446383800e-07,3.789113467433935512e-11,2.171866464450999956e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,3.947579483390177276e-07,3.947579482812559040e-07,3.947579474591431425e-07,1.463221765973798938e-10,2.228896400779944997e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,3.874431282232885770e-07,3.874431280298842207e-07,3.874431271381216870e-07,4.991812518895244466e-10,2.800841780725704666e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,3.675063792883734063e-07,3.675063785749209959e-07,3.675063783743006071e-07,1.941333427346592089e-09,2.487229755487874172e-09
