mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,6.281573941459755e-7,6.286075842683883e-7,0.0007166836315359859
1.0e12,0.01,0.01,6.218396631964348e-7,6.22775041411434e-7,0.0015042112466596702
1.0e12,0.01,0.03,6.082898352581718e-7,6.100043665637564e-7,0.002818609166561181
1.0e12,0.01,0.1,5.709125018275977e-7,5.735517895159884e-7,0.0046229285222196825
1.0e12,0.01,0.3,4.834710799671994e-7,4.858837746957141e-7,0.004990359979087922
1.0e12,0.01,1.0,2.7503361020827276e-7,2.788308041730413e-7,0.013806290663504805
1.0e12,0.01,2.0,1.2904243461877804e-7,1.3723300958304505e-7,0.06347195004855499
1.0e12,0.01,4.0,3.430687623096727e-8,4.2931965614083365e-8,0.25140993091439245
1.0e12,0.1,0.003,5.528596320150126e-7,5.52859592353223e-7,7.173934812865213e-8
1.0e12,0.1,0.01,5.474763424389915e-7,5.474762701090179e-7,1.321152497402167e-7
1.0e12,0.1,0.03,5.359526309832691e-7,5.359524962386769e-7,2.514113830454079e-7
1.0e12,0.1,0.1,5.042445690422033e-7,5.042443086831052e-7,5.163349574566212e-7
1.0e12,0.1,0.3,4.2996251256289434e-7,4.299621062799996e-7,9.449263200789204e-7
1.0e12,0.1,1.0,2.499138752344564e-7,2.4991351192367204e-7,1.4537439508854888e-6
1.0e12,0.1,2.0,1.1981708421814855e-7,1.1981690134182785e-7,1.5262958691364403e-6
1.0e12,0.1,4.0,3.2487508812511605e-8,3.248745821968792e-8,1.557300806864781e-6
1.0e12,0.5,0.003,3.9819750319438204e-7,3.981975023446384e-7,2.1339753297766606e-9
1.0e12,0.5,0.01,3.947579482812559e-7,3.9475794745914314e-7,2.0825743352048676e-9
1.0e12,0.5,0.03,3.874431280298842e-7,3.874431271381217e-7,2.3016605288361802e-9
1.0e12,0.5,0.1,3.67506378574921e-7,3.675063783743006e-7,5.458963281412821e-10
1.0e12,0.5,0.3,3.20712405260555e-7,3.2071240418940065e-7,3.3399218946073006e-9
1.0e12,0.5,1.0,2.0111389274474852e-7,2.0111389472265468e-7,9.834756564686131e-9
1.0e12,0.5,2.0,1.04905775212495e-7,1.0490577590071974e-7,6.560408438716081e-9
1.0e12,0.5,4.0,3.1364777143581304e-8,3.136477641382551e-8,2.3266729876070258e-8
1.0e12,1.0,0.003,3.5302372542611123e-7,3.530237254565121e-7,8.611555912807489e-11
1.0e12,1.0,0.01,3.503017297410559e-7,3.503017298149566e-7,2.1096280278243285e-10
1.0e12,1.0,0.03,3.4454478546893304e-7,3.4454478582427125e-7,1.0313265796924043e-9
1.0e12,1.0,0.1,3.2899421999759955e-7,3.289942208000918e-7,2.4392290409736006e-9
1.0e12,1.0,0.3,2.925660235563352e-7,2.9256602728316107e-7,1.2738409660428829e-8
1.0e12,1.0,1.0,1.9577649652422895e-7,1.9577649950463703e-7,1.5223523552876372e-8
1.0e12,1.0,2.0,1.1067477615566528e-7,1.1067477721733284e-7,9.592678651415554e-9
1.0e12,1.0,4.0,3.7130124135323495e-8,3.713012447633475e-8,9.184220717273206e-9
1.0e12,3.0,0.003,4.0454301784270755e-7,4.045430178760678e-7,8.246403560008275e-11
1.0e12,3.0,0.01,4.02185752792669e-7,4.0218575284222146e-7,1.2320788833619645e-10
1.0e12,3.0,0.03,3.9725537617911174e-7,3.9725537645811185e-7,7.023193138167017e-10
1.0e12,3.0,0.1,3.842103162425666e-7,3.842103166884045e-7,1.1604006644461151e-9
1.0e12,3.0,0.3,3.540878427743335e-7,3.5408784592299495e-7,8.892317326925081e-9
1.0e12,3.0,1.0,2.693109414915016e-7,2.6931094398729006e-7,9.267311806837597e-9
1.0e12,3.0,2.0,1.813394299451158e-7,1.8133943342423766e-7,1.918568881542626e-8
1.0e12,3.0,4.0,8.2029431902324e-8,8.202943640716558e-8,5.4917381087093986e-8
1.0e12,5.0,0.003,4.859686636504902e-7,4.859686636595299e-7,1.8601564732989573e-11
1.0e12,5.0,0.01,4.835714749443433e-7,4.835714750328103e-7,1.829452145329924e-10
1.0e12,5.0,0.03,4.78583557737159e-7,4.785835578310187e-7,1.9611956503240435e-10
1.0e12,5.0,0.1,4.655287081667006e-7,4.655287091145866e-7,2.036149471251747e-9
1.0e12,5.0,0.3,4.3574294933313987e-7,4.3574295072307663e-7,3.189808861492338e-9
1.0e12,5.0,1.0,3.506678199189304e-7,3.5066782828058635e-7,2.384494801610515e-8
1.0e12,5.0,2.0,2.563213192000205e-7,2.563213212141599e-7,7.857869022132036e-9
1.0e12,5.0,4.0,1.3558925400587137e-7,1.3558925916949137e-7,3.8082811348871815e-8
1.0e13,0.01,0.003,3.0966295867851704e-6,3.1002768677327896e-6,0.0011778228055379092
1.0e13,0.01,0.01,3.0396460863645238e-6,3.046955210678462e-6,0.0024045971492294704
1.0e13,0.01,0.03,2.912809283348403e-6,2.9246383421132634e-6,0.004061048154605729
1.0e13,0.01,0.1,2.551522316759741e-6,2.5643926388686964e-6,0.005044173834740429
1.0e13,0.01,0.3,1.7708390928463297e-6,1.7827526206365459e-6,0.00672761734159999
1.0e13,0.01,1.0,5.376398678613842e-7,5.805790264914361e-7,0.0798660240745439
1.0e13,0.01,2.0,1.271337378878016e-7,1.6620309081763122e-7,0.30730908709936
1.0e13,0.01,4.0,1.3719179507775598e-8,2.7536180041544452e-8,1.0071302387972847
1.0e13,0.1,0.003,2.726044442527446e-6,2.72604415245512e-6,1.0640777581283345e-7
1.0e13,0.1,0.01,2.6775495168766594e-6,2.6775489515167392e-6,2.1114825954349214e-7
1.0e13,0.1,0.03,2.5698780510042185e-6,2.569877003473698e-6,4.076187662960251e-7
1.0e13,0.1,0.1,2.26335094742334e-6,2.263349092338033e-6,8.196189412723598e-7
1.0e13,0.1,0.3,1.594158840700344e-6,1.594156751711233e-6,1.3104021115983855e-6
1.0e13,0.1,1.0,5.012675259661756e-7,5.012667733843382e-7,1.501357655198099e-6
1.0e13,0.1,2.0,1.2066681006504298e-7,1.206666141486709e-7,1.6236144135817199e-6
1.0e13,0.1,4.0,1.284251759465235e-8,1.2842455199169368e-8,4.858508662497485e-6
1.0e13,0.5,0.003,1.9649160700431217e-6,1.9649160660218895e-6,2.0465159566995794e-9
1.0e13,0.5,0.01,1.9340620241332338e-6,1.9340620214143364e-6,1.4057963682034824e-9
1.0e13,0.5,0.03,1.8661753027943202e-6,1.8661753016569229e-6,6.094804660961017e-10
1.0e13,0.5,0.1,1.6737064339555208e-6,1.673706446344108e-6,7.401887769376003e-9
1.0e13,0.5,0.3,1.2403142550246454e-6,1.2403142714587658e-6,1.3249964903039313e-8
1.0e13,0.5,1.0,4.4648666664790863e-7,4.4648666805764785e-7,3.1574050041172086e-9
1.0e13,0.5,2.0,1.1828342110823278e-7,1.1828341794227874e-7,2.676583088501161e-8
1.0e13,0.5,4.0,1.2768319986882522e-8,1.2768318513139459e-8,1.1542184596979865e-7
1.0e13,1.0,0.003,1.7430865312925815e-6,1.7430865314597585e-6,9.590861438368847e-11
1.0e13,1.0,0.01,1.7187553824424423e-6,1.7187553824547804e-6,7.178480032621337e-12
1.0e13,1.0,0.03,1.6656533454941294e-6,1.6656533472888694e-6,1.07749920097433e-9
1.0e13,1.0,0.1,1.5160279387131688e-6,1.5160279400456937e-6,8.789580174806133e-10
1.0e13,1.0,0.3,1.1721318795705484e-6,1.1721318885966386e-6,7.700575732627613e-9
1.0e13,1.0,1.0,4.793395135257131e-7,4.793395165660462e-7,6.342754987898047e-9
1.0e13,1.0,2.0,1.430737626688313e-7,1.4307376291806242e-7,1.7419763409520783e-9
1.0e13,1.0,4.0,1.6978695360779683e-8,1.6978695108118576e-8,1.4881067267324966e-8
1.0e13,3.0,0.003,1.9999181041739345e-6,1.999918104285328e-6,5.5699000967024404e-11
