mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,7.598165353774748e-7,7.603300870884636e-7,0.0006758890956930497
1.0e12,0.01,0.01,7.52673697598194e-7,7.537426364268829e-7,0.0014201888973932597
1.0e12,0.01,0.03,7.374084290029175e-7,7.393856307306989e-7,0.002681284414466134
1.0e12,0.01,0.1,6.955069653429285e-7,6.98633991628839e-7,0.004496038777079159
1.0e12,0.01,0.3,5.973267539018578e-7,6.002923576371739e-7,0.0049647930817497965
1.0e12,0.01,1.0,3.5629130018556403e-7,3.6019938486605424e-7,0.010968790645336624
1.0e12,0.01,2.0,1.769415705355739e-7,1.8590161004132839e-7,0.05063840836629785
1.0e12,0.01,4.0,5.104330890187127e-8,6.1682460055873e-8,0.20843380617144303
1.0e12,0.1,0.003,6.712238501763227e-7,6.712238042082115e-7,6.848402533954356e-8
1.0e12,0.1,0.01,6.650991799871287e-7,6.650990967681452e-7,1.2512266744924005e-7
1.0e12,0.1,0.03,6.520319941546381e-7,6.520318394257918e-7,2.3730253695397607e-7
1.0e12,0.1,0.1,6.16249642017279e-7,6.162493411418244e-7,4.882363154878888e-7
1.0e12,0.1,0.3,5.323462697598774e-7,5.323457899886178e-7,9.012390745910537e-7
1.0e12,0.1,1.0,3.2345420290450005e-7,3.234537434790053e-7,1.4203726234063296e-6
1.0e12,0.1,2.0,1.6373655794794135e-7,1.6373630869328396e-7,1.5222908097412002e-6
1.0e12,0.1,4.0,4.811481366752062e-8,4.8114742821546224e-8,1.4724358050610675e-6
1.0e12,0.5,0.003,4.899867643281801e-7,4.899867632942183e-7,2.110183139336641e-9
1.0e12,0.5,0.01,4.859836178515102e-7,4.859836168490921e-7,2.0626581553884193e-9
1.0e12,0.5,0.03,4.774922815599385e-7,4.774922804779101e-7,2.266064669242951e-9
1.0e12,0.5,0.1,4.5444559449177065e-7,4.544455941976177e-7,6.4727867510328e-10
1.0e12,0.5,0.3,4.0039831081446667e-7,4.003983095367748e-7,3.1910520892353134e-9
1.0e12,0.5,1.0,2.597157235342491e-7,2.597157262017403e-7,1.0270811312551587e-8
1.0e12,0.5,2.0,1.4160040726667413e-7,1.4160040875480312e-7,1.0509355385934782e-8
1.0e12,0.5,4.0,4.5486376785058275e-8,4.548637583804439e-8,2.08197256101883e-8
1.0e12,1.0,0.003,4.398186989667829e-7,4.3981869900219717e-7,8.052025712856903e-11
1.0e12,1.0,0.01,4.365835959804832e-7,4.3658359606634923e-7,1.9667734107997603e-10
1.0e12,1.0,0.03,4.2975507314763025e-7,4.2975507355972215e-7,9.588994043241428e-10
1.0e12,1.0,0.1,4.1137432290848356e-7,4.1137432384230414e-7,2.2700021862220865e-9
1.0e12,1.0,0.3,3.68390237230405e-7,3.6839024165223433e-7,1.2003112059844057e-8
1.0e12,1.0,1.0,2.5279918684237337e-7,2.5279919060802604e-7,1.4895825906080518e-8
1.0e12,1.0,2.0,1.479176045177721e-7,1.4791760597011513e-7,9.818594826072058e-9
1.0e12,1.0,4.0,5.2677892828031334e-8,5.267789360783171e-8,1.4803180903300017e-8
