mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,2.980290361785242370e-07,2.980290361837862175e-07,2.982974309796666723e-07,1.765587676061386446e-11,9.005659468082072294e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,2.941309696424486777e-07,2.941309696183641958e-07,2.946820267801467586e-07,8.188349998050625800e-11,1.873509404222151176e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,2.856414867568998530e-07,2.856414865554819827e-07,2.866091659651785176e-07,7.051421668791135744e-10,3.387740412870154927e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,2.618076136888122847e-07,2.618076131926623124e-07,2.631329246771645860e-07,1.895093748593978944e-09,5.062156022427988233e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,2.071273282118090036e-07,2.071273269659900596e-07,2.082959806020415131e-07,6.014749254212858887e-09,5.642193139465678797e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,9.466169314368944061e-08,9.466169296041456600e-08,9.795717865656328755e-08,1.936103943833700214e-09,3.481329567887136989e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,3.484415036214337037e-08,3.484415060793158597e-08,3.985426109417519554e-08,7.053930550782183673e-09,1.437862791877710933e-01
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,6.765591484878117314e-09,6.765591595024875568e-09,1.011917404328078165e-08,1.628043300172521413e-08,4.956820945956181834e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,2.572137183903046284e-07,2.572137184077820415e-07,2.572136960901241189e-07,6.794897977613345574e-11,8.669903239777454473e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,2.539982476881551015e-07,2.539982477062144792e-07,2.539982060515371127e-07,7.110045885383442510e-11,1.639248237150781051e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,2.470163598795532140e-07,2.470163598777113938e-07,2.470162820902650822e-07,7.456257833382551325e-12,3.149155309856155327e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,2.274697272443085222e-07,2.274697272484991912e-07,2.274695818561267990e-07,1.842304087062984763e-11,6.391539809635915503e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,1.823575575295517689e-07,1.823575574158323282e-07,1.823573524885393575e-07,6.236069438614322280e-10,1.124389990669882877e-06
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,8.659089424657646271e-08,8.659089420713684845e-08,8.659075824715000625e-08,4.554706611870074084e-10,1.570597320199595970e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,3.295218596251365291e-08,3.295218594117793852e-08,3.295213293303299508e-08,6.474749625340336934e-10,1.609285669834648047e-06
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,6.546973498494214128e-09,6.546973499068548789e-09,6.546956821731651950e-09,8.772516046917644417e-11,2.547247604733904325e-06
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,1.725727569638431924e-07,1.725727569632696982e-07,1.725727565734814942e-07,3.323230579610481072e-12,2.262012244180766629e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,1.707456912889361499e-07,1.707456912731512674e-07,1.707456908987748808e-07,9.244671694830230990e-11,2.285043154692800726e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,1.668191005217223456e-07,1.668191004962624410e-07,1.668191000810225116e-07,1.526198056822636318e-10,2.641782792522917589e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,1.559534494876761302e-07,1.559534492894302394e-07,1.559534492599093677e-07,1.271186267359780686e-09,1.460479182036067414e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-01,1.305254678316741082e-07,1.305254676112780412e-07,1.305254670620919214e-07,1.688529205345901119e-09,5.896030885743641647e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000000e+00,7.085381013688929176e-08,7.085380975103489405e-08,7.085381013977988433e-08,5.445781936508353738e-09,4.079647730748092727e-11
1.000000000000000000e+12,5.000000000000000000e-01,2.000000000000000000e+00,3.086017248231147395e-08,3.086017244560831873e-08,3.086017199178902966e-08,1.189337295315340270e-09,1.589500009391286994e-08
1.000000000000000000e+12,5.000000000000000000e-01,4.000000000000000000e+00,7.015468447500820080e-09,7.015468476566149341e-09,7.015468231299279208e-09,4.143034804116041414e-09,3.081783384040193141e-08
1.000000000000000000e+12,1.000000000000000000e+00,3.000000000000000062e-03,1.432947425665716605e-07,1.432947425684413269e-07,1.432947425838800376e-07,1.304778507460468973e-11,1.207887123655382311e-10
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000021e-02,1.419969567688528883e-07,1.419969567679983114e-07,1.419969568060450197e-07,6.018296971888048574e-12,2.619220396127275308e-10
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-02,1.392316111895518427e-07,1.392316111529590400e-07,1.392316113370940766e-07,2.628196549281369698e-10,1.059689225257898215e-09
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000056e-01,1.316704651906490440e-07,1.316704651156240271e-07,1.316704655237164808e-07,5.697937677240361154e-10,2.529553233543424540e-09
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-01,1.139064878435510272e-07,1.139064874575947870e-07,1.139064892087275278e-07,3.388360481082486331e-09,1.198506360822193528e-08
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000000e+00,6.909760471030905184e-08,6.909760445326002951e-08,6.909760552994002003e-08,3.720085905989378716e-09,1.186193032687299365e-08
1.000000000000000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,3.429001999419109214e-08,3.429001983743228616e-08,3.429002010456123217e-08,4.571557687960137173e-09,3.218724842213305237e-09
1.000000000000000000e+12,1.000000000000000000e+00,4.000000000000000000e+00,9.272160248842806623e-09,9.272160271135936245e-09,9.272160136203025264e-09,2.404308085957040930e-09,1.214817024752790076e-08
1.000000000000000000e+12,3.000000000000000000e+00,3.000000000000000062e-03,1.403310609619828029e-07,1.403310609637454255e-07,1.403310609761252091e-07,1.256039716679424600e-11,1.007789407481141097e-10
1.000000000000000000e+12,3.000000000000000000e+00,1.000000000000000021e-02,1.394629089714179290e-07,1.394629089678262181e-07,1.394629089864160767e-07,2.575384350222975627e-11,1.075421973695256384e-10
1.000000000000000000e+12,3.000000000000000000e+00,2.999999999999999889e-02,1.376433421710684750e-07,1.376433421655128917e-07,1.376433422712419794e-07,4.036215806024756603e-11,7.277758395929367907e-10
1.000000000000000000e+12,3.000000000000000000e+00,1.000000000000000056e-01,1.328091048053550236e-07,1.328091047386145978e-07,1.328091049078771387e-07,5.025290183979791436e-10,7.719509476089569944e-10
1.000000000000000000e+12,3.000000000000000000e+00,2.999999999999999889e-01,1.216031598398162280e-07,1.216031597489045259e-07,1.216031609245715130e-07,7.476097518832602873e-10,8.920453042904341601e-09
1.000000000000000000e+12,3.000000000000000000e+00,1.000000000000000000e+00,9.032024215760167176e-08,9.032024167697382961e-08,9.032024255670255303e-08,5.321374563216352271e-09,4.418731380795293262e-09
1.000000000000000000e+12,3.000000000000000000e+00,2.000000000000000000e+00,5.877958534193863550e-08,5.877958498223821307e-08,5.877958613020279575e-08,6.119478701549496691e-09,1.341050892555983864e-08
1.000000000000000000e+12,3.000000000000000000e+00,4.000000000000000000e+00,2.495092528171094788e-08,2.495092515792222770e-08,2.495092642375712606e-08,4.961287713989293024e-09,4.577169643305012414e-08
1.000000000000000000e+12,5.000000000000000000e+00,3.000000000000000062e-03,1.538155149439576201e-07,1.538155149461957194e-07,1.538155149490620259e-07,1.455058296073730162e-11,3.318523233986070409e-11
1.000000000000000000e+12,5.000000000000000000e+00,1.000000000000000021e-02,1.530556240723277233e-07,1.530556240749566753e-07,1.530556241030185857e-07,1.717648245858072187e-11,2.005209331912283233e-10
1.000000000000000000e+12,5.000000000000000000e+00,2.999999999999999889e-02,1.514743652719621599e-07,1.514743652670290929e-07,1.514743652968124390e-07,3.256706015974941693e-11,1.640561020366249068e-10
1.000000000000000000e+12,5.000000000000000000e+00,1.000000000000000056e-01,1.473350680384491257e-07,1.473350680349718172e-07,1.473350683356976037e-07,2.360134310208650277e-11,2.017499944884093566e-09
1.000000000000000000e+12,5.000000000000000000e+00,2.999999999999999889e-01,1.378893863238829481e-07,1.378893862310932680e-07,1.378893866713636828e-07,6.729283796857998823e-10,2.519996211702846267e-09
1.000000000000000000e+12,5.000000000000000000e+00,1.000000000000000000e+00,1.109191647343710287e-07,1.109191646795071298e-07,1.109191673112565890e-07,4.946295595331662298e-10,2.323210379628903866e-08
1.000000000000000000e+12,5.000000000000000000e+00,2.000000000000000000e+00,8.104320930126043338e-08,8.104320912393564759e-08,8.104320975119387939e-08,2.188027647953560972e-09,5.551772375156360795e-09
1.000000000000000000e+12,5.000000000000000000e+00,4.000000000000000000e+00,4.287418958552579332e-08,4.287418932689756409e-08,4.287419090979510913e-08,6.032259358690339468e-09,3.088733180334202189e-08
1.000000000000000000e+13,1.000000000000000021e-02,3.000000000000000062e-03,2.429736509636704065e-06,2.429736509331600256e-06,2.433137535829987197e-06,1.255707759995061679e-10,1.399751034646845582e-03
1.000000000000000000e+13,1.000000000000000021e-02,1.000000000000000021e-02,2.374834742872039623e-06,2.374834741915251111e-06,2.381490409248162681e-06,4.028863909155688816e-10,2.802580851614999702e-03
1.000000000000000000e+13,1.000000000000000021e-02,2.999999999999999889e-02,2.250933150618936389e-06,2.250933146489281042e-06,2.261069791609287362e-06,1.834641438769324395e-09,4.503306101100168490e-03
1.000000000000000000e+13,1.000000000000000021e-02,1.000000000000000056e-01,1.897716410438851240e-06,1.897716402425733000e-06,1.907376024945093528e-06,4.222505678441734744e-09,5.090125401828959895e-03
1.000000000000000000e+13,1.000000000000000021e-02,2.999999999999999889e-01,1.180911806280694904e-06,1.180911796921955137e-06,1.193146590089914749e-06,7.925011646925383957e-09,1.036045515350858537e-02
1.000000000000000000e+13,1.000000000000000021e-02,1.000000000000000000e+00,2.610559637170461627e-07,2.610559654437425721e-07,2.962311108524180679e-07,6.614276903960103482e-09,1.347417872954537188e-01
