mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,2.4879909937706753e-7,2.4898871449435077e-7,0.000762121397376303
1.0e12,0.01,0.01,2.460977721164532e-7,2.464912407727509e-7,0.001598830631069248
1.0e12,0.01,0.03,2.402727133467686e-7,2.4098568562448394e-7,0.0029673460118893047
1.0e12,0.01,0.1,2.241041866781214e-7,2.2517543886682155e-7,0.004780152502187773
1.0e12,0.01,0.3,1.8655687260918904e-7,1.8763732936198935e-7,0.005791567674184428
1.0e12,0.01,1.0,1.0153822887404627e-7,1.042327633170008e-7,0.02653714244215344
1.0e12,0.01,2.0,4.6568408712251584e-8,5.149197140253768e-8,0.10572752701749
1.0e12,0.01,4.0,1.2860989144754164e-8,1.746095928999262e-8,0.35766845718198326
1.0e12,0.1,0.003,2.2211827321089963e-7,2.221182566880698e-7,7.438753046873359e-8
1.0e12,0.1,0.01,2.1979803424366582e-7,2.1979800363395146e-7,1.392629122021205e-7
1.0e12,0.1,0.03,2.1480707972998866e-7,2.1480702237904362e-7,2.6698815103198825e-7
1.0e12,0.1,0.1,2.0099315822112417e-7,2.0099304810441375e-7,5.478629789834599e-7
1.0e12,0.1,0.3,1.6881113106253328e-7,1.6881096343461696e-7,9.929908961758827e-7
1.0e12,0.1,1.0,9.423408073383268e-8,9.423393803380029e-8,1.5143144739271364e-6
1.0e12,0.1,2.0,4.412575815825074e-8,4.412568483877682e-8,1.6616025872995266e-6
1.0e12,0.1,4.0,1.2307110624844913e-8,1.2307081839324395e-8,2.3389340841895034e-6
1.0e12,0.5,0.003,1.6876920912121538e-7,1.6876920876827247e-7,2.0912754861157623e-9
1.0e12,0.5,0.01,1.672426332626249e-7,1.6724263292157365e-7,2.039260205144444e-9
1.0e12,0.5,0.03,1.6398647446261315e-7,1.6398647408858312e-7,2.280859057179896e-9
1.0e12,0.5,0.1,1.550742003346286e-7,1.5507420026333229e-7,4.59756233084363e-10
1.0e12,0.5,0.3,1.3418346336763484e-7,1.3418346288930994e-7,3.564708306313946e-9
1.0e12,0.5,1.0,8.209998743436364e-8,8.209998786883966e-8,5.2920352544560956e-9
1.0e12,0.5,2.0,4.205975141393969e-8,4.20597510040158e-8,9.746227158657916e-9
1.0e12,0.5,4.0,1.2701239790275674e-8,1.2701239454949195e-8,2.6401082431348755e-8
1.0e12,1.0,0.003,1.5751973439821537e-7,1.5751973441233554e-7,8.964073927586469e-11
1.0e12,1.0,0.01,1.5627788255260801e-7,1.5627788258688596e-7,2.1933965754783458e-10
1.0e12,1.0,0.03,1.5364754762610717e-7,1.5364754779054538e-7,1.0702299046982944e-9
1.0e12,1.0,0.1,1.4652617442983602e-7,1.465261747970227e-7,2.50594611728161e-9
1.0e12,1.0,0.3,1.2984291408681237e-7,1.298429157316599e-7,1.2667980664460288e-8
1.0e12,1.0,1.0,8.601809768556903e-8,8.601809882293876e-8,1.3222446915150954e-8
1.0e12,1.0,2.0,4.833085870017286e-8,4.833085902683996e-8,6.758975823473179e-9
1.0e12,1.0,4.0,1.642448184033257e-8,1.642448166176483e-8,1.087204715144452e-8
1.0e12,3.0,0.003,2.052469345292505e-7,2.0524693454546683e-7,7.900902154744927e-11
1.0e12,3.0,0.01,2.040964030858039e-7,2.040964031097473e-7,1.1731415838767134e-10
1.0e12,3.0,0.03,2.0169252550714004e-7,2.016925256411011e-7,6.641844851884571e-10
1.0e12,3.0,0.1,1.9534625290794967e-7,1.9534625312103947e-7,1.0908312031432388e-9
1.0e12,3.0,0.3,1.8072864079755754e-7,1.807286423032365e-7,8.331158651841974e-9
1.0e12,3.0,1.0,1.3948076521484604e-7,1.3948076640511405e-7,8.533563855550597e-9
1.0e12,3.0,2.0,9.609835284405143e-8,9.6098354496807e-8,1.7198583668331935e-8
1.0e12,3.0,4.0,4.56984719544061e-8,4.569847400643122e-8,4.4903582852029444e-8
1.0e12,5.0,0.003,2.6627854562756035e-7,2.662785456321217e-7,1.713007513615139e-11
1.0e12,5.0,0.01,2.6506079405584e-7,2.6506079409997793e-7,1.6652013101747798e-10
1.0e12,5.0,0.03,2.6253178276438473e-7,2.6253178281061663e-7,1.7610024549696845e-10
1.0e12,5.0,0.1,2.5594039192609404e-7,2.559403923883902e-7,1.8062651374606276e-9
1.0e12,5.0,0.3,2.4098467527300237e-7,2.409846759549342e-7,2.8297726384352018e-9
1.0e12,5.0,1.0,1.9817268911485816e-7,1.9817269333174594e-7,2.1278854234196842e-8
1.0e12,5.0,2.0,1.4968872944718594e-7,1.496887304917786e-7,6.978432276483204e-9
1.0e12,5.0,4.0,8.475935957988055e-8,8.475936240374388e-8,3.3316241987435546e-8
1.0e13,0.01,0.003,1.6244924779329411e-6,1.626376105121769e-6,0.0011595173350538168
1.0e13,0.01,0.01,1.5951246085597108e-6,1.5989085600238764e-6,0.002372198036354245
1.0e13,0.01,0.03,1.5297782500197715e-6,1.5359461121057393e-6,0.0040318667662375685
1.0e13,0.01,0.1,1.3439052094597831e-6,1.3509956974829232e-6,0.005276032843112732
1.0e13,0.01,0.3,9.43257537744882e-7,9.517555774041685e-7,0.009009246488083544
1.0e13,0.01,1.0,3.054597662754547e-7,3.3435678820306305e-7,0.09460172866612426
1.0e13,0.01,2.0,8.159131107888726e-8,1.0883112182097885e-7,0.33385675976887486
1.0e13,0.01,4.0,1.136354525682345e-8,2.274818773565453e-8,1.001856570421538
1.0e13,0.1,0.003,1.4516113401475318e-6,1.4516111888499272e-6,1.0422735097215252e-7
1.0e13,0.1,0.01,1.4264193774155034e-6,1.4264190814118417e-6,2.075151714908685e-7
1.0e13,0.1,0.03,1.3705352289455214e-6,1.3705346786789184e-6,4.0149759850116595e-7
1.0e13,0.1,0.1,1.2116720541282787e-6,1.2116710733112693e-6,8.094739876174373e-7
1.0e13,0.1,0.3,8.649313297700777e-7,8.649301975606937e-7,1.3090165021933942e-6
1.0e13,0.1,1.0,2.908051400205406e-7,2.908046705141384e-7,1.6145051705551694e-6
1.0e13,0.1,2.0,7.8894769242458e-8,7.889460509071126e-8,2.0806416991536736e-6
1.0e13,0.1,4.0,1.0765599522787413e-8,1.0765530215533156e-8,6.437844368156753e-6
1.0e13,0.5,0.003,1.1060728164730647e-6,1.1060728142619883e-6,1.999033272248596e-9
1.0e13,0.5,0.01,1.089570529159347e-6,1.0895705276159145e-6,1.4165513206876312e-9
1.0e13,0.5,0.03,1.0533610295498757e-6,1.0533610287946806e-6,7.169385085603608e-10
1.0e13,0.5,0.1,9.509723236278533e-7,9.509723298075919e-7,6.498336979632313e-9
1.0e13,0.5,0.3,7.192583897712312e-7,7.192583976667547e-7,1.0977311726279027e-8
1.0e13,0.5,1.0,2.805251847879163e-7,2.8052518365473866e-7,4.039486189988395e-9
1.0e13,0.5,2.0,8.390741365374571e-8,8.390741140343149e-8,2.681901534185016e-8
1.0e13,0.5,4.0,1.1487219671704379e-8,1.1487218461472083e-8,1.0535467509509289e-7
1.0e13,1.0,0.003,1.034465779776065e-6,1.0344657798648497e-6,8.582667909706743e-11
1.0e13,1.0,0.01,1.0210892074952222e-6,1.0210892075000215e-6,4.700240197053063e-12
1.0e13,1.0,0.03,9.920206752149485e-7,9.92020676164653e-7,9.57343537777433e-10
1.0e13,1.0,0.1,9.104939903714339e-7,9.104939910819227e-7,7.803333534894819e-10
1.0e13,1.0,0.3,7.219216910437554e-7,7.219216959668232e-7,6.819393050250255e-9
1.0e13,1.0,1.0,3.241011725172624e-7,3.2410117423551314e-7,5.3015876133599704e-9
1.0e13,1.0,2.0,1.1038710951874613e-7,1.10387109182072e-7,3.049940633381709e-9
1.0e13,1.0,4.0,1.6746688180786796e-8,1.674668795226626e-8,1.3645715113419499e-8
1.0e13,3.0,0.003,1.3525253010892332e-6,1.3525253011529887e-6,4.713807122413982e-11
1.0e13,3.0,0.01,1.340216165273193e-6,1.3402161653554135e-6,6.13487038947369e-11
1.0e13,3.0,0.03,1.3140028941501257e-6,1.3140028946086001e-6,3.4891423084104645e-10
1.0e13,3.0,0.1,1.2423654660613388e-6,1.2423654675341351e-6,1.1854774939479285e-9
1.0e13,3.0,0.3,1.0737754392919618e-6,1.073775442218808e-6,2.725752512588997e-9
1.0e13,3.0,1.0,6.452719064841265e-7,6.452719151700244e-7,1.3460833780953863e-8
1.0e13,3.0,2.0,3.107838804093617e-7,3.107838963075355e-7,5.115507861752633e-8
1.0e13,3.0,4.0,7.567132804260061e-8,7.567132814217972e-8,1.3159424661068897e-9
1.0e13,5.0,0.003,1.7570447189867134e-6,1.757044719177472e-6,1.0856782139967436e-10
1.0e13,5.0,0.01,1.7440546270074537e-6,1.7440546272708803e-6,1.510427338757836e-10
1.0e13,5.0,0.03,1.7166534545338287e-6,1.716653456247904e-6,9.98498173032658e-10
1.0e13,5.0,0.1,1.642957462932153e-6,1.6429574653469823e-6,1.4698062766882458e-9
1.0e13,5.0,0.3,1.4704573034716124e-6,1.4704573217790234e-6,1.245014802364608e-8
1.0e13,5.0,1.0,1.003059268965445e-6,1.0030592794383067e-6,1.0440920128473863e-8
1.0e13,5.0,2.0,5.750125711500902e-7,5.750125874716785e-7,2.838475032795884e-8
1.0e13,5.0,4.0,1.8942004398266662e-7,1.8942005632281958e-7,6.514702821647234e-8
1.0e14,0.01,0.003,1.058236496983371e-5,1.060076126032142e-5,0.001738391232975811
1.0e14,0.01,0.01,1.0257587230560374e-5,1.0291826731148775e-5,0.0033379682588896564
1.0e14,0.01,0.03,9.510129745014527e-6,9.556221867998625e-6,0.004846634506564973
1.0e14,0.01,0.1,7.42114437288405e-6,7.4613242331262386e-6,0.005414240476037779
1.0e14,0.01,0.3,3.765864442513783e-6,3.8720002130276406e-6,0.028183640737479587
1.0e14,0.01,1.0,5.226038953247393e-7,6.831299924995085e-7,0.307165902533161
1.0e14,0.01,2.0,6.704715736491669e-8,1.3153618686759685e-7,0.9618458416020021
