mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,1.543995453790105535e-07,1.543995453797506486e-07,1.545134823782712327e-07,4.793276886516650848e-12,7.379361058414968255e-04
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,1.527836737271481706e-07,1.527836737210695975e-07,1.530197038599523282e-07,3.978550822125725972e-11,1.544864886713570584e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,1.493019261316626081e-07,1.493019260689686440e-07,1.497307125116294400e-07,4.199139924665473700e-10,2.871941381310083585e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,1.396537350523212310e-07,1.396537349198175907e-07,1.403102626435331373e-07,9.488012597813622051e-10,4.701110149083698175e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,1.172942134948719681e-07,1.172942131041564351e-07,1.180334013613891821e-07,3.331072528922618403e-09,6.301997724291297232e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,6.646450113241502912e-08,6.646450112869844707e-08,6.854783256011048784e-08,5.591827001438787192e-11,3.134502467031086148e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,3.270747815665469685e-08,3.270747832410551370e-08,3.648906988501326490e-08,5.119649371110313041e-09,1.156185661959743260e-01
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,1.050277640446072829e-08,1.050277650138975578e-08,1.429543195448058212e-08,9.228895647694912441e-09,3.611098060136785914e-01
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,1.370097092839743441e-07,1.370097093047571180e-07,1.370096992761162772e-07,1.516884395869055879e-10,7.304488214288085146e-08
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,1.356230526239236480e-07,1.356230526452780368e-07,1.356230342498616041e-07,1.574540497983889509e-10,1.354789004315293255e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,1.326419347053015741e-07,1.326419347107679012e-07,1.326419004049639230e-07,4.121125662948088575e-11,2.585934661958333436e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,1.244019309099424701e-07,1.244019309211302665e-07,1.244018650197901484e-07,8.993272793134110543e-11,5.296553826639183171e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,1.052453725729909086e-07,1.052453724876738327e-07,1.052452711435056098e-07,8.106492144221988383e-10,9.637429448927647968e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000000e+00,6.077088942110836198e-08,6.077088940604546920e-08,6.077079793221492163e-08,2.478636185188065610e-10,1.505472345564307091e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.000000000000000000e+00,3.026076267725000289e-08,3.026076267861439430e-08,3.026070994954013867e-08,4.508771134226208233e-11,1.742444842744994560e-06
1.000000000000000000e+12,1.000000000000000056e-01,4.000000000000000000e+00,9.682310157918377371e-09,9.682310169948455449e-09,9.682283463972376377e-09,1.242480118790467714e-09,2.756981088758436726e-06
1.000000000000000000e+12,5.000000000000000000e-01,3.000000000000000062e-03,1.019801175564306651e-07,1.019801175632569566e-07,1.019801173449905289e-07,6.693756660069993814e-11,2.073346716535695577e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000021e-02,1.010708831663427965e-07,1.010708831714425039e-07,1.010708829606735222e-07,5.045674988934933936e-11,2.034901358527463344e-09
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-02,9.913129776614637781e-08,9.913129774707905736e-08,9.913129751756301304e-08,1.923441406148640453e-10,2.507617336000578234e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000056e-01,9.382375797460003877e-08,9.382375793316825595e-08,9.382375788271403700e-08,4.415915411115634015e-10,9.793468258578741370e-10
1.000000000000000000e+12,5.000000000000000000e-01,2.999999999999999889e-01,8.140343513379741114e-08,8.140343491491476697e-08,8.140343462972378966e-08,2.688862466015962127e-09,6.192289347950463707e-09
1.000000000000000000e+12,5.000000000000000000e-01,1.000000000000000000e+00,5.054926983906258023e-08,5.054926975296606851e-08,5.054926987256642583e-08,1.703219676407741190e-09,6.627958182292559286e-10
1.000000000000000000e+12,5.000000000000000000e-01,2.000000000000000000e+00,2.675258483357799215e-08,2.675258484423531768e-08,2.675258438555397015e-08,3.983662288931100193e-10,1.674694327657988424e-08
1.000000000000000000e+12,5.000000000000000000e-01,4.000000000000000000e+00,8.814154167093883284e-09,8.814154229204992817e-09,8.814154012853431988e-09,7.046746519634439210e-09,1.749917788451682554e-08
1.000000000000000000e+12,1.000000000000000000e+00,3.000000000000000062e-03,9.352349730764801710e-08,9.352349730935441791e-08,9.352349731771844475e-08,1.824562723129474762e-11,1.076780886677397575e-10
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000021e-02,9.278627629737863310e-08,9.278627629536117267e-08,9.278627631574795870e-08,2.174305180346891575e-11,1.979745256619480642e-10
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-02,9.122389461386994576e-08,9.122389461214931744e-08,9.122389470996345135e-08,1.886157896535678447e-11,1.053380938031978076e-09
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000056e-01,8.699085210264269190e-08,8.699085205890012379e-08,8.699085227504436338e-08,5.028409910678988126e-10,1.981836694753269512e-09
1.000000000000000000e+12,1.000000000000000000e+00,2.999999999999999889e-01,7.708169087856054793e-08,7.708169084394663919e-08,7.708169178274979616e-08,4.490549043723035538e-10,1.173027253109637513e-08
1.000000000000000000e+12,1.000000000000000000e+00,1.000000000000000000e+00,5.120832648177130590e-08,5.120832632599972344e-08,5.120832688924318880e-08,3.041919049984187495e-09,7.957141168191128600e-09
1.000000000000000000e+12,1.000000000000000000e+00,2.000000000000000000e+00,2.912299629078421132e-08,2.912299625027115816e-08,2.912299637303065059e-08,1.391101789316451232e-09,2.824106282162119896e-09
