mass_Msun,z,r_over_R200,independent_y,production_direct_y,production_interpolated_y,direct_relative_error,interpolated_relative_error
1.000000000000000000e+12,1.000000000000000021e-02,3.000000000000000062e-03,4.381980764317992268e-08,4.381980763003086114e-08,4.390541901829364813e-08,3.000711901179897723e-10,1.953714078593238312e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000021e-02,4.215505264242566631e-08,4.215505260192475285e-08,4.230769749232469557e-08,9.607605822026243914e-10,3.621033312277255334e-03
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-02,3.829188927202818199e-08,3.829188915683855683e-08,3.849200227913661624e-08,3.008199023213364853e-09,5.225989391299590281e-03
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000056e-01,2.809297115035723158e-08,2.809297109046494139e-08,2.846860137436367138e-08,2.131931520210628150e-09,1.337096820396888042e-02
1.000000000000000000e+12,1.000000000000000021e-02,2.999999999999999889e-01,1.315148230161284303e-08,1.315148239951707511e-08,1.438206611278814501e-08,7.444349581220421896e-09,9.356997051384752240e-02
1.000000000000000000e+12,1.000000000000000021e-02,1.000000000000000000e+00,2.281779683414476018e-09,2.281779695772397205e-09,3.544377186017759602e-09,5.415913495454560689e-09,5.533389186435042628e-01
1.000000000000000000e+12,1.000000000000000021e-02,2.000000000000000000e+00,5.276682614350350118e-10,5.276682612928156778e-10,1.159430901036212125e-09,2.695241807515458277e-10,1.197272388305200330e+00
1.000000000000000000e+12,1.000000000000000021e-02,4.000000000000000000e+00,9.586134257948624255e-11,9.586134225383253784e-11,3.058899609760226059e-10,3.397132686266957080e-09,2.190962621062655824e+00
1.000000000000000000e+12,1.000000000000000056e-01,3.000000000000000062e-03,4.626853468135815264e-08,4.626853467780488913e-08,4.626852726973876738e-08,7.679656910397625325e-11,1.601870349698941709e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000021e-02,4.453601259882058928e-08,4.453601257619945608e-08,4.453599731825991610e-08,5.079290321674534425e-10,3.431057200575793331e-07
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-02,4.051635281359357212e-08,4.051635271646620988e-08,4.051632581632272021e-08,2.397238518803135321e-09,6.663302339893206749e-07
1.000000000000000000e+12,1.000000000000000056e-01,1.000000000000000056e-01,2.984903632668740234e-08,2.984903627720018400e-08,2.984900084786737874e-08,1.657916803843306752e-09,1.188608557911585706e-06
1.000000000000000000e+12,1.000000000000000056e-01,2.999999999999999889e-01,1.401569931349789321e-08,1.401569939459368784e-08,1.401567589532277885e-08,5.786068291158130705e-09,1.670853133406424718e-06
