mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e12,0.01,0.003,4.381980763003086e-8,4.390541901829365e-8,0.001953714379250515
1.0e12,0.01,0.01,4.215505260192475e-8,4.2307697492324696e-8,0.0036210342765168324
1.0e12,0.01,0.03,3.829188915683856e-8,3.8492002279136616e-8,0.0052259924152193715
1.0e12,0.01,0.1,2.809297109046494e-8,2.846860137436367e-8,0.013370970364406265
1.0e12,0.01,0.3,1.3151482399517075e-8,1.4382066112788145e-8,0.09356996237293047
1.0e12,0.01,1.0,2.281779695772397e-9,3.5443771860177596e-9,0.5533389102307551
1.0e12,0.01,2.0,5.276682612928157e-10,1.1594309010362121e-9,1.1972723888974182
1.0e12,0.01,4.0,9.586134225383254e-11,3.058899609760226e-10,2.1909626319027797
1.0e12,0.1,0.003,4.626853467780489e-8,4.626852726973877e-8,1.601102385118125e-7
1.0e12,0.1,0.01,4.4536012576199456e-8,4.4535997318259916e-8,3.425977912474565e-7
1.0e12,0.1,0.03,4.051635271646621e-8,4.051632581632272e-8,6.639329970248298e-7
1.0e12,0.1,0.1,2.9849036277200184e-8,2.984900084786738e-8,1.1869506431061438e-6
1.0e12,0.1,0.3,1.4015699394593688e-8,1.4015675895322779e-8,1.6766391920386425e-6
1.0e12,0.1,1.0,2.377772872693686e-9,2.3777599105071507e-9,5.451398106148808e-6
1.0e12,0.1,2.0,5.290471348048671e-10,5.290367290189999e-10,1.966892018245847e-5
1.0e12,0.1,4.0,9.070692072980613e-11,9.070152557464279e-11,5.947898043434652e-5
1.0e12,0.5,0.003,6.456910939666866e-8,6.456910931855587e-8,1.2097548518497092e-9
1.0e12,0.5,0.01,6.228073638139897e-8,6.228073635106933e-8,4.869826764064555e-10
1.0e12,0.5,0.03,5.6978542526598355e-8,5.697854244288789e-8,1.4691576843972598e-9
1.0e12,0.5,0.1,4.266322169824284e-8,4.266322179243722e-8,2.207859006730928e-9
1.0e12,0.5,0.3,2.0382371335193165e-8,2.0382371144844678e-8,9.338878337317169e-9
1.0e12,0.5,1.0,3.2425624967087153e-9,3.242562343010165e-9,4.740033554551104e-8
1.0e12,0.5,2.0,6.314328451157427e-10,6.314328102741112e-10,5.5178681068746016e-8
1.0e12,0.5,4.0,8.753914012863834e-11,8.753913432137067e-11,6.63390988808743e-8
1.0e12,1.0,0.003,1.0572912221632024e-7,1.0572912228843609e-7,6.820812803454146e-10
1.0e12,1.0,0.01,1.021786384633388e-7,1.0217863865044964e-7,1.8312127370023745e-9
1.0e12,1.0,0.03,9.396894916413983e-8,9.396894988530287e-8,7.674482382924452e-9
1.0e12,1.0,0.1,7.149802820333766e-8,7.149802876245297e-8,7.820010194947713e-9
1.0e12,1.0,0.3,3.497579591829711e-8,3.497579564745294e-8,7.743760077616457e-9
1.0e12,1.0,1.0,5.374886906042957e-9,5.374886810182786e-9,1.783482572736972e-8
1.0e12,1.0,2.0,9.372504534315304e-10,9.372504482730305e-10,5.503864919376156e-9
1.0e12,1.0,4.0,1.0676054873332482e-10,1.067605492841293e-10,5.159251248443297e-9
1.0e12,3.0,0.003,5.319033305700036e-7,5.319033308919747e-7,6.053189061105968e-10
1.0e12,3.0,0.01,5.163485260130955e-7,5.163485266274899e-7,1.189883080954246e-9
1.0e12,3.0,0.03,4.806462574624495e-7,4.806462608649931e-7,7.079101527196485e-9
1.0e12,3.0,0.1,3.805015070999945e-7,3.8050150982969256e-7,7.173948102234817e-9
1.0e12,3.0,0.3,2.0106442448734923e-7,2.010644263454676e-7,9.241407861182438e-9
1.0e12,3.0,1.0,3.13124075075528e-8,3.131240703174769e-8,1.5195417590874172e-8
1.0e12,3.0,2.0,4.5130378375668435e-9,4.513037742355881e-9,2.1096867808267916e-8
1.0e12,3.0,4.0,3.3175063820745156e-10,3.317506341565185e-10,1.221077694513184e-8
1.0e12,5.0,0.003,1.5195737978879776e-6,1.5195737981068999e-6,1.4406809079048344e-10
1.0e12,5.0,0.01,1.4787523546043837e-6,1.478752357460125e-6,1.9311829912993517e-9
1.0e12,5.0,0.03,1.3855682360394024e-6,1.3855682392637445e-6,2.327090076192917e-9
1.0e12,5.0,0.1,1.1217511423703605e-6,1.121751162130129e-6,1.7615108705015814e-8
1.0e12,5.0,0.3,6.244793548333983e-7,6.244793606759042e-7,9.355803021193765e-9
1.0e12,5.0,1.0,1.0357707782662369e-7,1.0357707371178394e-7,3.972732032231363e-8
1.0e12,5.0,2.0,1.4193767046720684e-8,1.4193766893327458e-8,1.0807083561381603e-8
1.0e12,5.0,4.0,8.481358888451942e-10,8.481358702379587e-10,2.1938978966851153e-8
1.0e13,0.01,0.003,5.631363152050789e-7,5.643263898325265e-7,0.0021132976071951415
1.0e13,0.01,0.01,5.392648536144113e-7,5.413297637496882e-7,0.003829120554467602
1.0e13,0.01,0.03,4.837095543934689e-7,4.862807800895718e-7,0.005315639670022687
1.0e13,0.01,0.1,3.398454573818779e-7,3.4482879985069677e-7,0.01466355474399994
1.0e13,0.01,0.3,1.4323180345943617e-7,1.5884545059868777e-7,0.10900963865663704
