model,parameter,status,mean,std,q16,median,q84
HalfDome,P0,posterior_sampled,18.560617446899414,1.0582274198532104,17.519971542358398,18.503507614135742,19.611943817138673
HalfDome,xc,posterior_sampled,0.4885867238044739,0.04207569733262062,0.44648597717285154,0.4870114326477051,0.531087019443512
HalfDome,beta,posterior_sampled,4.3106279373168945,0.22202716767787933,4.086299114227295,4.302386283874512,4.535838832855225
HalfDome,alpha_m_P0,posterior_sampled,0.14771515130996704,0.0203109048306942,0.12723635673522948,0.1474631279706955,0.16826995611190795
HalfDome,alpha_m_xc,posterior_sampled,-0.002662630518898368,0.03263314440846443,-0.03561895564198494,-0.0022028088569641113,0.03006558045744896
HalfDome,alpha_m_beta,posterior_sampled,0.04263856261968613,0.02095808833837509,0.021550634056329728,0.04294847697019577,0.06367826282978058
HalfDome,alpha_z_P0,posterior_sampled,-0.7830790877342224,0.06426095217466354,-0.8463226819038391,-0.7814680337905884,-0.718998556137085
HalfDome,alpha_z_xc,posterior_sampled,0.7434831261634827,0.08589202165603638,0.6577894735336304,0.7428473234176636,0.8310882902145386
HalfDome,alpha_z_beta,posterior_sampled,0.41699346899986267,0.051542479544878006,0.36459235191345213,0.41724997758865356,0.46968465924263003
L1_m9,P0,posterior_unavailable,,,,,
L1_m9,xc,posterior_unavailable,,,,,
L1_m9,beta,posterior_unavailable,,,,,
L1_m9,alpha_m_P0,posterior_unavailable,,,,,
L1_m9,alpha_m_xc,posterior_unavailable,,,,,
L1_m9,alpha_m_beta,posterior_unavailable,,,,,
L1_m9,alpha_z_P0,posterior_unavailable,,,,,
L1_m9,alpha_z_xc,posterior_unavailable,,,,,
L1_m9,alpha_z_beta,posterior_unavailable,,,,,
fgas-8sigma,P0,posterior_unavailable,,,,,
fgas-8sigma,xc,posterior_unavailable,,,,,
fgas-8sigma,beta,posterior_unavailable,,,,,
fgas-8sigma,alpha_m_P0,posterior_unavailable,,,,,
fgas-8sigma,alpha_m_xc,posterior_unavailable,,,,,
fgas-8sigma,alpha_m_beta,posterior_unavailable,,,,,
fgas-8sigma,alpha_z_P0,posterior_unavailable,,,,,
fgas-8sigma,alpha_z_xc,posterior_unavailable,,,,,
fgas-8sigma,alpha_z_beta,posterior_unavailable,,,,,
Mstar-1sigma,P0,posterior_unavailable,,,,,
Mstar-1sigma,xc,posterior_unavailable,,,,,
Mstar-1sigma,beta,posterior_unavailable,,,,,
Mstar-1sigma,alpha_m_P0,posterior_unavailable,,,,,
Mstar-1sigma,alpha_m_xc,posterior_unavailable,,,,,
Mstar-1sigma,alpha_m_beta,posterior_unavailable,,,,,
Mstar-1sigma,alpha_z_P0,posterior_unavailable,,,,,
Mstar-1sigma,alpha_z_xc,posterior_unavailable,,,,,
Mstar-1sigma,alpha_z_beta,posterior_unavailable,,,,,
