model,ell,clean_masked_dl,noisy_cross_dl,unmasked_beamed_dl,noise_noise_dl,signal_noise_dl
HalfDome,198.01805,7.715273e-14,7.700462e-14,2.2936408e-13,-1.2410119e-15,1.0929031e-15
HalfDome,388.2717,1.4259988e-13,1.4226378e-13,3.878123e-13,-1.3155491e-16,-2.0454776e-16
HalfDome,585.247,1.9509992e-13,1.936432e-13,5.124029e-13,-3.2807852e-16,-1.128642e-15
HalfDome,783.7734,2.378932e-13,2.3673237e-13,6.116056e-13,-2.239649e-15,1.0788208e-15
HalfDome,982.90125,2.7330048e-13,2.8160793e-13,6.9685376e-13,8.8262925e-15,-5.188373e-16
HalfDome,1182.3248,2.9646617e-13,3.0387853e-13,7.566233e-13,6.106869e-15,1.3054959e-15
HalfDome,1381.9154,3.1391589e-13,3.0720123e-13,7.96118e-13,-4.5669763e-15,-2.1476774e-15
HalfDome,1581.6096,3.223384e-13,3.1516928e-13,8.187578e-13,-4.6952082e-15,-2.473916e-15
HalfDome,1781.3726,3.262533e-13,3.2999723e-13,8.293057e-13,4.79132e-15,-1.04738e-15
HalfDome,1981.1835,3.2307815e-13,3.201453e-13,8.2161307e-13,-7.2033365e-16,-2.2125144e-15
HalfDome,2181.029,3.1740113e-13,3.1636274e-13,8.064028e-13,1.9284422e-15,-2.9668369e-15
HalfDome,2380.9006,3.0601113e-13,3.0468672e-13,7.7969396e-13,-6.1027686e-16,-7.141303e-16
HalfDome,2580.792,2.94046e-13,2.9323904e-13,7.491773e-13,-2.4611122e-16,-5.6086043e-16
HalfDome,2780.699,2.7900623e-13,2.8018443e-13,7.1016804e-13,8.961891e-16,2.8201337e-16
HalfDome,2980.6187,2.638882e-13,2.6476152e-13,6.7045544e-13,-8.1512733e-16,1.6884522e-15
HalfDome,3180.548,2.4506748e-13,2.4520146e-13,6.2532585e-13,1.1555941e-15,-1.0216138e-15
HalfDome,3380.486,2.2746843e-13,2.2531319e-13,5.7956504e-13,-4.917838e-16,-1.6634611e-15
