model,requested_ell,actual_bin_ell,clean_masked_dl,percent_from_halfdome,percent_from_flamingo_fiducial
HalfDome,1000,982.90125,2.7330048e-13,0.0,-22.078931594260542
L1_m9,1000,982.90125,3.5074016e-13,28.334995972198797,0.0
fgas-8sigma,1000,982.90125,2.971498e-13,8.726409847505568,-15.279219807620548
Mstar-1sigma,1000,982.90125,3.6201397e-13,32.46005641848855,3.214291172131545
HalfDome,3000,2980.6187,2.638882e-13,0.0,-22.477692024498495
L1_m9,3000,2980.6187,3.4040292e-13,28.995127482017004,0.0
fgas-8sigma,3000,2980.6187,2.412285e-13,-8.586856100424345,-29.134421056082594
Mstar-1sigma,3000,2980.6187,3.4549734e-13,30.925649574327284,1.4965852819358805
HalfDome,5000,4980.1694,9.85424e-14,0.0,-13.989223864607292
L1_m9,5000,4980.1694,1.1456983e-13,16.264501371998243,0.0
fgas-8sigma,5000,4980.1694,6.964938e-14,-29.320394063875042,-39.207922364901826
Mstar-1sigma,5000,4980.1694,1.1433038e-13,16.02150952280441,-0.20899917543736324
HalfDome,7000,6979.9775,2.1415083e-14,0.0,7.464700504341959
L1_m9,7000,6979.9775,1.9927551e-14,-6.946188347717364,0.0
fgas-8sigma,7000,6979.9775,1.0598638e-14,-50.50853643667877,-46.8141469064613
Mstar-1sigma,7000,6979.9775,1.9502124e-14,-8.932764818142424,-2.1348684542320195
