method,N,estimator,best_val_logp,n_test,mean_rmse_over_prior_range,mean_rmse_sem,pooled_pearson_r,pooled_pearson_sem,rmse_P0,rmse_xc,rmse_beta,rmse_alpha_m_P0,rmse_alpha_m_xc,rmse_alpha_m_beta,rmse_alpha_z_P0,rmse_alpha_z_xc,rmse_alpha_z_beta,r_P0,r_xc,r_beta,r_alpha_m_P0,r_alpha_m_xc,r_alpha_m_beta,r_alpha_z_P0,r_alpha_z_xc,r_alpha_z_beta
bins40,256,maf,-7.413800166203425,843,0.2012031470338609,0.0014478938972014414,0.5391858732153291,0.00773359303763299,0.2483852595545632,0.21871166408704057,0.23290302033422275,0.20685226098400009,0.1841925154691717,0.18895829441050035,0.1981807943861349,0.15468297565556843,0.1779615384235461,0.4473270081396344,0.3745083126728315,0.29393810763893014,0.462935722251143,0.27142073583347925,0.11032693826188676,0.6431890194774471,0.2607988445188972,0.12586549881008674
bins40,256,nsf,-8.5496826171875,843,0.2060656874112251,0.0014573049579977473,0.5063763653114294,0.008322434076386633,0.25006519922751164,0.22006134897751997,0.23648300137134698,0.22277245687248018,0.1877241611734062,0.19003343742021733,0.2113550948717313,0.15719670503486985,0.17889978175194213,0.43021550616763665,0.3638664999723599,0.23556889209844012,0.27977841182318886,0.2004055706274487,0.009548044474490478,0.5977978656851298,0.2008354107853622,0.07794372391299996
bins40,512,maf,-6.139442443847656,843,0.19862936397046554,0.0014172970006814058,0.5545074748058708,0.007552833533146232,0.24824450465932765,0.2170527229914879,0.23074818922717807,0.19969190174547508,0.18207601475474852,0.18849927621752344,0.19250930241239758,0.15487778774035482,0.1739645759856969,0.4390568434679727,0.3763354443685792,0.30430938097483157,0.489232854434868,0.3120864568286693,0.10404954892843818,0.6682302227442224,0.25794913647921636,0.24564759097028654
bins40,512,nsf,-7.442203044891357,843,0.204129364384854,0.0014581407179898023,0.5190770800069459,0.008306151316517896,0.2535235825849031,0.2176092348158377,0.23267455842868603,0.21764476829192542,0.1868152876573747,0.189076710761545,0.2052994131142572,0.15583788227522147,0.17868284153393518,0.42270259752163275,0.3634526713227523,0.2904021727193106,0.3424783482894869,0.21540027143259335,0.07503905025303068,0.6149900554603915,0.22268966833908801,0.08843701460698687
bins40,1024,maf,-4.627281665802002,843,0.19772245716732387,0.0014258025963520503,0.5609197262389766,0.008335575248790134,0.24264244281618644,0.21658388612976695,0.22930189488037833,0.1992330205541665,0.18223912284569496,0.1866133105355337,0.19406114283257067,0.15191822259516566,0.17690907131645162,0.4882369307211094,0.3844661844077279,0.33234633609427805,0.5205907508066816,0.30783920452360236,0.17916747946395667,0.6719109325456211,0.34050677160451964,0.1782525823790687
bins40,1024,nsf,-6.556066513061523,843,0.19978416458248863,0.0014575099725656145,0.5497891695313036,0.008227308340355418,0.24843343206634777,0.21664243392666066,0.22940904813776475,0.20423474675831074,0.18343419422282065,0.18770387566968907,0.19789800826434642,0.1525103730005192,0.17779136919593846,0.4673571598116916,0.3874530935037655,0.3279626552178227,0.47516378375676493,0.2869209376156867,0.15002156015526583,0.6516365112943676,0.30865658716659033,0.1646471655477023
bins40,2048,maf,-1.8512410720189412,843,0.19076075771407613,0.001429434607529114,0.6015871143232477,0.0075697306304853594,0.23544144395860683,0.2100304363081047,0.22387421880964217,0.17740779049619687,0.17966077576668307,0.1860122374531144,0.18710992051398292,0.14469018966688146,0.17261980645347277,0.5318773489767774,0.43693677725364616,0.389580436006768,0.6293545751604314,0.34638071252853025,0.20022215802022209,0.6908047430449277,0.42521137655967073,0.2810217268179715
bins40,2048,nsf,-3.936992804209391,843,0.19422239260429977,0.001407845333719638,0.5822955017426078,0.00795984023158389,0.23568545615193384,0.21485986375302904,0.22708108563889406,0.18946312955712918,0.17942878215830121,0.1852473237018461,0.19272969930633638,0.1487084611086064,0.1747977320626218,0.5229016425129097,0.39513285412039845,0.3509949152745109,0.5574692319890391,0.3454078787043004,0.21276219867501234,0.6697622899790615,0.3754673207998299,0.22928216354127337
bins40,4096,maf,0.04735549926757812,843,0.18650496712717915,0.001378062819274895,0.6229649578529117,0.007292375324928403,0.23264552676284309,0.20770049274801758,0.2193357717821208,0.15784282095632893,0.17631619064091844,0.18483666986727648,0.18657492485977145,0.14228266475071008,0.17100964177662556,0.5651315954979302,0.4635096840176404,0.4546311779346722,0.7218565781399806,0.39445770822351955,0.22463251047902624,0.7004125140348152,0.4618913957517227,0.31571617535631147
bins40,4096,nsf,-2.3436458206176756,843,0.19245645183820675,0.0014323197467968763,0.5913100828286282,0.008003985906153041,0.24117335393999012,0.2111501114137514,0.2241991362814729,0.17960607771554313,0.17973854835409137,0.18491416959842769,0.19380585393548655,0.14461058771985905,0.17291022758523866,0.5146956177479713,0.4278147032041639,0.3828358117061521,0.6124295497456318,0.349795835535751,0.22238773242513638,0.670668602235771,0.42742646329340706,0.26983614192564814
bins40,7349,maf,1.8420425633021764,842,0.1819139104717819,0.0013590561470901658,0.6462799901981304,0.006904721683202017,0.2249456842025192,0.20201404021122865,0.21460869365988872,0.14907898506754494,0.16900349458021557,0.18345492880265835,0.1827184964032102,0.1416555180178954,0.16974535330087623,0.5885265371201177,0.5057716965565507,0.475567102499014,0.75360275104011,0.4777412784045171,0.25536523197192884,0.7098075601860072,0.46486555857882067,0.33029660656164783
bins40,7349,nsf,0.2669273022242955,843,0.1900606609280272,0.0013941880025384237,0.6056407237084466,0.00794958071586884,0.2324179050190531,0.21169666561042078,0.22195881244079146,0.17606069657967957,0.1792473929787109,0.18366682017550032,0.1872877545717988,0.14540041876211016,0.1728094822141794,0.5461269604391388,0.4318846799050654,0.4013832890740422,0.6383209757093312,0.3599443277219585,0.24515709054309864,0.694484751060648,0.41799110988777916,0.268209585506403
moped,256,maf,-7.069515521709736,843,0.19136363903566012,0.001427520833132923,0.5943095763197848,0.007495733589845193,0.24735553172490343,0.22182451165453315,0.2240895355620612,0.16071021133510596,0.171039617387841,0.18726784031955263,0.18312969463108103,0.1524502720125905,0.17440553669327213,0.45608022679072335,0.37248896093056394,0.3820898968568055,0.7154556885665828,0.4509245795430601,0.1515752481139262,0.7068125922685765,0.30803813449439765,0.24758787292129245
moped,256,nsf,-9.131675720214844,843,0.20057839460873375,0.001426269637690841,0.5438708702207593,0.008144549727539514,0.2504102539074749,0.22072218648706063,0.22428496794226427,0.20310837757079625,0.18375266845650481,0.18879874748355335,0.20431177277958507,0.15461922804618375,0.17519734880518084,0.42595849085919213,0.3618711279168122,0.3872358187087057,0.6332283700339192,0.2957104415131527,0.09251169888468148,0.6495818502141825,0.2744038912423514,0.22156649051715732
moped,512,maf,-5.45241641998291,843,0.18987631675998243,0.0014556632639117766,0.6053366379592936,0.007425823920776518,0.2381301579010911,0.2071139040313348,0.22230098482613816,0.1627026589770447,0.18132370707944684,0.19507027915242195,0.17911359714026032,0.14817292907957985,0.17495863265252407,0.506434213099352,0.47206597058052985,0.3983041386037449,0.7098359261173037,0.3424387948187857,0.13106798882417106,0.7199781321999296,0.3753602666858273,0.23058315069286028
moped,512,nsf,-6.528104782104492,843,0.19031993430627872,0.001441386822924891,0.6031122524520997,0.007632041925398475,0.24133102463389958,0.20813077321390308,0.2233822382913253,0.16598571326931708,0.174525002435442,0.1873515856128269,0.18769797044102807,0.15163973331103714,0.17283536754772913,0.5105622283570042,0.45050400415644354,0.38881622981051195,0.6994109323621682,0.41831214367465286,0.14863010114592867,0.7019036068453649,0.3405047800809411,0.26870806200198116
moped,1024,maf,-3.910337209701538,843,0.18623377181631337,0.0014408044230040603,0.6241681174023773,0.006932679200385918,0.23608775969463822,0.20803396565518784,0.22070081379239992,0.14712813366546296,0.17405501072639715,0.1873580135797791,0.18319834249658934,0.14793379764230358,0.1716081090940622,0.5332901210010448,0.46476440435294614,0.4276992596972975,0.7642221192003985,0.42071508426097354,0.18403624245662342,0.7066993317953664,0.3826612847445926,0.29078335978895753
