design,param,varying,prior_low,prior_high,sample_min,sample_max,mean,std,min_bin_count,max_bin_count,max_abs_cdf_minus_uniform
two_param_N32768,P0,True,1.81,34.39,1.8105248340405522,34.38930567281321,18.099999984828756,9.405035885099004,1024,1024,3.0517578124888978e-05
two_param_N32768,xc,False,0.1491,0.8449,0.497,0.497,0.49699999999999994,5.551115123125783e-17,0,32768,
two_param_N32768,beta,True,3.48,5.22,3.4800107682310046,5.219960224796086,4.34999999918975,0.5022947341949744,1024,1024,3.0517578124833467e-05
two_param_N32768,alpha_m_P0,False,0.0,0.2926,0.154,0.154,0.15399999999999997,2.7755575615628914e-17,0,32768,
two_param_N32768,alpha_m_xc,False,-0.1,0.1,-0.00865,-0.00865,-0.008650000000000001,1.734723475976807e-18,0,32768,
two_param_N32768,alpha_m_beta,False,-0.02,0.1,0.0393,0.0393,0.0393,0.0,0,32768,
two_param_N32768,alpha_z_P0,False,-1.3644,-0.2274,-0.758,-0.758,-0.7579999999999998,2.220446049250313e-16,0,32768,
two_param_N32768,alpha_z_xc,False,0.1462,1.3158,0.731,0.731,0.731,0.0,0,32768,
two_param_N32768,alpha_z_beta,False,0.083,0.747,0.415,0.415,0.415,0.0,0,32768,
two_param_N524288,P0,True,1.81,34.39,1.8100327395461497,34.389958734214304,18.099999984828756,9.405035885099002,16384,16384,1.907348632868011e-06
two_param_N524288,xc,False,0.1491,0.8449,0.497,0.497,0.49699999999999994,5.551115123125783e-17,0,524288,
two_param_N524288,beta,True,3.48,5.22,3.480002652760595,5.219999037422239,4.349999999189751,0.5022947341949744,16384,16384,1.907348633145567e-06
two_param_N524288,alpha_m_P0,False,0.0,0.2926,0.154,0.154,0.15399999999999994,5.551115123125783e-17,0,524288,
two_param_N524288,alpha_m_xc,False,-0.1,0.1,-0.00865,-0.00865,-0.00865,0.0,0,524288,
two_param_N524288,alpha_m_beta,False,-0.02,0.1,0.0393,0.0393,0.03929999999999994,6.245004513516506e-17,0,524288,
two_param_N524288,alpha_z_P0,False,-1.3644,-0.2274,-0.758,-0.758,-0.7580000000000005,4.440892098500626e-16,0,524288,
two_param_N524288,alpha_z_xc,False,0.1462,1.3158,0.731,0.731,0.7310000000000011,1.1102230246251565e-15,0,524288,
two_param_N524288,alpha_z_beta,False,0.083,0.747,0.415,0.415,0.4149999999999994,5.551115123125783e-16,0,524288,
nine_param_N32768,P0,True,1.81,34.39,1.810594348683953,34.389333405848596,18.099999984828756,9.405035885099002,1024,1024,3.0513852834729294e-05
nine_param_N32768,xc,True,0.1491,0.8449,0.1491024034848437,0.84488774281051,0.49699999967599284,0.2008601586510708,1024,1024,3.0517578125e-05
nine_param_N32768,beta,True,3.48,5.22,3.4800424749590455,5.2199512067064635,4.34999999918975,0.5022947341949744,1024,1024,3.051757812511102e-05
nine_param_N32768,alpha_m_P0,True,0.0,0.2926,7.570460997521877e-06,0.29259747524131086,0.14629999986374748,0.08446634438244224,1024,1024,3.051757812511102e-05
nine_param_N32768,alpha_m_xc,True,-0.1,0.1,-0.09999420158565045,0.09999866336584093,-9.313225759529435e-11,0.05773502691896258,1024,1024,3.051757812501388e-05
nine_param_N32768,alpha_m_beta,True,-0.02,0.1,-0.019997164122760296,0.09999714110046626,0.03999999994412065,0.034641016151377546,1024,1024,3.0516646802425385e-05
nine_param_N32768,alpha_z_P0,True,-1.3644,-0.2274,-1.3643994557183237,-0.22740910030491657,-0.795900000529457,0.3282236280343023,1024,1024,3.0516646802425385e-05
nine_param_N32768,alpha_z_xc,True,0.1462,1.3158,0.1462310759231448,1.315768122370541,0.7309999994553626,0.3376344374220932,1024,1024,3.0517578124888978e-05
nine_param_N32768,alpha_z_beta,True,0.083,0.747,0.08301968794316052,0.7469951313510537,0.4149999996908009,0.19168028937095577,1024,1024,3.0516646802536407e-05
nine_param_N524288,P0,True,1.81,34.39,1.8100525531917808,34.38994562625885,18.099999984828756,9.405035885099002,16384,16384,1.907348632868011e-06
nine_param_N524288,xc,True,0.1491,0.8449,0.149100440001674,0.8448997667148709,0.49699999967599245,0.20086015865107082,16384,16384,1.9073486329235223e-06
nine_param_N524288,beta,True,3.48,5.22,3.480000758394599,5.219999171923845,4.349999999189751,0.5022947341949744,16384,16384,1.907348633145567e-06
nine_param_N524288,alpha_m_P0,True,0.0,0.2926,2.8068013489246367e-07,0.29259994849655774,0.14629999986374748,0.08446634438244228,16384,16384,1.9073486330345446e-06
nine_param_N524288,alpha_m_xc,True,-0.1,0.1,-0.09999998677521944,0.09999965466558933,-9.313225755339269e-11,0.05773502691896254,16384,16384,1.9073486329235223e-06
nine_param_N524288,alpha_m_beta,True,-0.02,0.1,-0.019999908804893492,0.09999989226460457,0.03999999994412069,0.03464101615137756,16384,16384,1.9073486329235223e-06
nine_param_N524288,alpha_z_P0,True,-1.3644,-0.2274,-1.3643994557183237,-0.2274004087407142,-0.795900000529457,0.3282236280343023,16384,16384,1.9073486329235223e-06
nine_param_N524288,alpha_z_xc,True,0.1462,1.3158,0.14620136921852825,1.315798490265012,0.7309999994553633,0.33763443742209304,16384,16384,1.9073486329235223e-06
nine_param_N524288,alpha_z_beta,True,0.083,0.747,0.08300049657374618,0.746999588765204,0.4149999996908004,0.19168028937095577,16384,16384,1.9073486329235223e-06
