shape_index,x,previous_h,smooth_h,previous_dh_dx,smooth_dh_dx,physical_y_over_A
0.000000000000000000e+00,2.799999999999999822e+00,1.002196485976858105e-04,1.002196485976858105e-04,-1.003587484541315747e-04,-1.003587484541315747e-04,5.725691580752704157e-04
0.000000000000000000e+00,2.803999999999999826e+00,9.981929439329602382e-05,9.981929439329602382e-05,-9.981895507757582197e-05,-9.981895507757582197e-05,5.694980397441397162e-04
0.000000000000000000e+00,2.807999999999999829e+00,9.942109216539918239e-05,9.942109216539918239e-05,-9.928275545922064143e-05,-9.928275545922064143e-05,5.664432769427775460e-04
0.000000000000000000e+00,2.811999999999999833e+00,9.902502759577026803e-05,9.902502759577026803e-05,-9.875012123844480855e-05,-9.875012123844480855e-05,5.634047546489160448e-04
0.000000000000000000e+00,2.815999999999999837e+00,9.863108647910952959e-05,9.863108647910952959e-05,-9.822102431277250547e-05,-9.822102431277250547e-05,5.603823587192438734e-04
0.000000000000000000e+00,2.819999999999999840e+00,9.823925472201518779e-05,9.823925472201518779e-05,-9.769543683521457261e-05,-9.769543683521457261e-05,5.573759758809441241e-04
0.000000000000000000e+00,2.823999999999999844e+00,9.784951834196695510e-05,9.784951834196695510e-05,-9.717333121164053815e-05,-9.717333121164053815e-05,5.543854937233154987e-04
0.000000000000000000e+00,2.827999999999999847e+00,9.746186346631962498e-05,9.746186346631962498e-05,-9.665468009818073414e-05,-9.665468009818073414e-05,5.514108006894689450e-04
0.000000000000000000e+00,2.831999999999999851e+00,9.707627633130715096e-05,9.707627633130715096e-05,-9.613945639865790278e-05,-9.613945639865790278e-05,5.484517860681060444e-04
0.000000000000000000e+00,2.835999999999999854e+00,9.669274328105722876e-05,9.669274328105722876e-05,-9.562763326204891661e-05,-9.562763326204891661e-05,5.455083399853752433e-04
0.000000000000000000e+00,2.839999999999999858e+00,9.631125076661537887e-05,9.631125076661537887e-05,-9.511918407997448446e-05,-9.511918407997448446e-05,5.425803533968014862e-04
0.000000000000000000e+00,2.843999999999999861e+00,9.593178534497954579e-05,9.593178534497954579e-05,-9.461408248421840209e-05,-9.461408248421840209e-05,5.396677180792951037e-04
0.000000000000000000e+00,2.847999999999999865e+00,9.555433367814433320e-05,9.555433367814433320e-05,-9.411230234427477514e-05,-9.411230234427477514e-05,5.367703266232333415e-04
0.000000000000000000e+00,2.851999999999999869e+00,9.517888253215492909e-05,9.517888253215492909e-05,-9.361381776492290279e-05,-9.361381776492290279e-05,5.338880724246156161e-04
0.000000000000000000e+00,2.855999999999999872e+00,9.480541877617085656e-05,9.480541877617085656e-05,-9.311860308383037785e-05,-9.311860308383037785e-05,5.310208496772921699e-04
