radius,p0,xc,beta,los,python_column
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.000000000000000000e+05,4.915867984541880453e+00
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.000000000000000000e+05,3.243034742159821793e+00
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.000000000000000000e+05,1.819853399192592758e-01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.000000000000000000e+05,1.474063946957573402e-03
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,3.999999874999998095e+00,4.915340546369127317e+00
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,3.998749804626441140e+00,3.242507189679406210e+00
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,3.872983346207417021e+00,1.814460471042926570e-01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,8.943712875534336193e-02,5.187488323661373473e-05
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,7.999999937500000158e+00,4.915847294359377173e+00
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,7.999374975584029990e+00,3.243014050823829209e+00
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,7.937253933193772149e+00,1.819645333260339892e-01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,6.928780484327671019e+00,1.451204564267869618e-03
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.599999996875000008e+01,4.915867372053560835e+00
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.599968749694818371e+01,3.243034129662835774e+00
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.596871942267131139e+01,1.819847265623270316e-01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,6.268946704018128813e+00,1.549219154929346942e+01,1.473437068138706016e-03
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.000000000000000000e+05,1.907170424220840843e+01
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.000000000000000000e+05,1.761974695689906056e+01
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.000000000000000000e+05,1.113536980451559444e+01
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,1.000000000000000000e+05,5.126903326927556570e+00
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,3.999999874999998095e+00,1.554106384599533897e+01
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,3.998749804626441140e+00,1.408879600181308334e+01
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,3.872983346207417021e+00,7.572813047183246660e+00
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,8.943712875534336193e-02,5.873923331929643832e-02
1.000000000000000021e-03,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,7.999999937500000158e+00,1.702275400029204278e+01
1.000000000000000056e-01,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,7.999374975584029990e+00,1.557074923080991269e+01
1.000000000000000000e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,7.937253933193772149e+00,9.081638290999206831e+00
3.999000000000000110e+00,5.521037078268103748e+00,1.131832149755099381e+00,1.616580753730952003e+00,6.928780484327671019e+00,2.992258330040350689e+00
