mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,4.432584694128764,4.4325846941287645,2.220446049250313e-16,931,4.497487429258652e-12
1.0e12,0.001,0.1,3.9874530109910222,3.9874530109910222,0.0,741,3.262094317949398e-11
1.0e12,0.001,1.0,1.7396034250654668,1.739603425065468,6.661338147750939e-16,627,2.9920693526604657e-11
1.0e12,0.001,4.0,0.15658054657487247,0.15658054657487247,0.0,589,1.2974546430264686e-13
1.0e12,0.001,1000.0,6.669569569256234e-18,6.669569569256235e-18,1.1102230246251565e-16,285,2.7205682585268187e-12
1.0e12,0.5,0.003,6.082034222519151,6.0820342225191535,4.440892098500626e-16,931,3.849904223662835e-12
1.0e12,0.5,0.1,5.571735402205961,5.571735402205963,3.3306690738754696e-16,741,2.7089951590943844e-11
1.0e12,0.5,1.0,2.8404457896381836,2.8404457896381836,0.0,627,2.024476950342194e-11
1.0e12,0.5,4.0,0.344532798683677,0.344532798683677,0.0,589,1.1769103595936386e-13
1.0e12,0.5,1000.0,1.3522940731487764e-21,1.352294073148772e-21,3.1086244689504383e-15,285,3.197475118764817e-11
1.0e12,5.0,0.003,18.48287553160135,18.48287553160137,9.992007221626409e-16,931,2.2027703832129084e-12
1.0e12,5.0,0.1,17.653936889287227,17.653936889287234,4.440892098500626e-16,741,1.4464528875970484e-11
1.0e12,5.0,1.0,12.978313377842227,12.978313377842229,1.1102230246251565e-16,627,6.15302447697669e-12
1.0e12,5.0,4.0,4.582043713467727,4.582043713467731,7.771561172376096e-16,551,6.610420728609599e-11
1.0e12,5.0,1000.0,2.1340431324089703e-35,2.1340431324089593e-35,5.10702591327572e-15,323,7.312692670873936e-13
1.0e14,0.001,0.003,0.8702921936281035,0.8702921936281034,2.220446049250313e-16,931,1.3775990033389939e-11
1.0e14,0.001,0.1,0.5590279851005494,0.5590279851005494,0.0,779,3.7361941281751664e-14
1.0e14,0.001,1.0,0.02001947109799106,0.02001947109799106,0.0,665,1.4785133868000506e-13
1.0e14,0.001,4.0,5.190574863039329e-5,5.190574863039325e-5,8.881784197001252e-16,589,1.2868915451513908e-12
1.0e14,0.001,1000.0,8.563508027540167e-22,8.563508027540145e-22,2.6645352591003757e-15,285,3.3146019641313504e-12
1.0e14,0.5,0.003,1.1941288434826294,1.1941288434826294,0.0,931,1.1765063842814753e-11
1.0e14,0.5,0.1,0.8330795171199179,0.8330795171199175,4.440892098500626e-16,779,3.467271877653211e-14
1.0e14,0.5,1.0,0.04310413336375722,0.0431041333637572,4.440892098500626e-16,665,1.328960595904393e-13
1.0e14,0.5,4.0,7.544703983725819e-5,7.544703983725823e-5,5.551115123125783e-16,589,1.9923807094629773e-12
1.0e14,0.5,1000.0,4.923987751667766e-27,4.923987751667788e-27,4.551914400963142e-15,285,7.64721869253295e-12
1.0e14,5.0,0.003,3.6356111956767347,3.6356111956767347,0.0,931,6.677222796506843e-12
1.0e14,5.0,0.1,3.061251169599899,3.0612511695999,3.3306690738754696e-16,741,5.350087660280313e-11
1.0e14,5.0,1.0,0.6772957518707442,0.6772957518707444,3.3306690738754696e-16,665,6.175255898459107e-14
1.0e14,5.0,4.0,0.005686899001137635,0.005686899001137639,7.771561172376096e-16,589,1.026645181308562e-12
1.0e14,5.0,1000.0,5.561666216692323e-52,5.5616662166922955e-52,4.884981308350689e-15,323,3.3899823133751414e-13
5.011872336272715e15,0.001,0.003,0.2119140757666689,0.2119140757666688,4.440892098500626e-16,931,3.7542621020235986e-11
5.011872336272715e15,0.001,0.1,0.04467870446485307,0.044678704464853065,2.220446049250313e-16,779,1.3667230232360103e-13
5.011872336272715e15,0.001,1.0,2.8589362518513814e-5,2.8589362518513787e-5,8.881784197001252e-16,665,9.19373697536981e-13
5.011872336272715e15,0.001,4.0,1.2101477370431271e-8,1.2101477370431303e-8,2.55351295663786e-15,589,2.1188683732553898e-12
5.011872336272715e15,0.001,1000.0,3.2853173135938336e-24,3.285317313593834e-24,1.1102230246251565e-16,285,2.8366657875520803e-12
5.011872336272715e15,0.5,0.003,0.2921550448987826,0.29215504489878263,2.220446049250313e-16,931,3.172412603183197e-11
5.011872336272715e15,0.5,0.1,0.07907859230734464,0.07907859230734464,0.0,779,1.0851126251670716e-13
5.011872336272715e15,0.5,1.0,3.822451956456345e-5,3.8224519564563456e-5,2.220446049250313e-16,665,1.4241346814802692e-12
5.011872336272715e15,0.5,4.0,2.4390776813423853e-9,2.439077681342397e-9,4.773959005888173e-15,589,4.563673687522925e-12
5.011872336272715e15,0.5,1000.0,1.8760622651769853e-30,1.876062265176986e-30,3.3306690738754696e-16,285,7.843726008206961e-13
5.011872336272715e15,5.0,0.003,0.9010541620797986,0.9010541620797985,2.220446049250313e-16,931,1.7547191545313805e-11
5.011872336272715e15,5.0,0.1,0.4856319564889621,0.48563195648896196,4.440892098500626e-16,779,4.477675491236355e-14
5.011872336272715e15,5.0,1.0,0.001999452864455731,0.0019994528644557323,6.661338147750939e-16,665,8.348174038286751e-13
5.011872336272715e15,5.0,4.0,4.671200431649655e-9,4.671200431649667e-9,2.4424906541753444e-15,589,5.287866780874546e-12
5.011872336272715e15,5.0,1000.0,4.3079003190189135e-63,4.3079003190189005e-63,3.1086244689504383e-15,323,4.2328950842249716e-13
