mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,62.91658210308626,62.91658210308628,2.220446049250313e-16,931,5.777093604748571e-13
1.0e12,0.001,0.1,62.24108097401027,62.24108097401029,2.220446049250313e-16,741,3.509786743429489e-12
1.0e12,0.001,1.0,58.93418058006259,58.934180580062616,4.440892098500626e-16,627,9.579098161714543e-13
1.0e12,0.001,4.0,50.844605777457176,50.84460577745719,3.3306690738754696e-16,551,3.3495909876663274e-12
1.0e12,0.001,1000.0,0.010313117796810278,0.01031311779681027,6.661338147750939e-16,285,2.5940226564998544e-13
1.0e12,0.5,0.003,72.84868974053997,72.84868974053998,2.220446049250313e-16,931,5.464792132433872e-13
1.0e12,0.5,0.1,72.11190126744964,72.11190126744964,0.0,741,3.3104132825470377e-12
1.0e12,0.5,1.0,68.53513109739866,68.53513109739866,0.0,627,8.955515072539674e-13
1.0e12,0.5,4.0,59.79128972255264,59.79128972255265,1.1102230246251565e-16,551,3.048715046889161e-12
1.0e12,0.5,1000.0,0.004437140759861819,0.004437140759861823,7.771561172376096e-16,285,4.179653063138119e-13
1.0e12,5.0,0.003,125.01213622438638,125.01213622438637,2.220446049250313e-16,931,4.3693509127610347e-13
1.0e12,5.0,0.1,124.01861658043633,124.01861658043624,6.661338147750939e-16,741,2.6113360126258387e-12
1.0e12,5.0,1.0,119.32089540872074,119.32089540872073,2.220446049250313e-16,627,6.903437065872155e-13
1.0e12,5.0,4.0,108.02739824721759,108.02739824721752,6.661338147750939e-16,551,2.158632551077403e-12
1.0e12,5.0,1000.0,0.000438286029774062,0.0004382860297740607,2.886579864025407e-15,285,2.1149453776622656e-12
1.0e14,0.001,0.003,0.519933236489703,0.519933236489703,0.0,931,1.7064778755251616e-11
1.0e14,0.001,0.1,0.29288209233441487,0.29288209233441487,0.0,779,4.359455755875926e-14
1.0e14,0.001,1.0,0.011779010516946966,0.011779010516946969,3.3306690738754696e-16,665,1.1996337869589615e-13
1.0e14,0.001,4.0,0.00022092692071864787,0.00022092692071864762,1.1102230246251565e-15,589,2.757810134900413e-13
1.0e14,0.001,1000.0,6.025238533841098e-13,6.025238533841117e-13,3.219646771412954e-15,285,5.607701722319627e-13
1.0e14,0.5,0.003,0.6070394462920472,0.607039446292047,4.440892098500626e-16,931,1.5946456390557355e-11
1.0e14,0.5,0.1,0.3571563676611836,0.3571563676611836,0.0,779,4.108775888591975e-14
1.0e14,0.5,1.0,0.013331320154345568,0.01333132015434557,1.1102230246251565e-16,665,1.3155746554604305e-13
1.0e14,0.5,4.0,0.00014460186976027049,0.00014460186976027054,3.3306690738754696e-16,589,4.281850001060314e-13
1.0e14,0.5,1000.0,6.3628296399532026e-15,6.362829639953193e-15,1.5543122344752192e-15,285,9.855924840988343e-13
1.0e14,5.0,0.003,1.0626539520599987,1.0626539520599985,2.220446049250313e-16,931,1.2297230552624597e-11
1.0e14,5.0,0.1,0.7256516642118237,0.7256516642118236,2.220446049250313e-16,779,3.514810356764219e-14
1.0e14,5.0,1.0,0.03536333377020296,0.03536333377020297,2.220446049250313e-16,665,1.3281892613532616e-13
1.0e14,5.0,4.0,8.895073449853801e-5,8.895073449853803e-5,3.3306690738754696e-16,589,1.4548939764795914e-12
1.0e14,5.0,1000.0,1.251792934321894e-23,1.2517929343218935e-23,4.440892098500626e-16,285,2.585084941724355e-12
5.011872336272715e15,0.001,0.003,0.0032879310016501228,0.0032879310016501193,1.1102230246251565e-15,969,6.586605395844664e-14
5.011872336272715e15,0.001,0.1,3.339245966857584e-7,3.339245966857585e-7,3.3306690738754696e-16,779,7.410062804926382e-12
5.011872336272715e15,0.001,1.0,2.0647048765348057e-11,2.064704876534811e-11,2.55351295663786e-15,665,7.42543958326892e-13
5.011872336272715e15,0.001,4.0,4.955616244353376e-14,4.9556162443533746e-14,2.220446049250313e-16,589,7.649640506611279e-13
5.011872336272715e15,0.001,1000.0,1.6134381641492465e-24,1.6134381641492396e-24,4.218847493575595e-15,285,9.430593503110018e-13
5.011872336272715e15,0.5,0.003,0.004152855578810929,0.004152855578810929,0.0,969,6.141560159874772e-14
5.011872336272715e15,0.5,0.1,1.7593125877299467e-7,1.7593125877299523e-7,3.1086244689504383e-15,779,1.5637281432906668e-11
5.011872336272715e15,0.5,1.0,1.6138981828486533e-12,1.6138981828486616e-12,5.10702591327572e-15,665,1.3412167294825315e-12
5.011872336272715e15,0.5,4.0,1.0930187343370843e-15,1.093018734337087e-15,2.55351295663786e-15,589,1.3942304218584186e-12
5.011872336272715e15,0.5,1000.0,2.137621997289997e-28,2.137621997289991e-28,2.6645352591003757e-15,285,1.6564004653454744e-12
5.011872336272715e15,5.0,0.003,0.009562664886973694,0.00956266488697369,4.440892098500626e-16,969,4.492409780259694e-14
5.011872336272715e15,5.0,0.1,5.7650841240303515e-8,5.765084124030357e-8,8.881784197001252e-16,817,1.163624124446107e-13
5.011872336272715e15,5.0,1.0,1.0214149306049493e-16,1.02141493060495e-16,7.771561172376096e-16,665,4.034279890580774e-12
5.011872336272715e15,5.0,4.0,1.331753706219121e-22,1.3317537062191187e-22,1.7763568394002505e-15,589,2.628167401510622e-12
5.011872336272715e15,5.0,1000.0,1.7911276524576476e-46,1.7911276524576445e-46,1.7763568394002505e-15,285,6.521153136777202e-12
