mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,0.6388773087374959,0.6388773087374959,0.0,931,1.4019950113486709e-11
1.0e12,0.001,0.1,0.4093211196005289,0.40932111960052897,1.1102230246251565e-16,779,3.750539254256941e-14
1.0e12,0.001,1.0,0.033319238966850975,0.03331923896685097,2.220446049250313e-16,665,8.503338564926604e-14
1.0e12,0.001,4.0,0.0014140490582318671,0.0014140490582318678,4.440892098500626e-16,589,1.6576020156922221e-13
1.0e12,0.001,1000.0,1.9173775181105734e-10,1.9173775181105786e-10,2.6645352591003757e-15,285,3.0660261917604943e-13
1.0e12,0.5,0.003,0.7408353063844277,0.7408353063844275,2.220446049250313e-16,931,1.3195329134845706e-11
1.0e12,0.5,0.1,0.48949755097280573,0.4894975509728056,2.220446049250313e-16,779,3.590482472347063e-14
1.0e12,0.5,1.0,0.03720362264813572,0.03720362264813572,0.0,665,9.288386312472321e-14
1.0e12,0.5,4.0,0.0010043825337503428,0.0010043825337503424,4.440892098500626e-16,589,2.274662710911281e-13
1.0e12,0.5,1000.0,4.37076337878859e-12,4.370763378788602e-12,2.55351295663786e-15,285,5.359324378235128e-13
1.0e12,5.0,0.003,1.2778078978324139,1.2778078978324132,4.440892098500626e-16,931,1.0337102457379543e-11
1.0e12,5.0,0.1,0.9432792741725382,0.9432792741725381,2.220446049250313e-16,779,3.263295810796254e-14
1.0e12,5.0,1.0,0.08709784826851771,0.08709784826851773,1.1102230246251565e-16,665,9.993770514111205e-14
1.0e12,5.0,4.0,0.0007131965151727344,0.0007131965151727346,3.3306690738754696e-16,589,6.794281343925232e-13
1.0e12,5.0,1000.0,2.655530731115978e-19,2.655530731115978e-19,0.0,285,3.098402589507914e-12
1.0e14,0.001,0.003,0.519933236489703,0.519933236489703,0.0,931,1.7064778755251616e-11
1.0e14,0.001,0.1,0.29288209233441487,0.29288209233441487,0.0,779,4.359455755875926e-14
1.0e14,0.001,1.0,0.011779010516946966,0.011779010516946969,3.3306690738754696e-16,665,1.1996337869589615e-13
1.0e14,0.001,4.0,0.00022092692071864787,0.00022092692071864762,1.1102230246251565e-15,589,2.757810134900413e-13
1.0e14,0.001,1000.0,6.025238533841098e-13,6.025238533841117e-13,3.219646771412954e-15,285,5.607701722319627e-13
1.0e14,0.5,0.003,0.6070394462920472,0.607039446292047,4.440892098500626e-16,931,1.5946456390557355e-11
1.0e14,0.5,0.1,0.3571563676611836,0.3571563676611836,0.0,779,4.108775888591975e-14
1.0e14,0.5,1.0,0.013331320154345568,0.01333132015434557,1.1102230246251565e-16,665,1.3155746554604305e-13
1.0e14,0.5,4.0,0.00014460186976027049,0.00014460186976027054,3.3306690738754696e-16,589,4.281850001060314e-13
1.0e14,0.5,1000.0,6.3628296399532026e-15,6.362829639953193e-15,1.5543122344752192e-15,285,9.855924840988343e-13
1.0e14,5.0,0.003,1.0626539520599987,1.0626539520599985,2.220446049250313e-16,931,1.2297230552624597e-11
1.0e14,5.0,0.1,0.7256516642118237,0.7256516642118236,2.220446049250313e-16,779,3.514810356764219e-14
1.0e14,5.0,1.0,0.03536333377020296,0.03536333377020297,2.220446049250313e-16,665,1.3281892613532616e-13
1.0e14,5.0,4.0,8.895073449853801e-5,8.895073449853803e-5,3.3306690738754696e-16,589,1.4548939764795914e-12
1.0e14,5.0,1000.0,1.251792934321894e-23,1.2517929343218935e-23,4.440892098500626e-16,285,2.585084941724355e-12
5.011872336272715e15,0.001,0.003,0.43838485490073537,0.4383848549007351,6.661338147750939e-16,931,2.0088365495494914e-11
5.011872336272715e15,0.001,0.1,0.215592201575947,0.215592201575947,0.0,779,5.134950088306168e-14
5.011872336272715e15,0.001,1.0,0.00418893640801052,0.004188936408010518,6.661338147750939e-16,627,6.417263798527008e-11
5.011872336272715e15,0.001,4.0,3.435466561269433e-5,3.43546656126943e-5,8.881784197001252e-16,589,4.8399539510993e-13
5.011872336272715e15,0.001,1000.0,1.8456113819935057e-15,1.845611381993506e-15,2.220446049250313e-16,285,9.413446597602073e-13
5.011872336272715e15,0.5,0.003,0.5142780722739028,0.5142780722739029,2.220446049250313e-16,931,1.8675886861285383e-11
5.011872336272715e15,0.5,0.1,0.2677180759133389,0.2677180759133389,0.0,779,4.745797232563368e-14
5.011872336272715e15,0.5,1.0,0.004790083029601816,0.004790083029601816,0.0,665,1.8940852523890773e-13
5.011872336272715e15,0.5,4.0,2.0596545432639864e-5,2.0596545432639867e-5,1.1102230246251565e-16,589,7.688449451794834e-13
5.011872336272715e15,0.5,1000.0,8.934045086413884e-18,8.934045086413887e-18,3.3306690738754696e-16,285,1.6532847195968757e-12
5.011872336272715e15,5.0,0.003,0.9098941579151865,0.9098941579151866,1.1102230246251565e-16,931,1.4236240821611457e-11
5.011872336272715e15,5.0,0.1,0.5723566617926397,0.5723566617926394,4.440892098500626e-16,779,3.810777861462906e-14
5.011872336272715e15,5.0,1.0,0.014333422032674509,0.014333422032674504,4.440892098500626e-16,665,1.780773196590647e-13
5.011872336272715e15,5.0,4.0,1.078612306099336e-5,1.078612306099335e-5,8.881784197001252e-16,589,2.840963074379002e-12
5.011872336272715e15,5.0,1000.0,5.444189009296712e-28,5.444189009296709e-28,4.440892098500626e-16,285,6.23994540711344e-12
