mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,0.6379334525886019,0.6379334525886016,4.440892098500626e-16,931,1.4040833010347425e-11
1.0e12,0.001,0.1,0.40836539872111627,0.4083653987211163,1.1102230246251565e-16,779,3.756251656748334e-14
1.0e12,0.001,1.0,0.033074473059951634,0.03307447305995164,2.220446049250313e-16,665,8.51593340654204e-14
1.0e12,0.001,4.0,0.0013949131162058254,0.001394913116205825,2.220446049250313e-16,589,1.6657473234530772e-13
1.0e12,0.001,1000.0,1.833547784486838e-10,1.8335477844868424e-10,2.4424906541753444e-15,285,3.080820115935447e-13
1.0e12,0.5,0.003,0.42983579235720026,0.42983579235720004,4.440892098500626e-16,931,2.292856769281549e-11
1.0e12,0.5,0.1,0.18186998748513103,0.18186998748513108,3.3306690738754696e-16,779,6.174193733070999e-14
1.0e12,0.5,1.0,0.0007796950617339902,0.0007796950617339899,2.220446049250313e-16,665,4.879636718286307e-13
1.0e12,0.5,4.0,4.119719029021109e-7,4.1197190290211065e-7,6.661338147750939e-16,589,2.3500410486634706e-12
1.0e12,0.5,1000.0,1.732122190152631e-24,1.7321221901526236e-24,4.218847493575595e-15,285,3.322897497307309e-12
1.0e12,5.0,0.003,0.13600975426227388,0.13600975426227374,1.1102230246251565e-15,969,3.1553835143545995e-14
1.0e12,5.0,0.1,0.0003209051289339651,0.0003209051289339658,2.220446049250313e-15,779,2.4145404672157185e-12
1.0e12,5.0,1.0,6.785087795900273e-25,6.785087795900233e-25,5.995204332975845e-15,703,5.726678384811628e-12
1.0e12,5.0,4.0,9.116007591567e-65,9.116007591566883e-65,1.2656542480726785e-14,627,5.17239371589998e-11
1.0e12,5.0,1000.0,0.0,0.0,NaN,19,NaN
1.0e14,0.001,0.003,0.5191961312777537,0.5191961312777538,2.220446049250313e-16,931,1.7089292316501986e-11
1.0e14,0.001,0.1,0.29215112229207063,0.29215112229207063,0.0,779,4.3572407753513745e-14
1.0e14,0.001,1.0,0.011676900794780891,0.011676900794780893,1.1102230246251565e-16,665,1.2034046699424396e-13
1.0e14,0.001,4.0,0.00021736144240338984,0.00021736144240338967,6.661338147750939e-16,589,2.7746843531714764e-13
1.0e14,0.001,1000.0,5.711062532438265e-13,5.711062532438288e-13,4.107825191113079e-15,285,5.639286393537786e-13
1.0e14,0.5,0.003,0.3560799940227096,0.3560799940227095,2.220446049250313e-16,931,2.7470873031184156e-11
1.0e14,0.5,0.1,0.11946003829989017,0.11946003829989014,2.220446049250313e-16,779,8.371865092619235e-14
1.0e14,0.5,1.0,0.00012848979589989929,0.00012848979589989923,4.440892098500626e-16,665,1.0605616222361715e-12
1.0e14,0.5,4.0,1.1868063854007024e-8,1.186806385400705e-8,2.220446049250313e-15,589,4.390833393299886e-12
1.0e14,0.5,1000.0,7.98156840693908e-30,7.981568406939047e-30,4.218847493575595e-15,285,4.846149988282615e-13
1.0e14,5.0,0.003,0.11022527030704665,0.0,NaN,19,NaN
1.0e14,5.0,0.1,5.511962663350235e-5,0.0,NaN,19,NaN
1.0e14,5.0,1.0,1.2938794614016682e-30,0.0,NaN,19,NaN
1.0e14,5.0,4.0,2.3794369291117035e-79,0.0,NaN,19,NaN
1.0e14,5.0,1000.0,0.0,0.0,NaN,19,NaN
5.011872336272715e15,0.001,0.003,0.43777976011851966,0.43777976011851955,2.220446049250313e-16,931,2.0116577100672607e-11
5.011872336272715e15,0.001,0.1,0.21501200357219546,0.21501200357219544,2.220446049250313e-16,779,5.1408254990921975e-14
5.011872336272715e15,0.001,1.0,0.00414683324345687,0.004146833243456871,2.220446049250313e-16,627,6.166240685573477e-11
5.011872336272715e15,0.001,4.0,3.37084022695256e-5,3.370840226952558e-5,6.661338147750939e-16,589,4.868189856881216e-13
5.011872336272715e15,0.001,1000.0,1.7337832696801535e-15,1.733783269680152e-15,8.881784197001252e-16,285,9.46277632477766e-13
5.011872336272715e15,0.5,0.003,0.30358991754739,0.3035899175473899,4.440892098500626e-16,931,3.204369703012422e-11
5.011872336272715e15,0.5,0.1,0.07975465403268676,0.07975465403268675,2.220446049250313e-16,779,1.1302374783980102e-13
5.011872336272715e15,0.5,1.0,2.0656586921958934e-5,2.0656586921958927e-5,2.220446049250313e-16,665,2.122414244277444e-12
5.011872336272715e15,0.5,4.0,3.258406394764362e-10,3.258406394764361e-10,2.220446049250313e-16,589,5.973960259906754e-12
5.011872336272715e15,0.5,1000.0,3.343439435299331e-35,3.3434394352992863e-35,1.3322676295501878e-14,285,1.7123802644703528e-11
5.011872336272715e15,5.0,0.003,0.09143426550327913,0.0,NaN,19,NaN
5.011872336272715e15,5.0,0.1,9.035137082249461e-6,0.0,NaN,19,NaN
5.011872336272715e15,5.0,1.0,1.613170240117492e-36,0.0,NaN,19,NaN
5.011872336272715e15,5.0,4.0,2.6978156372876117e-94,0.0,NaN,19,NaN
5.011872336272715e15,5.0,1000.0,0.0,0.0,NaN,19,NaN
