mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,0.6403553392981569,0.6403553392981567,4.440892098500626e-16,931,1.3996780333431827e-11
1.0e12,0.001,0.1,0.41064580629698577,0.41064580629698577,0.0,779,3.754303432945088e-14
1.0e12,0.001,1.0,0.03353826384501294,0.03353826384501293,2.220446049250313e-16,665,8.49924692365683e-14
1.0e12,0.001,4.0,0.0014255754878517769,0.001425575487851776,6.661338147750939e-16,589,1.657656354287266e-13
1.0e12,0.001,1000.0,1.9345419304118346e-10,1.9345419304118387e-10,2.1094237467877974e-15,285,3.0648122782496454e-13
1.0e12,0.5,0.003,1.8808448854279187,1.880844885427919,1.1102230246251565e-16,931,6.820419420943047e-12
1.0e12,0.5,0.1,1.5730477973830097,1.5730477973830095,2.220446049250313e-16,741,5.608243883142256e-11
1.0e12,0.5,1.0,0.42615922291340275,0.4261592229134028,1.1102230246251565e-16,627,7.612996881106267e-11
1.0e12,0.5,4.0,0.03240659390683787,0.03240659390683786,4.440892098500626e-16,589,1.280487036862152e-13
1.0e12,0.5,1000.0,2.9840441983089845e-10,2.9840441983089897e-10,1.7763568394002505e-15,285,5.338357698238551e-13
1.0e12,5.0,0.003,75.81283707509145,75.81283707509147,2.220446049250313e-16,931,6.094822736098052e-13
1.0e12,5.0,0.1,74.95248358953266,74.95248358953263,4.440892098500626e-16,741,3.71308898324488e-12
1.0e12,5.0,1.0,70.75117284767701,70.75117284767698,4.440892098500626e-16,627,1.0120958880406402e-12
1.0e12,5.0,4.0,60.39997765015305,60.39997765015301,6.661338147750939e-16,551,3.5565811658030647e-12
1.0e12,5.0,1000.0,1.2999769939265102e-5,1.2999769939265051e-5,3.9968028886505635e-15,285,2.5818223910831216e-12
1.0e14,0.001,0.003,0.521141338232229,0.5211413382322289,2.220446049250313e-16,931,1.7036308399404002e-11
1.0e14,0.001,0.1,0.29391458665591624,0.29391458665591613,4.440892098500626e-16,779,4.366981064584784e-14
1.0e14,0.001,1.0,0.011870009731155597,0.011870009731155597,0.0,665,1.2000490841889748e-13
1.0e14,0.001,4.0,0.00022305724553171825,0.00022305724553171822,2.220446049250313e-16,589,2.7558974224108584e-13
1.0e14,0.001,1000.0,6.089113168668909e-13,6.089113168668906e-13,4.440892098500626e-16,285,5.605967010678332e-13
1.0e14,0.5,0.003,1.5451054640786195,1.545105464078619,2.220446049250313e-16,931,8.206825985198333e-12
1.0e14,0.5,0.1,1.233116698011591,1.2331166980115913,2.220446049250313e-16,741,7.244510906725169e-11
1.0e14,0.5,1.0,0.22985883300593984,0.2298588330059399,2.220446049250313e-16,665,6.337811818692009e-14
1.0e14,0.5,4.0,0.008832910501948933,0.008832910501948931,2.220446049250313e-16,589,2.0002185431214067e-13
1.0e14,0.5,1000.0,9.507173894194703e-13,9.507173894194697e-13,6.661338147750939e-16,285,9.822880137364405e-13
1.0e14,5.0,0.003,63.26228730897657,63.262287308976575,1.1102230246251565e-16,931,7.173994564136643e-13
1.0e14,5.0,0.1,62.409051439371915,62.40905143937193,2.220446049250313e-16,741,4.405091511297227e-12
1.0e14,5.0,1.0,58.169992000976805,58.16999200097681,1.1102230246251565e-16,627,1.227095837677121e-12
1.0e14,5.0,4.0,47.66958551348009,47.66958551348009,0.0,551,4.634842035469982e-12
1.0e14,5.0,1000.0,2.5567007245671943e-7,2.556700724567196e-7,6.661338147750939e-16,285,3.998695584144961e-12
5.011872336272715e15,0.001,0.003,0.43940796720836933,0.43940796720836933,0.0,931,2.0054425965362698e-11
5.011872336272715e15,0.001,0.1,0.21641784532034983,0.21641784532034986,1.1102230246251565e-16,779,5.133282591065965e-14
5.011872336272715e15,0.001,1.0,0.0042262220442480835,0.004226222044248083,2.220446049250313e-16,627,6.632072304213117e-11
5.011872336272715e15,0.001,4.0,3.473770775519728e-5,3.473770775519727e-5,2.220446049250313e-16,589,4.835249305921377e-13
5.011872336272715e15,0.001,1000.0,1.868239568931074e-15,1.8682395689310697e-15,2.220446049250313e-15,285,9.413603708940365e-13
5.011872336272715e15,0.5,0.003,1.3123684026256768,1.3123684026256766,2.220446049250313e-16,931,9.570258538152371e-12
5.011872336272715e15,0.5,0.1,0.9971900450050717,0.9971900450050711,6.661338147750939e-16,741,9.09002028727401e-11
5.011872336272715e15,0.5,1.0,0.1257157502774382,0.1257157502774382,0.0,665,8.168461316699441e-14
5.011872336272715e15,0.5,4.0,0.0024015940588562224,0.002401594058856221,4.440892098500626e-16,589,3.4121072244358583e-13
5.011872336272715e15,0.5,1000.0,2.931935690963108e-15,2.931935690963102e-15,1.9984014443252818e-15,285,1.647947240899873e-12
5.011872336272715e15,5.0,0.003,54.351357866533526,54.35135786653354,2.220446049250313e-16,931,8.226842705584442e-13
5.011872336272715e15,5.0,0.1,53.50363058091234,53.503630580912315,4.440892098500626e-16,741,5.086910132476438e-12
5.011872336272715e15,5.0,1.0,49.2246724884498,49.224672488449826,5.551115123125783e-16,627,1.4505915041477274e-12
5.011872336272715e15,5.0,4.0,38.63278928149643,38.63278928149644,3.3306690738754696e-16,551,5.88797955419187e-12
5.011872336272715e15,5.0,1000.0,4.79048863123127e-9,4.790488631231291e-9,4.440892098500626e-15,285,3.1125561637404515e-12
