mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,0.023492051660752127,0.0,NaN,19,NaN
1.0e12,0.001,0.1,1.3842478704142875e-11,0.0,NaN,19,NaN
1.0e12,0.001,1.0,3.581662680214767e-61,0.0,NaN,19,NaN
1.0e12,0.001,4.0,1.8639066528727174e-121,0.0,NaN,19,NaN
1.0e12,0.001,1000.0,0.0,0.0,NaN,19,NaN
1.0e12,0.5,0.003,0.03725088382083973,0.0,NaN,19,NaN
1.0e12,0.5,0.1,3.882583425582084e-9,0.0,NaN,19,NaN
1.0e12,0.5,1.0,7.683167229580302e-51,0.0,NaN,19,NaN
1.0e12,0.5,4.0,4.020947585795308e-107,0.0,NaN,19,NaN
1.0e12,0.5,1000.0,0.0,0.0,NaN,19,NaN
1.0e12,5.0,0.003,0.13849839175637899,0.13849839175637885,1.1102230246251565e-15,969,3.132349471516063e-14
1.0e12,5.0,0.1,0.00037174532475242546,0.00037174532475242643,2.6645352591003757e-15,779,1.7075246721240294e-12
1.0e12,5.0,1.0,2.1081090065850002e-24,2.1081090065849903e-24,4.6629367034256575e-15,703,5.087405770566416e-12
1.0e12,5.0,4.0,1.8786244469145078e-63,1.8786244469145205e-63,6.772360450213455e-15,665,6.843850627407476e-13
1.0e12,5.0,1000.0,0.0,0.0,NaN,19,NaN
1.0e14,0.001,0.003,0.02198530635142936,0.0,NaN,19,NaN
1.0e14,0.001,0.1,5.808306188399241e-12,0.0,NaN,19,NaN
1.0e14,0.001,1.0,1.193791493090561e-62,0.0,NaN,19,NaN
1.0e14,0.001,4.0,1.991270512665354e-123,0.0,NaN,19,NaN
1.0e14,0.001,1000.0,0.0,0.0,NaN,19,NaN
1.0e14,0.5,0.003,0.03510804057593795,0.0,NaN,19,NaN
1.0e14,0.5,0.1,1.9632671901941526e-9,0.0,NaN,19,NaN
1.0e14,0.5,1.0,3.63273250616591e-52,0.0,NaN,19,NaN
1.0e14,0.5,4.0,5.081712281787042e-109,0.0,NaN,19,NaN
1.0e14,0.5,1000.0,0.0,0.0,NaN,19,NaN
1.0e14,5.0,0.003,0.13217740046856358,0.1321774004685636,2.220446049250313e-16,969,3.011443024841448e-14
1.0e14,5.0,0.1,0.00027825570841532243,0.0002782557084153218,2.4424906541753444e-15,779,3.1646118981532685e-12
1.0e14,5.0,1.0,3.4972755272280787e-25,3.497275527228065e-25,3.9968028886505635e-15,703,5.937647365567423e-12
1.0e14,5.0,4.0,5.742888047654308e-65,5.742888047654349e-65,7.216449660063518e-15,627,7.072985030738832e-11
1.0e14,5.0,1000.0,0.0,0.0,NaN,19,NaN
5.011872336272715e15,0.001,0.003,0.0207624178466201,0.0,NaN,19,NaN
5.011872336272715e15,0.001,0.1,2.7154871936246195e-12,0.0,NaN,19,NaN
5.011872336272715e15,0.001,1.0,6.397519280573569e-64,0.0,NaN,19,NaN
5.011872336272715e15,0.001,4.0,4.137372256022015e-125,0.0,NaN,19,NaN
5.011872336272715e15,0.001,1000.0,0.0,0.0,NaN,19,NaN
5.011872336272715e15,0.5,0.003,0.033362220654358704,0.0,NaN,19,NaN
5.011872336272715e15,0.5,0.1,1.0800800768125544e-9,0.0,NaN,19,NaN
5.011872336272715e15,0.5,1.0,2.612933604837894e-53,0.0,NaN,19,NaN
5.011872336272715e15,0.5,4.0,1.2132540712874024e-110,0.0,NaN,19,NaN
5.011872336272715e15,0.5,1000.0,0.0,0.0,NaN,19,NaN
5.011872336272715e15,5.0,0.003,0.12700420853918762,0.12700420853918767,4.440892098500626e-16,969,3.1143485848639874e-14
5.011872336272715e15,5.0,0.1,0.00021585196906376148,0.0002158519690637611,1.7763568394002505e-15,779,4.88795500696849e-12
5.011872336272715e15,5.0,1.0,7.32565689677991e-26,7.325656896779906e-26,6.661338147750939e-16,703,6.8213306890101054e-12
5.011872336272715e15,5.0,4.0,2.8622271052414447e-66,2.8622271052414315e-66,4.6629367034256575e-15,627,4.03093066036749e-11
5.011872336272715e15,5.0,1000.0,0.0,0.0,NaN,19,NaN
