mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,2.4997079857349456,2.4997079857349447,4.440892098500626e-16,931,5.3418582908508584e-12
1.0e12,0.001,0.1,2.190083331773484,2.1900833317734834,2.220446049250313e-16,741,4.083529773013097e-11
1.0e12,0.001,1.0,0.8475002746308454,0.8475002746308455,1.1102230246251565e-16,627,4.1313633309085006e-11
1.0e12,0.001,4.0,0.1190234638424262,0.11902346384242615,4.440892098500626e-16,589,8.711907603790285e-14
1.0e12,0.001,1000.0,3.726699070417442e-8,3.7266990704174484e-8,1.7763568394002505e-15,285,3.057856508544521e-13
1.0e12,0.5,0.003,3.795191136610143,3.795191136610144,2.220446049250313e-16,931,4.764409211843097e-12
1.0e12,0.5,0.1,3.3872165912217103,3.3872165912217116,4.440892098500626e-16,741,3.5039598200105456e-11
1.0e12,0.5,1.0,1.3952213753334024,1.3952213753334024,0.0,627,3.444266341255468e-11
1.0e12,0.5,4.0,0.12428105180537806,0.12428105180537805,2.220446049250313e-16,589,1.2735470343396965e-13
1.0e12,0.5,1000.0,4.206823524620619e-15,4.206823524620603e-15,3.774758283725532e-15,285,2.8982040436122696e-12
1.0e12,5.0,0.003,20.639756396896182,20.639756396896175,4.440892098500626e-16,931,2.4876896822500948e-12
1.0e12,5.0,0.1,19.58336353323746,19.58336353323744,1.1102230246251565e-15,741,1.6501122817684058e-11
1.0e12,5.0,1.0,13.592849387379363,13.592849387379363,0.0,627,7.69366867664817e-12
1.0e12,5.0,4.0,3.8376227812112513,3.837622781211255,8.881784197001252e-16,589,6.230511775321485e-14
1.0e12,5.0,1000.0,1.9669246699182476e-67,1.9669246699182255e-67,1.1324274851176597e-14,361,6.08359584147062e-13
1.0e14,0.001,0.003,0.04413490767518846,0.04413490767518842,8.881784197001252e-16,969,2.8218324256521812e-14
1.0e14,0.001,0.1,0.0012006168505255576,0.001200616850525557,4.440892098500626e-16,779,1.253875290392158e-13
1.0e14,0.001,1.0,1.026472346038425e-6,1.0264723460384251e-6,2.220446049250313e-16,665,3.6787752439267594e-13
1.0e14,0.001,4.0,7.404545170741063e-9,7.404545170741056e-9,1.1102230246251565e-15,589,4.2822965319379896e-13
1.0e14,0.001,1000.0,1.3160161621262062e-17,1.3160161621262033e-17,2.220446049250313e-15,285,5.643096541667449e-13
1.0e14,0.5,0.003,0.07045144712682237,0.07045144712682233,6.661338147750939e-16,931,9.309451673845654e-11
1.0e14,0.5,0.1,0.0012726076099619373,0.0012726076099619371,2.220446049250313e-16,779,3.5120034236242815e-13
1.0e14,0.5,1.0,4.1642163509090595e-9,4.164216350909065e-9,1.4432899320127035e-15,665,3.4541884214519378e-12
1.0e14,0.5,4.0,1.1488703469243807e-13,1.1488703469243847e-13,3.552713678800501e-15,589,4.251251257120252e-12
1.0e14,0.5,1000.0,4.5007210080817934e-33,4.5007210080817975e-33,8.881784197001252e-16,285,3.010686539358526e-12
1.0e14,5.0,0.003,0.4247727794628919,0.42477277946289227,8.881784197001252e-16,931,4.106003557745463e-11
1.0e14,5.0,0.1,0.06041942944680629,0.06041942944680634,7.771561172376096e-16,779,2.2112272755847868e-13
1.0e14,5.0,1.0,1.2102908726250344e-9,1.2102908726250348e-9,3.3306690738754696e-16,703,3.9128573275978006e-13
1.0e14,5.0,4.0,1.3252417978477923e-28,1.3252417978477898e-28,1.7763568394002505e-15,627,9.000464524555273e-12
1.0e14,5.0,1000.0,6.334320816059219e-235,6.334320816059347e-235,2.0317081350640365e-14,361,1.5476574594374612e-12
5.011872336272715e15,0.001,0.003,5.818922210259538e-5,5.818922210259537e-5,2.220446049250313e-16,969,5.924634549776875e-13
5.011872336272715e15,0.001,0.1,1.33616243090164e-10,1.3361624309016435e-10,2.6645352591003757e-15,779,1.3773779138205943e-11
5.011872336272715e15,0.001,1.0,6.0523889504401725e-15,6.052388950440175e-15,4.440892098500626e-16,665,7.694361311986137e-13
5.011872336272715e15,0.001,4.0,1.4020365552971952e-17,1.40203655529719e-17,3.774758283725532e-15,589,7.745488919405924e-13
5.011872336272715e15,0.001,1000.0,4.358929348468423e-28,4.358929348468419e-28,8.881784197001252e-16,285,9.470911339013128e-13
5.011872336272715e15,0.5,0.003,8.503957932103422e-5,8.503957932103396e-5,3.1086244689504383e-15,969,4.531633761186262e-13
5.011872336272715e15,0.5,0.1,5.152202026547484e-15,5.152202026547458e-15,5.10702591327572e-15,817,5.1457666143346376e-14
5.011872336272715e15,0.5,1.0,2.0898747764279282e-24,2.089874776427915e-24,6.217248937900877e-15,665,3.5178851918712926e-12
5.011872336272715e15,0.5,4.0,3.552820092859434e-30,3.5528200928593995e-30,9.769962616701378e-15,589,3.3061574716906417e-12
5.011872336272715e15,0.5,1000.0,3.1719739368877504e-53,3.1719739368877546e-53,1.3322676295501878e-15,285,3.220626007820512e-12
5.011872336272715e15,5.0,0.003,0.003552081772159293,0.0,NaN,19,NaN
5.011872336272715e15,5.0,0.1,3.026583587146782e-23,0.0,NaN,19,NaN
5.011872336272715e15,5.0,1.0,5.691782131439208e-94,0.0,NaN,19,NaN
5.011872336272715e15,5.0,4.0,2.6824933701098332e-157,0.0,NaN,19,NaN
5.011872336272715e15,5.0,1000.0,0.0,0.0,NaN,19,NaN
