mass,z,radius,stable,native,relative_difference,native_evaluations,native_error_ratio
1.0e12,0.001,0.003,0.0561999515414004,0.05619995154140036,6.661338147750939e-16,931,8.782062240781657e-11
1.0e12,0.001,0.1,0.0033903352002454,0.0033903352002453992,2.220446049250313e-16,779,1.6278008158677268e-13
1.0e12,0.001,1.0,1.2266427943201072e-5,1.2266427943201072e-5,0.0,665,2.0716422040040736e-13
1.0e12,0.001,4.0,2.367508617598452e-7,2.3675086175984499e-7,8.881784197001252e-16,589,2.3540534508020073e-13
1.0e12,0.001,1000.0,2.3027276725478136e-14,2.3027276725478142e-14,2.220446049250313e-16,285,3.071449000409941e-13
1.0e12,0.5,0.003,0.06581993999409537,0.06581993999409533,6.661338147750939e-16,931,8.098031792677866e-11
1.0e12,0.5,0.1,0.00378962331680729,0.0037896233168072885,4.440892098500626e-16,779,1.9986207641308985e-13
1.0e12,0.5,1.0,5.417979234793049e-6,5.417979234793044e-6,8.881784197001252e-16,665,3.236219815414228e-13
1.0e12,0.5,4.0,4.478681957423246e-8,4.478681957423254e-8,1.7763568394002505e-15,589,3.9870145287715125e-13
1.0e12,0.5,1000.0,1.144312323626087e-16,1.1443123236260823e-16,3.9968028886505635e-15,285,5.371622888899411e-13
1.0e12,5.0,0.003,0.11728123418047127,0.11728123418047118,8.881784197001252e-16,931,5.966765739231691e-11
1.0e12,5.0,0.1,0.008883637700871284,0.008883637700871291,7.771561172376096e-16,779,2.747140004462836e-13
1.0e12,5.0,1.0,5.988993232050937e-7,5.988993232050932e-7,6.661338147750939e-16,665,1.7097048417179628e-12
1.0e12,5.0,4.0,1.0013210205244421e-10,1.001321020524443e-10,8.881784197001252e-16,589,2.757102504199919e-12
1.0e12,5.0,1000.0,3.273227315851126e-27,3.2732273158511236e-27,6.661338147750939e-16,285,3.0998124598950743e-12
1.0e14,0.001,0.003,0.044106859267581525,0.04410685926758152,2.220446049250313e-16,969,2.8325007446743837e-14
1.0e14,0.001,0.1,0.0012021920178167042,0.0012021920178167042,0.0,779,1.2519413698548748e-13
1.0e14,0.001,1.0,1.0374891985687843e-6,1.037489198568784e-6,4.440892098500626e-16,665,3.6649395636599976e-13
1.0e14,0.001,4.0,7.541139525334224e-9,7.541139525334229e-9,6.661338147750939e-16,589,4.258499612892553e-13
1.0e14,0.001,1000.0,1.3837759151829104e-17,1.3837759151829125e-17,1.5543122344752192e-15,285,5.616086898546391e-13
1.0e14,0.5,0.003,0.052221239854742585,0.05222123985474256,4.440892098500626e-16,969,2.789207030285192e-14
1.0e14,0.5,0.1,0.0013623839768875461,0.0013623839768875476,1.1102230246251565e-15,779,1.7904305591476848e-13
1.0e14,0.5,1.0,3.8319904832168377e-7,3.8319904832168366e-7,2.220446049250313e-16,665,6.231487167966595e-13
1.0e14,0.5,4.0,1.0063349708487706e-9,1.0063349708487727e-9,2.1094237467877974e-15,589,7.595333867269787e-13
1.0e14,0.5,1000.0,2.3546974394514487e-20,2.354697439451447e-20,6.661338147750939e-16,285,9.878235767711324e-13
1.0e14,5.0,0.003,0.09547669442379833,0.09547669442379828,6.661338147750939e-16,931,7.348319928652267e-11
1.0e14,5.0,0.1,0.0036197449273509684,0.003619744927350968,2.220446049250313e-16,779,4.0786522580504427e-13
1.0e14,5.0,1.0,2.469432679266914e-8,2.4694326792669172e-8,1.3322676295501878e-15,665,3.3963099619507255e-12
1.0e14,5.0,4.0,5.917641483830797e-13,5.917641483830784e-13,2.220446049250313e-15,589,4.4934485816027366e-12
1.0e14,5.0,1000.0,4.768806956738392e-33,4.768806956738367e-33,5.10702591327572e-15,285,2.526772876651453e-12
5.011872336272715e15,0.001,0.003,0.03579994037036904,0.03579994037036902,6.661338147750939e-16,969,2.918101954119391e-14
5.011872336272715e15,0.001,0.1,0.00042885603784333136,0.00042885603784333125,2.220446049250313e-16,779,2.1479213101171027e-13
5.011872336272715e15,0.001,1.0,8.693560958964109e-8,8.693560958964112e-8,3.3306690738754696e-16,665,6.380730918370048e-13
5.011872336272715e15,0.001,4.0,2.366878171356205e-10,2.366878171356207e-10,8.881784197001252e-16,589,7.362291278941782e-13
5.011872336272715e15,0.001,1000.0,8.045146969290825e-21,8.0451469692908e-21,3.1086244689504383e-15,285,9.427692137752037e-13
5.011872336272715e15,0.5,0.003,0.04277194467558042,0.04277194467558037,1.1102230246251565e-15,969,2.870004472115252e-14
5.011872336272715e15,0.5,0.1,0.0004911517401238432,0.0004911517401238434,4.440892098500626e-16,779,1.948902771908744e-13
5.011872336272715e15,0.5,1.0,2.665678547818591e-8,2.665678547818595e-8,1.6653345369377348e-15,665,1.0957463632372376e-12
5.011872336272715e15,0.5,4.0,2.2091836831474292e-11,2.209183683147432e-11,1.3322676295501878e-15,589,1.3260070331259663e-12
5.011872336272715e15,0.5,1000.0,4.632119976041737e-24,4.63211997604172e-24,3.552713678800501e-15,285,1.6559341224500538e-12
5.011872336272715e15,5.0,0.003,0.07995869838898279,0.07995869838898277,2.220446049250313e-16,931,8.815766648672622e-11
5.011872336272715e15,5.0,0.1,0.0014725312368284213,0.0014725312368284228,9.992007221626409e-16,779,4.5415923574836505e-13
5.011872336272715e15,5.0,1.0,9.763495790646676e-10,9.763495790646711e-10,3.552713678800501e-15,665,5.372212882997159e-12
5.011872336272715e15,5.0,4.0,3.304836078672204e-15,3.3048360786721887e-15,4.6629367034256575e-15,589,4.330414159353174e-12
5.011872336272715e15,5.0,1000.0,6.309562829155803e-39,6.309562829155791e-39,1.7763568394002505e-15,285,6.497762304670895e-12
