case,ell,ell_upper,signal_masked,noise_sigma,delta4096,delta8192,cumulative_error4096,cumulative_error8192,amplitude_information_fraction
Battaglia12,198.01805555555555,279,7.713253776520682e-14,1.4129805042638224e-15,3.104808148617759e-17,-6.442243928705347e-19,0.021973467710620653,0.00045593296646805634,0.01226251431458161
Battaglia12,388.2717105263158,479,1.4246803271271303e-13,1.4893637371223357e-15,1.382304423947764e-16,1.3778064076690723e-18,0.09537040425613832,0.0010314829641297285,0.0499023015618557
Battaglia12,585.2469827586207,679,1.9489115869889782e-13,1.878567352038159e-15,2.1083256119643836e-16,1.1723512230146343e-17,0.14743515028226642,0.006326788042306267,0.09439590614318413
Battaglia12,783.7733974358974,879,2.375120756199149e-13,2.8154427421485733e-15,3.833126243990866e-16,1.2168889290123557e-17,0.20066220763196735,0.007656331522521453,0.12373307819413554
Battaglia12,982.9012755102041,1079,2.7270462576534435e-13,3.2871201266392143e-15,5.96856516077023e-16,2.973293157437394e-18,0.270779362583174,0.007710525951531943,0.15216803502273674
Battaglia12,1182.3247881355933,1279,2.9562979980807603e-13,4.761186617608042e-15,8.372394093924535e-16,4.6270836358927006e-17,0.3229354151687104,0.012405487454458686,0.1680605033618186
Battaglia12,1381.9153985507246,1479,3.1252773619997716e-13,5.24061290508981e-15,1.3887842842753031e-15,2.7390069549893938e-17,0.4174073307751185,0.013450428888459124,0.18252857134549877
Battaglia12,1581.6096518987342,1679,3.208066582716078e-13,5.8578834553899945e-15,1.5321071254748525e-15,1.431974880002724e-17,0.4922983599364175,0.013663426898956785,0.19470305640985922
Battaglia12,1781.3726123595507,1879,3.2425254292458185e-13,4.2179926094054545e-15,2.00092494926907e-15,3.949074793924055e-17,0.6835232858086744,0.016553804073164494,0.21901662922713314
Battaglia12,1981.1834595959597,2079,3.2079870039114325e-13,4.159078004299608e-15,2.279729116676727e-15,4.73991776974997e-17,0.877254981347191,0.0201212891292158,0.24400532807157285
Battaglia12,2181.029013761468,2279,3.148732864939011e-13,3.619220532951819e-15,2.527944339491561e-15,8.887927303966183e-17,1.1213788530341404,0.0317433594204542,0.2748770439555234
Battaglia12,2380.900525210084,2479,3.030710140606907e-13,2.894085393425126e-15,2.9400714526438478e-15,7.263035349648524e-17,1.512721660700818,0.040454199994026115,0.31976493686268287
Battaglia12,2580.791957364341,2679,2.906961937007312e-13,2.6284740648653903e-15,3.349780447612143e-15,9.170606740985409e-17,1.9786959302110303,0.053432073774824645,0.3704046017031062
Battaglia12,2780.699010791367,2879,2.7541717017026283e-13,2.2217855006839315e-15,3.589167752674649e-15,9.032969139098117e-17,2.555651847763788,0.06716617815230287,0.4341440885538376
Battaglia12,2980.6185402684564,3079,2.598601198483293e-13,1.900807127028427e-15,4.028012076762112e-15,1.1244459423498623e-16,3.3194919330347736,0.0894844394832793,0.5112197354533163
Battaglia12,3180.5481918238993,3279,2.4091209693486753e-13,1.5508786694794967e-15,4.1553839974532566e-15,1.7491993217049408e-16,4.26348911875855,0.1438857443176228,0.6101839974729385
Battaglia12,3380.486168639053,3479,2.230885284681415e-13,1.4488940587133584e-15,4.3798879734496405e-15,1.7068421881016492e-16,5.224034270998185,0.18588350948948978,0.7070291357427777
Battaglia12,3580.4310754189946,3679,2.0431405150464346e-13,1.577336162689284e-15,4.533887337771075e-15,1.641051273709036e-16,5.955089246845142,0.2127660249199134,0.7747972167469493
Battaglia12,3780.381812169312,3879,1.8703289599664742e-13,1.5223625795318922e-15,4.6178041596186215e-15,1.828950173166407e-16,6.676836555274957,0.24410619355422547,0.8355409143524598
Battaglia12,3980.3375,4079,1.6875892962505397e-13,1.6252655943090504e-15,4.741170901796723e-15,1.9724439569331725e-16,7.283293136477577,0.2724883186220167,0.8797442004023467
Battaglia12,4180.2974282296655,4279,1.522105833021203e-13,1.4503960630774347e-15,4.704476424761432e-15,2.1511562592770618e-16,7.973608314491767,0.31021067723682544,0.925430574837253
Battaglia12,4380.261015981735,4479,1.3598575646437784e-13,1.589373962574563e-15,4.84168056856753e-15,2.0373903431532692e-16,8.530687962328809,0.33539684428414945,0.955495925666987
Battaglia12,4580.227783842794,4679,1.2124324321972048e-13,1.8237360877708217e-15,4.712050932128354e-15,1.8560243009948015e-16,8.917073474570826,0.35066532777423076,0.9740587131297248
Battaglia12,4780.197332635983,4879,1.0692517583285989e-13,1.95392902932599e-15,4.621757834944559e-15,1.78484142383285e-16,9.22320451900529,0.3622929047494769,0.9860837232020397
Battaglia12,4980.169327309237,5079,9.405416272032704e-14,2.6176758463008237e-15,4.488232560759734e-15,1.7937315142227817e-16,9.37866157002243,0.36859731616475816,0.9913028367589007
Battaglia12,5180.143484555984,5279,8.212876602699372e-14,2.9692538332669858e-15,4.401228794532631e-15,1.688677432331996e-16,9.496545466209815,0.37301055990047866,0.9946008688543947
Battaglia12,5380.119563197026,5479,7.133905863780585e-14,2.8821639655100467e-15,4.215597672019319e-15,1.4873744491884889e-16,9.613336544553672,0.376733036797453,0.997503348693266
Battaglia12,5580.097356630824,5679,6.159939785630354e-14,3.8704838257577354e-15,3.936836329676794e-15,1.523388468780402e-16,9.66660201545557,0.37876532603963536,0.9985279481359833
Battaglia12,5780.076686851211,5879,5.300175429611304e-14,4.616205011863877e-15,3.779926669159667e-15,1.3785381653577548e-16,9.701123530310497,0.37993137888562933,0.9990458429643475
Battaglia12,5980.057399665552,6079,4.5340617510321776e-14,4.813466950207868e-15,3.5504275889345345e-15,1.3736624867689013e-16,9.730443541203291,0.3810451615911701,0.9995461391128418
Battaglia12,6180.039360841424,6279,3.8469858058101694e-14,5.291090315500062e-15,3.27860901668161e-15,1.2628446330856324e-16,9.751356861388695,0.38183679962430433,0.9997886262481418
Battaglia12,6380.022452978056,6479,3.25076571177033e-14,5.1670590467678114e-15,3.0761921040659773e-15,1.1113288409256952e-16,9.768310828773627,0.38239975603569015,0.9998995180386953
Battaglia12,6580.0065729483285,6679,2.735136348349772e-14,6.874682345963156e-15,2.7943535165043667e-15,1.0479605805569647e-16,9.777025623668969,0.3827146272226668,0.9999653601678228
Battaglia12,6779.991629793511,6879,2.2917740823288327e-14,7.693335723634534e-15,2.5979134356440834e-15,9.306820285668866e-17,9.78216270334554,0.3828824857051127,0.9999803062412789
Battaglia12,6979.977542979943,7079,1.91005696984725e-14,9.071119871079853e-15,2.314516027430249e-15,8.58097263982076e-17,9.784842439999926,0.3829756017879484,0.9999816358945935
Battaglia12,7179.964240947075,7279,1.5802402170303996e-14,9.762211618621097e-15,2.1168700472087782e-15,7.780735691755605e-17,9.786691537007332,0.3830367468471995,0.9999854792381999
Battaglia12,7379.951659891599,7479,1.3000348171116308e-14,1.1552494226663339e-14,1.8805591537469403e-15,7.134691915643832e-17,9.788025754072642,0.3830852616480409,0.9999920368666001
