group,task,variant,nodes,label,relative_Dell_l2,max_fractional_Dell,distance5,distance9
original_exterior,0,serial_four_catalogue_passes,"[512, 256, 128]",Battaglia12,6.702446863390177e-16,9.488486754017383e-15,1.4426915760789837e-14,1.9564298702604304e-14
common_reference,0,serial_four_catalogue_passes,"[512, 256, 128]",Battaglia12,1.8994162915104683e-07,1.401753887595444e-06,3.1693579361256984e-05,3.479117600680757e-05
original_exterior,0,serial_four_catalogue_passes,"[512, 256, 128]",FL_L1_m9,7.44188090561295e-16,1.4611401700322648e-14,1.4977804692307774e-14,2.9496784448492894e-14
common_reference,0,serial_four_catalogue_passes,"[512, 256, 128]",FL_L1_m9,3.98894497812958e-07,4.002776602271597e-06,0.00023978406983801446,0.0002457673019096904
original_exterior,0,serial_four_catalogue_passes,"[512, 256, 128]",compact,4.593794735372976e-16,1.9907029713781594e-15,2.6417883152319537e-23,4.417612692363369e-23
common_reference,0,serial_four_catalogue_passes,"[512, 256, 128]",compact,4.6174539286294407e-08,5.185075750324839e-08,8.933888741784117e-14,9.401466623307665e-14
original_exterior,0,serial_four_catalogue_passes,"[512, 256, 128]",extended_shallow,7.657094579363295e-16,1.8700895762367018e-13,3.565822000262048e-12,7.152696699667858e-12
common_reference,0,serial_four_catalogue_passes,"[512, 256, 128]",extended_shallow,6.307874884325437e-06,0.00017355366949655548,0.5181274049299663,0.5780989488815889
original_exterior,1,read_once_four_painters,"[512, 256, 128]",Battaglia12,6.599130823301878e-16,8.114396690617052e-15,1.196421381251517e-14,1.3445215563673759e-14
common_reference,1,read_once_four_painters,"[512, 256, 128]",Battaglia12,1.8994162914274604e-07,1.4017538871207096e-06,3.169357936014245e-05,3.479117600927426e-05
original_exterior,1,read_once_four_painters,"[512, 256, 128]",FL_L1_m9,7.36622366722486e-16,2.3859951846081402e-14,6.14012971154919e-15,1.486238462635879e-14
common_reference,1,read_once_four_painters,"[512, 256, 128]",FL_L1_m9,3.9889449782415046e-07,4.002776602271597e-06,0.00023978406983218546,0.00024576730190442
original_exterior,1,read_once_four_painters,"[512, 256, 128]",compact,4.5034154129261e-16,2.0362496548347415e-15,1.8285692381140046e-23,4.464475008771164e-23
common_reference,1,read_once_four_painters,"[512, 256, 128]",compact,4.617453929443032e-08,5.185075727082312e-08,8.933888743446944e-14,9.40146662504302e-14
original_exterior,1,read_once_four_painters,"[512, 256, 128]",extended_shallow,7.777561543487104e-16,1.2486369841333884e-13,2.7375794419510833e-12,5.008889076360194e-12
common_reference,1,read_once_four_painters,"[512, 256, 128]",extended_shallow,6.3078748843322454e-06,0.00017355366951574944,0.5181274049313983,0.5780989488837573
original_exterior,2,shared_geometry_four_profiles,"[512, 256, 128]",Battaglia12,0.0,0.0,0.0,0.0
common_reference,2,shared_geometry_four_profiles,"[512, 256, 128]",Battaglia12,1.8994162915111875e-07,1.4017538867646587e-06,3.169357936667042e-05,3.479117601606816e-05
original_exterior,2,shared_geometry_four_profiles,"[512, 256, 128]",FL_L1_m9,0.0,0.0,0.0,0.0
common_reference,2,shared_geometry_four_profiles,"[512, 256, 128]",FL_L1_m9,3.988944978168219e-07,4.002776603610908e-06,0.0002397840698344667,0.0002457673019076491
original_exterior,2,shared_geometry_four_profiles,"[512, 256, 128]",compact,0.0,0.0,0.0,0.0
common_reference,2,shared_geometry_four_profiles,"[512, 256, 128]",compact,4.617453928961306e-08,5.1850757154610476e-08,8.933888744149718e-14,9.401466625823332e-14
original_exterior,2,shared_geometry_four_profiles,"[512, 256, 128]",extended_shallow,0.0,0.0,0.0,0.0
common_reference,2,shared_geometry_four_profiles,"[512, 256, 128]",extended_shallow,6.3078748843299305e-06,0.00017355366952591093,0.5181274049320761,0.5780989488835888
original_exterior,3,half_theta,"[256, 256, 128]",Battaglia12,9.800116450279615e-07,8.030219769318672e-06,0.0001811112072043102,0.00020278663535091648
common_reference,3,half_theta,"[256, 256, 128]",Battaglia12,9.908616704761884e-07,9.034777776684119e-06,0.00021170927634283143,0.00023608996403508574
original_exterior,3,half_theta,"[256, 256, 128]",FL_L1_m9,2.0729189296685966e-06,2.1025242732224507e-05,0.0011773424155663579,0.0012066749659478666
common_reference,3,half_theta,"[256, 256, 128]",FL_L1_m9,2.427154277631953e-06,2.4756023073264207e-05,0.0014160521467692152,0.0014511296912819256
original_exterior,3,half_theta,"[256, 256, 128]",compact,8.263812685230101e-07,8.968952557880089e-07,1.5990226074682937e-12,1.6825329447672104e-12
common_reference,3,half_theta,"[256, 256, 128]",compact,8.725533342465149e-07,9.424185521160215e-07,1.6883614912715746e-12,1.7765475986692695e-12
original_exterior,3,half_theta,"[256, 256, 128]",extended_shallow,3.174351674165646e-05,0.0012339790190240684,2.756033094532534,3.0756688532154284
common_reference,3,half_theta,"[256, 256, 128]",extended_shallow,3.6145857988116535e-05,0.0013273657801503417,2.9179976244264307,3.261358940741011
original_exterior,4,half_logz,"[512, 128, 128]",Battaglia12,1.296431058725898e-07,1.5468418803952413e-06,6.461383385981211e-06,6.7207619566405896e-06
common_reference,4,half_logz,"[512, 128, 128]",Battaglia12,2.2109586122011277e-07,1.7945234578586117e-06,3.372712882963465e-05,3.7036618100112586e-05
original_exterior,4,half_logz,"[512, 128, 128]",FL_L1_m9,1.0589449532103567e-07,1.4628508243100256e-06,1.4188353899237484e-05,1.610633674325053e-05
common_reference,4,half_logz,"[512, 128, 128]",FL_L1_m9,3.9482002330179526e-07,4.225555844270491e-06,0.00024664937130592035,0.0002531231842613477
original_exterior,4,half_logz,"[512, 128, 128]",compact,2.5136443556557347e-09,8.089934285577465e-09,4.731001722980441e-15,4.973552359741209e-15
common_reference,4,half_logz,"[512, 128, 128]",compact,4.8635621744109366e-08,5.7350408911469376e-08,9.406987256615834e-14,9.898781736800361e-14
original_exterior,4,half_logz,"[512, 128, 128]",extended_shallow,2.726754954598402e-06,3.897303284587554e-05,0.05237961519323542,0.06512753372553322
common_reference,4,half_logz,"[512, 128, 128]",extended_shallow,6.4022384712635846e-06,0.00016565555249295252,0.48721658794989536,0.5351933367769086
original_exterior,5,half_logmass,"[512, 256, 64]",Battaglia12,7.905734280270456e-08,9.026036387798116e-07,9.804347203883221e-06,1.0049852640190113e-05
common_reference,5,half_logmass,"[512, 256, 64]",Battaglia12,2.1545322467350979e-07,1.5671416201879145e-06,3.538622276233584e-05,3.86685741566182e-05
original_exterior,5,half_logmass,"[512, 256, 64]",FL_L1_m9,9.275425634026085e-08,7.603052131384274e-07,1.2055988361923755e-05,1.2772274753273578e-05
common_reference,5,half_logmass,"[512, 256, 64]",FL_L1_m9,4.1604346856588465e-07,4.316559767031615e-06,0.00025138365922499755,0.0002581155985404896
original_exterior,5,half_logmass,"[512, 256, 64]",compact,2.183914692495073e-09,3.3737445346582876e-09,4.2106123405815155e-15,4.432564633402303e-15
common_reference,5,half_logmass,"[512, 256, 64]",compact,4.835658113984037e-08,5.4215263178798266e-08,9.354948244751859e-14,9.844719460498354e-14
original_exterior,5,half_logmass,"[512, 256, 64]",extended_shallow,1.7283043746108702e-06,2.457469393806824e-05,0.016157408458612126,0.02251432427755076
common_reference,5,half_logmass,"[512, 256, 64]",extended_shallow,6.3020906750767636e-06,0.00016813219321814746,0.5088493280411323,0.5655711338369399
original_exterior,6,half_all_axes,"[256, 128, 64]",Battaglia12,1.032205496729957e-06,8.770705004264834e-06,0.00018325233942137408,0.00019826788764539704
common_reference,6,half_all_axes,"[256, 128, 64]",Battaglia12,1.0494652604050222e-06,9.445567464562955e-06,0.00021319152664465237,0.00023104857364776585
