beta0,P0_lower_all_guards_except_minimum_size,P0_upper
3.354114539215184987e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.362023160516488751e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.369931781817792515e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.377840403119096280e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.385749024420400488e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.393657645721704252e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.401566267023008017e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.409474888324311781e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.417383509625615545e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.425292130926919310e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.433200752228223074e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.441109373529526838e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.449017994830831046e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.456926616132134811e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.464835237433438575e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.472743858734742339e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.480652480036046104e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.488561101337349868e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.496469722638653632e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.504378343939957396e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.512286965241261605e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.520195586542565369e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.528104207843869133e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.536012829145172898e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.543921450446476662e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.551830071747780426e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.559738693049084191e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.567647314350388399e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.575555935651692163e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.583464556952995927e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.591373178254299692e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.599281799555603456e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.607190420856907220e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.615099042158210985e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.623007663459515193e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.630916284760818957e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.638824906062122722e+00,1.000000000000000000e+00,6.000000000000000000e+01
