beta,P0_lower,P0_upper
3.354114539215184987e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.360387170958958780e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.366659802702732573e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.372932434446506367e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.379205066190280160e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.385477697934053953e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.391750329677827747e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.398022961421601540e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.404295593165375777e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.410568224909149571e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.416840856652923364e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.423113488396697157e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.429386120140470950e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.435658751884244744e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.441931383628018537e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.448204015371792330e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.454476647115566124e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.460749278859339917e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.467021910603113710e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.473294542346887503e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.479567174090661297e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.485839805834435090e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.492112437578208883e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.498385069321982677e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.504657701065756470e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.510930332809530707e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.517202964553304501e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.523475596297078294e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.529748228040852087e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.536020859784625880e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.542293491528399674e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.548566123272173467e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.554838755015947260e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.561111386759721054e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.567384018503494847e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.573656650247268640e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.579929281991042433e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.586201913734816227e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.592474545478590020e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.598747177222363813e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.605019808966138051e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.611292440709911844e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.617565072453685637e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.623837704197459431e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.630110335941233224e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.636382967685007017e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.642655599428780810e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.648928231172554604e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.655200862916328397e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.661473494660102190e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.667746126403875984e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.674018758147649777e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.680291389891423570e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.686564021635197363e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.692836653378971157e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.699109285122744950e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.705381916866518743e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.711654548610292537e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.717927180354066774e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.724199812097840567e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.730472443841614361e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.736745075585388154e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.743017707329161947e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.749290339072935740e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.755562970816709534e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.761835602560483327e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.768108234304257120e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.774380866048030914e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.780653497791804707e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.786926129535578500e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.793198761279352293e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.799471393023126531e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.805744024766900324e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.812016656510674117e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.818289288254447911e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.824561919998221704e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.830834551741995497e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.837107183485769291e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.843379815229543084e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.849652446973316877e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.855925078717090670e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.862197710460864464e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.868470342204638257e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.874742973948412050e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.881015605692185844e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.887288237435959637e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.893560869179733430e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.899833500923507223e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.906106132667281017e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.912378764411054810e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.918651396154828603e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.924924027898602841e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.931196659642376634e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.937469291386150427e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.943741923129924221e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.950014554873698014e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.956287186617471807e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.962559818361245600e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.968832450105019394e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.975105081848793187e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.981377713592566980e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.987650345336340774e+00,1.000000000000000000e+00,6.000000000000000000e+01
3.993922977080115011e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.000195608823888804e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.006468240567662598e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.012740872311436391e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.019013504055210184e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.025286135798983977e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.031558767542757771e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.037831399286531564e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.044104031030305357e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.050376662774079151e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.056649294517852944e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.062921926261626737e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.069194558005400530e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.075467189749174324e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.081739821492948117e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.088012453236721910e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.094285084980495704e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.100557716724269497e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.106830348468043290e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.113102980211817084e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.119375611955590877e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.125648243699364670e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.131920875443138463e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.138193507186912257e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.144466138930686938e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.150738770674459843e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.157011402418234525e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.163284034162007430e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.169556665905782111e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.175829297649555905e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.182101929393329698e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.188374561137103491e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.194647192880877284e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.200919824624651078e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.207192456368424871e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.213465088112198664e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.219737719855972458e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.226010351599746251e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.232282983343520044e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.238555615087293837e+00,1.000000000000000000e+00,6.000000000000000000e+01
