cosmology,h,omega_m,omega_b,log10_mass_hinv,redshift,x,ne_native_m3,ne_paper_m3,n200_paper_m3,native_factor
HalfDome,0.68,0.31,0.049,13.2,0.0,0.04000000000000001,1836.4116544880023,3052.3853312866,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.040813572341413196,1822.427604762392,3029.141791010586,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.04164369218169419,1808.49153628908,3005.978002608468,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.04249069608552793,1794.602818794758,2982.8929184736303,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.043354927463092406,1780.7608264091853,2959.8854983179986,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.044236736709291076,1766.9649378068932,2936.954709407579,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.045136481345817485,1753.2145363544953,2914.0995268073007,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.046054526166109215,1739.509010263581,2891.318933635159,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.04699124338325009,1725.8477527494597,2868.611921326059,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.04794701278088078,1712.230162195736,2845.977489905375,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.048922221867178504,1698.6556423249747,2823.414648272614,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.049917266031968895,1685.123602375424,2800.922414495156,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.05093254870703324,1671.6334572840587,2778.499816112501,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.05196848152967626,1658.1846278759558,2756.1458904510373,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.05302548450962092,1644.7765410601762,2733.859684949628,215.99585198237747,0.6016316602183194
