ell_eff,Dl_y_x_b16_projected,Dl_y_x_b16_sphere,Dl_y_x_lee22_projected,Dl_y_x_lee22_sphere,Dl_y_projected,Dl_y_sphere,Dl_dm_b16_projected,Dl_dm_b16_sphere,Dl_dm_lee22noc_projected,Dl_dm_lee22noc_sphere,r_lee22_projected,r_lee22_sphere,r_b16_projected,r_b16_sphere,Dl_poisson_y_x_b16_projected,Dl_poisson_y_x_b16_sphere,Dl_poisson_y_x_lee22_projected,Dl_poisson_y_x_lee22_sphere
31.5192,3.59636e-06,3.38013e-06,9.11363e-06,9.04013e-06,2.70446e-14,2.6701e-14,669.173,593.674,4250.6,4213.12,0.850014,0.852332,0.845385,0.848976,4.88931e-06,4.91115e-06,1.54017e-05,1.55018e-05
35.5171,3.39588e-06,3.20147e-06,8.20634e-06,8.16557e-06,2.62286e-14,2.59503e-14,643.122,569.819,3994.79,3979.68,0.801706,0.803511,0.826834,0.832549,5.36592e-06,5.39642e-06,1.78541e-05,1.79357e-05
40.0244,3.84706e-06,3.63001e-06,1.01865e-05,1.00841e-05,3.26118e-14,3.22594e-14,735.076,651.317,5049.95,4972.72,0.793767,0.79618,0.785733,0.791923,5.89247e-06,5.88686e-06,2.05254e-05,2.05464e-05
45.0217,4.02364e-06,3.82792e-06,1.07562e-05,1.06957e-05,3.66152e-14,3.62792e-14,749.433,671.22,5068.7,5031.09,0.789551,0.791682,0.768107,0.775714,6.48202e-06,6.39769e-06,2.33391e-05,2.32653e-05
50.5283,6.05838e-06,5.78489e-06,1.69333e-05,1.6782e-05,5.43963e-14,5.39757e-14,999.347,904.128,7357.48,7263.35,0.846432,0.847569,0.821701,0.828096,7.12201e-06,6.9476e-06,2.6232e-05,2.60633e-05
56.5254,6.4906e-06,6.18164e-06,1.79864e-05,1.78192e-05,6.0272e-14,5.97673e-14,1086.34,977.715,7980.91,7856.52,0.820085,0.822321,0.802128,0.80866,7.74735e-06,7.52869e-06,2.90649e-05,2.88559e-05
63.5407,6.20662e-06,5.86404e-06,1.70924e-05,1.68386e-05,5.97356e-14,5.91627e-14,1032.21,917.237,7681.12,7486.61,0.797946,0.800089,0.790416,0.796036,8.33686e-06,8.15926e-06,3.19339e-05,3.17755e-05
71.5362,7.96896e-06,7.5845e-06,2.30686e-05,2.28319e-05,8.06815e-14,7.99646e-14,1238.2,1107.35,9715.56,9540.48,0.823948,0.826623,0.797295,0.806002,8.8868e-06,8.79002e-06,3.46885e-05,3.46324e-05
80.5506,8.05743e-06,7.65117e-06,2.37967e-05,2.34967e-05,8.45685e-14,8.38046e-14,1300.49,1154.37,10193.6,9963.02,0.810492,0.813164,0.768314,0.777895,9.53356e-06,9.42706e-06,3.7356e-05,3.73327e-05
91.0544,9.17239e-06,8.72501e-06,2.66011e-05,2.63013e-05,1.00409e-13,9.95811e-14,1446.69,1281.67,10940.4,10696.6,0.802596,0.805871,0.761041,0.772307,1.03728e-05,1.01406e-05,4.00423e-05,3.9942e-05
102.558,1.06612e-05,1.01419e-05,3.17794e-05,3.14439e-05,1.21241e-13,1.20242e-13,1624.68,1442.81,12704.3,12443.2,0.809742,0.812909,0.759621,0.769995,1.11585e-05,1.08815e-05,4.24301e-05,4.22924e-05
115.06,1.16947e-05,1.11741e-05,3.48398e-05,3.45716e-05,1.34499e-13,1.33521e-13,1723.74,1537.47,13571.1,13351.2,0.81547,0.81881,0.768056,0.779891,1.18306e-05,1.16095e-05,4.45135e-05,4.44128e-05
129.072,1.26604e-05,1.21184e-05,3.84643e-05,3.82021e-05,1.51557e-13,1.50643e-13,1870.89,1664.52,14777.2,14542.8,0.812781,0.816184,0.751856,0.765289,1.26991e-05,1.24188e-05,4.66256e-05,4.64975e-05
145.082,1.41088e-05,1.35396e-05,4.18373e-05,4.15897e-05,1.69164e-13,1.68289e-13,2082.98,1863.59,15911.8,15680.3,0.806398,0.809618,0.751615,0.764543,1.3675e-05,1.33552e-05,4.88017e-05,4.86676e-05
163.092,1.57968e-05,1.51932e-05,4.70606e-05,4.68124e-05,1.95901e-13,1.94983e-13,2234.51,2007.74,17416.9,17190.5,0.805661,0.808569,0.755022,0.767886,1.46352e-05,1.43369e-05,5.10001e-05,5.0888e-05
183.609,1.73221e-05,1.66812e-05,5.13697e-05,5.11366e-05,2.17354e-13,2.16403e-13,2490.99,2240.9,18895,18670.2,0.801584,0.804499,0.744442,0.7575,1.58606e-05,1.54755e-05,5.34949e-05,5.33419e-05
206.616,1.91421e-05,1.84407e-05,5.57674e-05,5.55009e-05,2.41338e-13,2.40221e-13,2708.5,2443.34,20095.8,19853.5,0.800783,0.803667,0.748708,0.761166,1.7144e-05,1.67603e-05,5.61703e-05,5.60457e-05
232.13,2.0732e-05,1.9984e-05,5.94802e-05,5.91883e-05,2.66621e-13,2.65353e-13,2872.59,2599.07,20970.2,20724.2,0.795471,0.79815,0.749132,0.760958,1.86049e-05,1.81678e-05,5.9086e-05,5.89389e-05
260.643,2.19653e-05,2.12062e-05,6.1507e-05,6.12174e-05,2.86294e-13,2.85089e-13,3063.52,2778.71,21501,21253.5,0.783952,0.786448,0.741688,0.753445,2.01894e-05,1.97215e-05,6.22239e-05,6.20614e-05
293.174,2.41581e-05,2.33473e-05,6.5961e-05,6.56807e-05,3.14921e-13,3.13643e-13,3339.33,3037.32,22520.1,22275.9,0.783251,0.785783,0.744958,0.756438,2.19913e-05,2.14847e-05,6.56736e-05,6.55083e-05
329.682,2.61814e-05,2.53335e-05,6.90595e-05,6.87901e-05,3.40186e-13,3.38928e-13,3627.12,3307.58,23290.3,23034.4,0.77585,0.778544,0.745339,0.756633,2.39447e-05,2.34232e-05,6.93266e-05,6.91806e-05
370.208,2.81411e-05,2.73279e-05,7.38397e-05,7.35909e-05,3.73679e-13,3.72573e-13,3862.92,3540.87,24627.9,24371,0.76971,0.772292,0.740687,0.752393,2.6067e-05,2.55141e-05,7.31226e-05,7.29802e-05
416.24,3.06379e-05,2.9762e-05,7.73535e-05,7.70957e-05,4.06137e-13,4.04902e-13,4164.09,3826.06,25235.2,24981.6,0.764083,0.766558,0.74501,0.756156,2.83783e-05,2.781e-05,7.70884e-05,7.69463e-05
