ell_eff,1e12_Dl_yy_projected,1e12_Dl_yy_sphere,1e12_Dl_yy_classsz_1h,1e12_Dl_yy_classsz_tot,Dl_ksz_projected_uK2,Dl_ksz_sphere_uK2,Dl_ksz_classsz_1h_uK2,Dl_ksz_classsz_tot_uK2,yy_sphere_over_projected,ksz_sphere_over_projected,yy_projected_over_classsz,yy_sphere_over_classsz,ksz_projected_over_classsz,ksz_sphere_over_classsz,1e12_Dl_yy_poisson_projected,1e12_Dl_yy_poisson_sphere,Dl_ksz_poisson_projected_uK2,Dl_ksz_poisson_sphere_uK2
31.5192,0.0270446,0.026701,0.024104,0.0305489,0.00962787,0.00835724,0.0110429,0.026057,0.987297,0.868026,0.885287,0.874041,0.369493,0.320729,0.0563451,0.0570413,0.0167878,0.015102
35.5171,0.0262286,0.0259503,0.0281316,0.0352597,0.0121597,0.0107765,0.0125887,0.0294511,0.989387,0.886252,0.74387,0.735975,0.412876,0.365912,0.0640969,0.0646267,0.0187528,0.0171232
40.0244,0.0326118,0.0322594,0.0328831,0.0407382,0.0142703,0.0124891,0.0143415,0.0332097,0.989195,0.875184,0.800521,0.791871,0.429703,0.376069,0.0727336,0.0727694,0.0207254,0.0191754
45.0217,0.0366152,0.0362792,0.0383516,0.0469602,0.0159169,0.0138003,0.0162887,0.0372746,0.990822,0.867022,0.779707,0.772551,0.427016,0.370233,0.0822055,0.0815026,0.0226898,0.0212045
50.5283,0.0543963,0.0539757,0.044595,0.0539767,0.0197188,0.0174791,0.0184486,0.0416425,0.992269,0.886421,1.00777,0.999982,0.473525,0.419742,0.0923605,0.0909613,0.0246834,0.0232153
56.5254,0.060272,0.0597673,0.0515694,0.0617281,0.0208465,0.0185053,0.0208104,0.0462624,0.991626,0.887697,0.976411,0.968234,0.450613,0.400008,0.102581,0.100974,0.0267295,0.0252148
63.5407,0.0597356,0.0591627,0.0599198,0.070888,0.0244927,0.0217081,0.0236011,0.051464,0.990408,0.886311,0.842676,0.834594,0.475918,0.421812,0.113066,0.112042,0.0290468,0.0274063
71.5362,0.0806815,0.0799646,0.069524,0.0813809,0.0281918,0.0246967,0.0267944,0.0573107,0.991115,0.876025,0.991405,0.982596,0.491911,0.430926,0.123454,0.123441,0.0316705,0.0298016
80.5506,0.0845685,0.0838046,0.0804122,0.0931587,0.0323852,0.0284151,0.030444,0.0636029,0.990967,0.877412,0.907789,0.89959,0.509178,0.446758,0.134558,0.134932,0.0346876,0.0324826
91.0544,0.100409,0.0995811,0.0930377,0.106652,0.0374546,0.0328145,0.0347255,0.070711,0.991755,0.876113,0.94146,0.933697,0.529686,0.464065,0.14734,0.147093,0.0382456,0.0356414
102.558,0.121241,0.120242,0.106691,0.121184,0.0432999,0.0379358,0.0394601,0.0782692,0.991763,0.876119,1.00047,0.992232,0.553217,0.484684,0.159815,0.159204,0.0421618,0.0391589
115.06,0.134499,0.133521,0.121297,0.136602,0.0500586,0.0438258,0.0446541,0.0861691,0.99273,0.875491,0.984602,0.977445,0.580934,0.508603,0.171491,0.171125,0.0465837,0.0430732
129.072,0.151557,0.150643,0.137816,0.153908,0.0581627,0.0509739,0.0505406,0.0947314,0.993971,0.876402,0.984726,0.978789,0.613975,0.538089,0.184642,0.183898,0.0519639,0.0476789
145.082,0.169164,0.168289,0.155393,0.172231,0.0652174,0.0573287,0.0573208,0.104132,0.99483,0.87904,0.982196,0.977118,0.626293,0.550537,0.198952,0.198067,0.0582401,0.0531794
163.092,0.195901,0.194983,0.174855,0.192363,0.0749227,0.0659816,0.0650083,0.114255,0.995314,0.880662,1.01839,1.01362,0.655747,0.577492,0.213548,0.212931,0.0652213,0.0595146
183.609,0.217354,0.216403,0.19659,0.214786,0.0854132,0.0754538,0.073825,0.125308,0.995626,0.883397,1.01196,1.00753,0.681625,0.602145,0.230497,0.229562,0.0736293,0.0669996
206.616,0.241338,0.240221,0.220285,0.238901,0.0952993,0.0843319,0.0837638,0.137195,0.995373,0.884917,1.0102,1.00553,0.694625,0.614685,0.248568,0.247908,0.0832681,0.0756883
232.13,0.266621,0.265353,0.245846,0.264849,0.11149,0.0990181,0.0948234,0.149843,0.995246,0.888132,1.00669,1.0019,0.744049,0.660814,0.268453,0.26763,0.0940918,0.0855184
260.643,0.286294,0.285089,0.272688,0.291804,0.125676,0.111786,0.107197,0.163487,0.995791,0.889473,0.981115,0.976985,0.768723,0.683758,0.290033,0.289107,0.106143,0.0966463
293.174,0.314921,0.313643,0.304342,0.323862,0.139028,0.123952,0.121309,0.178735,0.995944,0.891565,0.972391,0.968447,0.777842,0.693497,0.314314,0.313306,0.119962,0.109437
329.682,0.340186,0.338928,0.337777,0.357326,0.155496,0.13916,0.137044,0.195001,0.996301,0.894942,0.952033,0.948511,0.797413,0.713638,0.340869,0.339935,0.135573,0.123843
370.208,0.373679,0.372573,0.373927,0.393513,0.177451,0.159342,0.154353,0.212614,0.997042,0.897947,0.949598,0.946788,0.834618,0.749443,0.369704,0.368782,0.152893,0.139809
