ell_eff,Dl_ksz_with_fb_dimensionless,Dl_ksz_no_fb_dimensionless,ratio_no_fb_over_with_fb
31.519233510248725,1.1250460883404066e-15,4.5449969077813256e-14,40.39831749902623
35.51712522869418,1.4507277687532412e-15,5.860696100674735e-14,40.398317499026234
40.02439857892865,1.6812789348727514e-15,6.792084021541407e-14,40.39831749902624
45.021745023499136,1.8577850429196135e-15,7.50513900088086e-14,40.39831749902622
50.52832876250673,2.353029136886882e-15,9.50584181564159e-14,40.39831749902623
56.52537064695085,2.4911769590888315e-15,1.0063935773952933e-13,40.39831749902624
63.54072104583545,2.9223356060952376e-15,1.1805744165374469e-13,40.39831749902624
71.53622332538326,3.324652159354401e-15,1.343103535074222e-13,40.39831749902622
80.5506443903219,3.825228636610647e-15,1.5453280096816412e-13,40.39831749902623
91.05438007748502,4.417466560634999e-15,1.784582166578641e-13,40.39831749902623
102.5576011237284,5.1068988056491714e-15,2.06310119386013e-13,40.39831749902622
115.06037726225519,5.899809255555007e-15,2.3834236748960467e-13,40.39831749902621
129.0718365687952,6.862079693314297e-15,2.7721647415413143e-13,40.39831749902622
145.0822409952973,7.71754902156737e-15,3.1177599568757796e-13,40.39831749902624
163.09151808736948,8.882400145089037e-15,3.588340212147034e-13,40.398317499026206
183.60914825769643,1.0157539032878535e-14,4.103474868589787e-13,40.39831749902621
206.61553148392295,1.1352709422882468e-14,4.586303597397928e-13,40.39831749902623
232.13026512277077,1.332975537644833e-14,5.384996898821114e-13,40.39831749902622
260.64332970065664,1.5048539197204893e-14,6.079356643852246e-13,40.398317499026234
293.1735813910431,1.668638169248079e-14,6.741017455227777e-13,40.398317499026234
329.68203102231746,1.8733666645135187e-14,7.568086130510887e-13,40.39831749902622
370.2076745414495,2.1450538823936927e-14,8.665656779345928e-13,40.398317499026234
416.23995962138673,2.3603308514767062e-14,9.53533951407029e-13,40.39831749902623
468.2688258662297,2.6242366420740842e-14,1.0601474505908731e-12,40.398317499026234
526.2942981492317,2.930750595885264e-14,1.183973930830332e-12,40.39831749902622
591.3352311110127,3.226306118267323e-14,1.3033733891481417e-12,40.39831749902623
664.8810938712769,3.598494348688e-14,1.4537311721674943e-12,40.398317499026234
747.4218301683179,3.98601677645855e-14,1.6102837129181751e-12,40.39831749902622
839.9763527866576,4.362424978954297e-14,1.7623462936547845e-12,40.39831749902621
944.54355371398,4.773992372703343e-14,1.9286125961039923e-12,40.398317499026234
1061.5938994964304,5.220893843016386e-14,2.109153270988871e-12,40.39831749902622
1193.1846590630198,5.684125785476905e-14,2.2962911818609785e-12,40.39831749902623
1341.2563082388465,6.11943016248758e-14,2.4721468261729085e-12,40.39831749902622
1507.3566714735425,6.549663387966358e-14,2.6459538105881273e-12,40.39831749902623
1694.4645805606262,7.033734901666334e-14,2.841510557614986e-12,40.39831749902623
1904.5788861572019,7.469992370801614e-14,3.0177512351094727e-12,40.398317499026234
2140.717358135316,7.906153441050892e-14,3.193952969075926e-12,40.39831749902622
2406.3682706852505,8.319125367519361e-14,3.3607866791125037e-12,40.39831749902622
2704.529921554191,8.706529567745803e-14,3.5172914579245452e-12,40.39831749902623
3039.728952919519,9.059091721720169e-14,3.6597206362685155e-12,40.39831749902623
3416.9430579408963,9.406320130205293e-14,3.799995071175153e-12,40.39831749902624
3840.6794111708996,9.682309501199307e-14,3.9114901335328785e-12,40.39831749902623
4316.954079987457,9.958627661901284e-14,4.023118021400733e-12,40.398317499026234
4852.253626313252,1.0214587310851825e-13,4.126521413053164e-12,40.39831749902622
5453.593549229045,1.0483147335068387e-13,4.235015144311633e-12,40.39831749902621
6129.988210024595,1.0832129052470974e-13,4.375997886521484e-12,40.39831749902621
6889.903551361007,1.1282997258770176e-13,4.558141056004403e-12,40.39831749902624
7743.901774271543,1.1972127495486592e-13,4.836538077014891e-12,40.398317499026234
